LabID,SampleID,BD_Rep1,BD_Rep2,RV_Rep1,RV_Rep2
'01-01,24-01-01-01-01
'01-02,24-01-01-01-02
'01-03,24-01-01-01-03
'01-04,24-01-01-01-06
'01-05,24-01-01-01-07
'01-06,24-01-01-01-09
'01-07,24-01-01-01-11
'01-08,24-01-01-01-12
'01-09,NEG
'01-10,24-02-01-01-01
'01-11,24-02-01-01-02
'01-12,24-02-01-01-03
'01-13,24-02-01-01-04
'01-14,24-02-01-01-05
'01-15,24-02-01-01-06
'01-16,24-02-01-01-07
'01-17,24-02-01-01-08
'01-18,24-02-01-01-09
'01-19,24-02-01-01-10
'01-20,24-02-01-01-11
'01-21,24-02-01-01-12
'01-22,24-02-01-01-C
'01-23,NEG
'01-24,24-03-01-01-01
'01-25,24-03-01-01-02
'01-26,24-03-01-01-03
'01-27,24-03-01-01-04
'01-28,24-03-01-01-05
'01-29,24-03-01-01-06
'01-30,24-03-01-01-07
'01-31,24-03-01-01-09
'01-32,24-03-01-01-10
'01-33,24-03-01-01-11
'01-34,24-03-01-01-12
'01-35,24-03-01-01-C
'01-36,NEG
'01-37,24-04-01-01-01
'01-38,24-04-01-01-02
'01-39,24-04-01-01-03
'01-40,24-04-01-01-05
'01-41,24-04-01-01-06
'01-42,24-04-01-01-07
'01-43,24-04-01-01-09
'01-44,24-04-01-01-10
'01-45,24-04-01-01-11
'01-46,24-04-01-01-12
'01-47,24-04-01-01-04
'01-48,24-04-01-01-08
'01-49,24-04-01-01-C
'01-50,NEG
'01-51,24-05-01-01-02
'01-52,24-05-01-01-03
'01-53,24-05-01-01-04
'01-54,24-05-01-01-C
'01-55,24-05-02-01-01
'01-56,24-05-02-01-02
'01-57,24-05-02-01-03
'01-58,24-05-02-01-04
'01-59,24-05-02-01-C
'01-60,NEG
'01-61,24-06-01-01-01
'01-62,24-06-01-01-02
'01-63,24-06-01-01-03
'01-64,24-06-01-01-04
'01-65,24-06-01-01-05
'01-66,24-06-01-01-06
'01-67,24-06-01-01-07
'01-68,24-06-01-01-08
'01-69,24-06-01-01-09
'01-70,24-06-01-01-10
'01-71,24-06-01-01-11
'01-72,24-06-01-01-12
'01-73,24-06-01-01-C
'01-74,NEG
'01-75,24-06-02-01-01
'01-76,24-06-02-01-02
'01-77,24-06-02-01-03
'01-78,24-06-02-01-04
'01-79,24-06-02-01-05
'01-80,24-06-02-01-06
'01-81,24-06-02-01-07
'02-01,24-06-02-01-08
'02-02,24-06-02-01-09
'02-03,24-06-02-01-10
'02-04,24-06-02-01-11
'02-05,24-06-02-01-12
'02-06,24-06-02-01-C
'02-07,NEG
'02-08,24-07-01-01-05
'02-09,24-07-01-01-07
'02-10,24-07-01-01-C
'02-11,NEG
'02-12,24-07-02-01-01
'02-13,24-07-02-01-02
'02-14,24-07-02-01-03
'02-15,24-07-02-01-04
'02-16,24-07-02-01-05
'02-17,24-07-02-01-06
'02-18,24-07-02-01-07
'02-19,24-07-02-01-08
'02-20,24-07-02-01-09
'02-21,24-07-02-01-10
'02-22,24-07-02-01-11
'02-23,24-07-02-01-12
'02-24,24-07-02-01-C
'02-25,NEG
'02-26,24-08-02-01-01
'02-27,24-08-02-01-02
'02-28,24-08-02-01-03
'02-29,24-08-02-01-04
'02-30,24-08-02-01-05
'02-31,24-08-02-01-06
'02-32,24-08-02-01-07
'02-33,24-08-02-01-08
'02-34,24-08-02-01-09
'02-35,24-08-02-01-10
'02-36,24-08-02-01-11
'02-37,24-08-02-01-12
'02-38,24-08-02-01-C
'02-39,NEG
'02-40,24-09-01-01-01
'02-41,24-09-01-01-02
'02-42,24-09-01-01-03
'02-43,24-09-01-01-04
'02-44,24-09-01-01-05
'02-45,24-09-01-01-06
'02-46,24-09-01-01-07
'02-47,24-09-01-01-08
'02-48,24-09-01-01-09
'02-49,24-09-01-01-10
'02-50,24-09-01-01-11
'02-51,24-09-01-01-12
'02-52,24-09-01-01-C
'02-53,NEG
'02-54,24-09-02-01-01
'02-55,24-09-02-01-02
'02-56,24-09-02-01-03
'02-57,24-09-02-01-04
'02-58,24-09-02-01-05
'02-59,24-09-02-01-06
'02-60,24-09-02-01-09
'02-61,24-09-02-01-C
'02-62,NEG
'02-63,24-09-03-01-01
'02-64,24-09-03-01-04
'02-65,24-09-03-01-05
'02-66,24-09-03-01-07
'02-67,24-09-03-01-08
'02-68,24-09-03-01-09
'02-69,24-09-03-01-10
'02-70,24-09-03-01-11
'02-71,24-09-03-01-12
'02-72,24-09-03-01-13
'02-73,24-09-03-01-14
'02-74,24-09-03-01-C
'02-75,NEG
'02-76,24-10-01-01-01
'02-77,24-10-01-01-02
'02-78,24-10-01-01-03
'02-79,24-10-01-01-04
'02-80,24-10-01-01-05
'02-81,24-10-01-01-06
'03-01,24-10-01-01-07
'03-02,24-10-01-01-08
'03-03,24-10-01-01-09
'03-04,24-10-01-01-10
'03-05,24-10-01-01-11
'03-06,24-10-01-01-12
'03-07,24-10-01-01-C
'03-08,NEG
'03-09,24-10-02-01-01
'03-10,24-10-02-01-02
'03-11,24-10-02-01-03
'03-12,24-10-02-01-04
'03-13,24-10-02-01-05
'03-14,24-10-02-01-06
'03-15,24-10-02-01-07
'03-16,24-10-02-01-08
'03-17,24-10-02-01-09
'03-18,24-10-02-01-10
'03-19,24-10-02-01-11
'03-20,24-10-02-01-12
'03-21,24-10-02-01-C
'03-22,NEG
'03-23,24-10-03-01-01
'03-24,24-10-03-01-02
'03-25,24-10-03-01-03
'03-26,24-10-03-01-04
'03-27,24-10-03-01-05
'03-28,24-10-03-01-06
'03-29,24-10-03-01-07
'03-30,24-10-03-01-08
'03-31,24-10-03-01-09
'03-32,24-10-03-01-10
'03-33,24-10-03-01-11
'03-34,24-10-03-01-12
'03-35,24-10-03-01-C
'03-36,NEG
'03-37,24-11-01-01-01
'03-38,24-11-01-01-02
'03-39,24-11-01-01-03
'03-40,24-11-01-01-04
'03-41,24-11-01-01-05
'03-42,24-11-01-01-06
'03-43,24-11-01-01-07
'03-44,24-11-01-01-08
'03-45,24-11-01-01-09
'03-46,24-11-01-01-10
'03-47,24-11-01-01-11
'03-48,24-11-01-01-12
'03-49,24-11-01-01-C
'03-50,NEG
'03-51,24-11-02-01-01
'03-52,24-11-02-01-02
'03-53,24-11-02-01-03
'03-54,24-11-02-01-04
'03-55,24-11-02-01-05
'03-56,24-11-02-01-06
'03-57,24-11-02-01-07
'03-58,24-11-02-01-08
'03-59,24-11-02-01-09
'03-60,24-11-02-01-10
'03-61,24-11-02-01-11
'03-62,24-11-02-01-12
'03-63,24-11-02-01-C
'03-64,NEG
'03-65,24-11-04-01-01
'03-66,24-11-04-01-02
'03-67,24-11-04-01-03
'03-68,24-11-04-01-04
'03-69,24-11-04-01-05
'03-70,24-11-04-01-06
'03-71,24-11-04-01-07
'03-72,24-11-04-01-08
'03-73,24-11-04-01-09
'03-74,24-11-04-01-10
'03-75,24-11-04-01-11
'03-76,24-11-04-01-12
'03-77,24-11-04-01-C
'03-78,NEG
'03-79,24-12-01-01-01
'03-80,24-12-01-01-02
'03-81,24-12-01-01-03
'04-01,24-12-01-01-04
'04-02,24-12-01-01-05
'04-03,24-12-01-01-06
'04-04,24-12-01-01-07
'04-05,24-12-01-01-08
'04-06,24-12-01-01-09
'04-07,24-12-01-01-10
'04-08,24-12-01-01-11
'04-09,24-12-01-01-12
'04-10,24-12-01-01-C
'04-11,NEG
'04-12,24-12-02-01-05
'04-13,24-12-02-01-C
'04-14,NEG
'04-15,24-12-03-01-02
'04-16,24-12-03-01-04
'04-17,24-12-03-01-07
'04-18,24-12-03-01-10
'04-19,24-12-03-01-12
'04-20,24-12-03-01-C
'04-21,NEG
'04-22,24-01-01-02-01
'04-23,24-01-01-02-02
'04-24,24-01-01-02-03
'04-25,24-01-01-02-04
'04-26,24-01-01-02-05
'04-27,24-01-01-02-06
'04-28,24-01-01-02-10
'04-29,24-01-01-02-12
'04-30,24-01-01-02-C
'04-31,NEG
'04-32,24-02-01-02-01
'04-33,24-02-01-02-02
'04-34,24-02-01-02-03
'04-35,24-02-01-02-04
'04-36,24-02-01-02-05
'04-37,24-02-01-02-06
'04-38,24-02-01-02-07
'04-39,24-02-01-02-08
'04-40,24-02-01-02-09
'04-41,24-02-01-02-10
'04-42,24-02-01-02-11
'04-43,24-02-01-02-12
'04-44,24-02-01-02-C
'04-45,NEG
'04-46,24-03-01-02-01
'04-47,24-03-01-02-02
'04-48,24-03-01-02-03
'04-49,24-03-01-02-04
'04-50,24-03-01-02-05
'04-51,24-03-01-02-06
'04-52,24-03-01-02-07
'04-53,24-03-01-02-08
'04-54,24-03-01-02-C
'04-55,NEG
'04-56,24-04-01-02-01
'04-57,24-04-01-02-02
'04-58,24-04-01-02-03
'04-59,24-04-01-02-04
'04-60,24-04-01-02-05
'04-61,24-04-01-02-06
'04-62,24-04-01-02-07
'04-63,24-04-01-02-08
'04-64,24-04-01-02-09
'04-65,24-04-01-02-10
'04-66,24-04-01-02-11
'04-67,24-04-01-02-12
'04-68,24-04-01-02-C
'04-69,NEG
'04-70,24-05-01-02-01
'04-71,24-05-01-02-02
'04-72,24-05-01-02-03
'04-73,24-05-01-02-04
'04-74,24-05-01-02-C
'04-75,NEG
'04-76,24-05-02-02-01
'04-77,24-05-02-02-02
'04-78,24-05-02-02-03
'04-79,24-05-02-02-04
'04-80,24-05-02-02-05
'04-81,24-05-02-02-06
'05-01,24-05-02-02-07
'05-02,24-05-02-02-08
'05-03,24-05-02-02-09
'05-04,24-05-02-02-10
'05-05,24-05-02-02-11
'05-06,24-05-02-02-12
'05-07,24-05-02-02-C
'05-08,NEG
'05-09,24-06-01-02-01
'05-10,24-06-01-02-02
'05-11,24-06-01-02-03
'05-12,24-06-01-02-04
'05-13,24-06-01-02-05
'05-14,24-06-01-02-06
'05-15,24-06-01-02-07
'05-16,24-06-01-02-08
'05-17,24-06-01-02-09
'05-18,24-06-01-02-10
'05-19,24-06-01-02-11
'05-20,24-06-01-02-12
'05-21,24-06-01-02-C
'05-22,NEG
'05-23,24-06-02-02-01
'05-24,24-06-02-02-02
'05-25,24-06-02-02-03
'05-26,24-06-02-02-04
'05-27,24-06-02-02-05
'05-28,24-06-02-02-06
'05-29,24-06-02-02-07
'05-30,24-06-02-02-08
'05-31,24-06-02-02-09
'05-32,24-06-02-02-10
'05-33,24-06-02-02-11
'05-34,24-06-02-02-12
'05-35,24-06-02-02-C
'05-36,NEG
'05-37,24-07-01-02-01
'05-38,24-07-01-02-02
'05-39,24-07-01-02-03
'05-40,24-07-01-02-04
'05-41,24-07-01-02-06
'05-42,24-07-01-02-07
'05-43,24-07-01-02-09
'05-44,24-07-01-02-11
'05-45,24-07-01-02-C
'05-46,NEG
'05-47,24-07-02-02-01
'05-48,24-07-02-02-02
'05-49,24-07-02-02-03
'05-50,24-07-02-02-04
'05-51,24-07-02-02-05
'05-52,24-07-02-02-06
'05-53,24-07-02-02-07
'05-54,24-07-02-02-08
'05-55,24-07-02-02-09
'05-56,24-07-02-02-10
'05-57,24-07-02-02-11
'05-58,24-07-02-02-12
'05-59,24-07-02-02-C
'05-60,NEG
'05-61,24-08-01-02-01
'05-62,24-08-01-02-03
'05-63,24-08-01-02-C
'05-64,NEG
'05-65,24-08-02-02-01
'05-66,24-08-02-02-02
'05-67,24-08-02-02-03
'05-68,24-08-02-02-04
'05-69,24-08-02-02-05
'05-70,24-08-02-02-06
'05-71,24-08-02-02-07
'05-72,24-08-02-02-08
'05-73,24-08-02-02-09
'05-74,24-08-02-02-10
'05-75,24-08-02-02-11
'05-76,24-08-02-02-12
'05-77,24-08-02-02-C
'05-78,NEG
'05-79,24-09-01-02-01
'05-80,24-09-01-02-02
'05-81,24-09-01-02-03
'06-01,24-09-01-02-04
'06-02,24-09-01-02-05
'06-03,24-09-01-02-06
'06-04,24-09-01-02-C
'06-05,NEG
'06-06,24-09-02-02-01
'06-07,24-09-02-02-02
'06-08,24-09-02-02-03
'06-09,24-09-02-02-04
'06-10,24-09-02-02-07
'06-11,24-09-02-02-10
'06-12,24-09-02-02-C
'06-13,NEG
'06-14,24-09-03-02-03
'06-15,24-09-03-02-04
'06-16,24-09-03-02-10
'06-17,24-09-03-02-07
'06-18,24-09-03-02-12
'06-19,24-09-03-02-C
'06-20,NEG
'06-21,24-10-01-02-01
'06-22,24-10-01-02-02
'06-23,24-10-01-02-03
'06-24,24-10-01-02-04
'06-25,24-10-01-02-05
'06-26,24-10-01-02-06
'06-27,24-10-01-02-07
'06-28,24-10-01-02-08
'06-29,24-10-01-02-09
'06-30,24-10-01-02-10
'06-31,24-10-01-02-11
'06-32,24-10-01-02-12
'06-33,24-10-01-02-C
'06-34,NEG
'06-35,24-10-02-02-01
'06-36,24-10-02-02-02
'06-37,24-10-02-02-03
'06-38,24-10-02-02-04
'06-39,24-10-02-02-05
'06-40,24-10-02-02-06
'06-41,24-10-02-02-07
'06-42,24-10-02-02-08
'06-43,24-10-02-02-09
'06-44,24-10-02-02-10
'06-45,24-10-02-02-11
'06-46,24-10-02-02-12
'06-47,24-10-02-02-C
'06-48,NEG
'06-49,24-10-03-02-01
'06-50,24-10-03-02-02
'06-51,24-10-03-02-03
'06-52,24-10-03-02-04
'06-53,24-10-03-02-05
'06-54,24-10-03-02-06
'06-55,24-10-03-02-07
'06-56,24-10-03-02-08
'06-57,24-10-03-02-09
'06-58,24-10-03-02-10
'06-59,24-10-03-02-11
'06-60,24-10-03-02-12
'06-61,24-10-03-02-C
'06-62,NEG
'06-63,24-11-01-02-01
'06-64,24-11-01-02-02
'06-65,24-11-01-02-03
'06-66,24-11-01-02-04
'06-67,24-11-01-02-05
'06-68,24-11-01-02-06
'06-69,24-11-01-02-07
'06-70,24-11-01-02-08
'06-71,24-11-01-02-09
'06-72,24-11-01-02-10
'06-73,24-11-01-02-11
'06-74,24-11-01-02-12
'06-75,24-11-01-02-13
'06-76,24-11-01-02-C
'06-77,NEG
'06-78,24-11-02-02-01
'06-79,24-11-02-02-02
'06-80,24-11-02-02-04
'06-81,24-11-02-02-05
'07-01,24-11-02-02-07
'07-02,24-11-02-02-09
'07-03,24-11-02-02-10
'07-04,24-11-02-02-11
'07-05,24-11-02-02-12
'07-06,24-11-02-02-13
'07-07,24-11-02-02-C
'07-08,NEG
'07-09,24-11-04-02-01
'07-10,24-11-04-02-02
'07-11,24-11-04-02-03
'07-12,24-11-04-02-04
'07-13,24-11-04-02-05
'07-14,24-11-04-02-06
'07-15,24-11-04-02-07
