Fluor,Target,Sample,Rep,Cq
FAM,,09020108,1,39.62526963
FAM,,09020108,2,35.94832502
FAM,,030102010,1,36.87228845
FAM,,030102010,2,39.07638833
FAM,,03010212,1,#NUM!
FAM,,03010212,2,#NUM!
FAM,,03010211,1,#NUM!
FAM,,03010211,2,38.47799019
FAM,,03010207,1,#NUM!
FAM,,03010207,2,27.63346791
FAM,,10010106,1,#NUM!
FAM,,10010106,2,#NUM!
FAM,,09020209,1,38.57012188
FAM,,09020209,2,#NUM!
FAM,,09010201,1,#NUM!
FAM,,09010201,2,#NUM!
FAM,,09010203,1,#NUM!
FAM,,09010203,2,#NUM!
FAM,,09020205,1,#NUM!
FAM,,09020205,2,#NUM!
FAM,,09020208,1,40.0272693
FAM,,09020208,2,38.177899
FAM,,09030201,1,35.17533242
FAM,,09030201,2,35.40274798
FAM,,09030210,1,38.52563281
FAM,,09030210,2,#NUM!
FAM,,0903020,1,#NUM!
FAM,,0903020,2,#NUM!
FAM,,09030207,1,#NUM!
FAM,,09030207,2,#NUM!
FAM,,03010209,1,#NUM!
FAM,,03010209,2,#NUM!
FAM,,10010107,1,#NUM!
FAM,,10010107,2,#NUM!
FAM,,09030204,1,#NUM!
FAM,,09030204,2,#NUM!
FAM,,09030205,1,#NUM!
FAM,,09030205,2,#NUM!
FAM,,09030203,1,#NUM!
FAM,,09030203,2,#NUM!
FAM,,09030208,1,36.59081568
FAM,,09030208,2,37.00983222
FAM,,0902013,1,#NUM!
FAM,,0902013,2,#NUM!
FAM,,03010208,1,36.91772209
FAM,,03010208,2,36.72849052
FAM,,20102010/30102030/20102060,1,#NUM!
FAM,,20102010/30102030/20102061,2,#NUM!
FAM,,09020104,1,#NUM!
FAM,,09020104,2,#NUM!
FAM,,09020105,1,#NUM!
FAM,,09020105,2,#NUM!
FAM,,09020101,1,#NUM!
FAM,,09020101,2,#NUM!
FAM,,09030106,1,#NUM!
FAM,,09030106,2,#NUM!
FAM,,09010204,1,#NUM!
FAM,,09010204,2,#NUM!
FAM,,10030106,1,#NUM!
FAM,,10030106,2,#NUM!
FAM,,10030111,1,#NUM!
FAM,,10030111,2,#NUM!
FAM,,10030109,1,#NUM!
FAM,,10030109,2,#NUM!
FAM,,10030104,1,#NUM!
FAM,,10030104,2,#NUM!
FAM,,10010101,1,#NUM!
FAM,,10010101,2,#NUM!
FAM,,03010204,1,40.84509227
FAM,,03010204,2,#NUM!
FAM,,10030102,1,#NUM!
FAM,,10030102,2,#NUM!
FAM,,10010110,1,#NUM!
FAM,,10010110,2,#NUM!
FAM,,"Bd+FV3 10_5,5",1,25.62241178
FAM,,"Bd+FV3 10_2,2",1,#NUM!
FAM,,"Bd+FV3 10_1,1",1,#NUM!
FAM,,NTC,1,38.73280102
FAM,,03010202,1,#NUM!
FAM,,03010202,2,#NUM!
FAM,,09030214,1,33.55628845
FAM,,09030214,2,33.06841588
FAM,,10010111,1,40.25548206
FAM,,10010111,2,36.95085993
FAM,,10010103,1,37.06004296
FAM,,10010103,2,37.16596181
FAM,,"Bd+FV3 10_5,5",2,25.65426038
FAM,,"Bd+FV3 10_2,2",2,36.71689594
FAM,,"Bd+FV3 10_1,1",2,36.02734438
FAM,,NTC,2,16.29251875
HEX,,09020108,1,#NUM!
HEX,,09020108,2,#NUM!
HEX,,030102010,1,#NUM!
HEX,,030102010,2,#NUM!
HEX,,03010212,1,#NUM!
HEX,,03010212,2,#NUM!
HEX,,03010211,1,#NUM!
HEX,,03010211,2,#NUM!
HEX,,03010207,1,#NUM!
HEX,,03010207,2,#NUM!
