Well,Fluor,Target,Sample,Rep,Cq
A01,FAM,,'01-08,1,45
A02,FAM,,'01-08,2,45
A03,FAM,,'01-16,1,45
A04,FAM,,'01-16,2,45
A05,FAM,,'01-24,1,45
A06,FAM,,'01-24,2,45
A07,FAM,,'01-32,1,45
A08,FAM,,'01-32,2,39.85293883
A09,FAM,,'01-40,1,45
A10,FAM,,'01-40,2,45
A11,FAM,,'01-48,1,45
A12,FAM,,'01-48,2,45
B01,FAM,,'01-07,1,45
B02,FAM,,'01-07,2,45
B03,FAM,,'01-15,1,37.19509872
B04,FAM,,'01-15,2,36.41993704
B05,FAM,,'01-23,1,45
B06,FAM,,'01-23,2,45
B07,FAM,,'01-31,1,45
B08,FAM,,'01-31,2,45
B09,FAM,,'01-39,1,45
B10,FAM,,'01-39,2,45
B11,FAM,,'01-47,1,45
B12,FAM,,'01-47,2,45
C01,FAM,,'01-06,1,33.05968777
C02,FAM,,'01-06,2,33.03736642
C03,FAM,,'01-14,1,38.21088014
C04,FAM,,'01-14,2,39.60191824
C05,FAM,,'01-22,1,45
C06,FAM,,'01-22,2,45
C07,FAM,,'01-30,1,36.13789424
C08,FAM,,'01-30,2,36.02191339
C09,FAM,,'01-38,1,45
C10,FAM,,'01-38,2,45
C11,FAM,,'01-46,1,45
C12,FAM,,'01-46,2,45
D01,FAM,,'01-05,1,35.35159752
D02,FAM,,'01-05,2,34.62394382
D03,FAM,,'01-13,1,36.91124668
D04,FAM,,'01-13,2,45
D05,FAM,,'01-21,1,45
D06,FAM,,'01-21,2,45
D07,FAM,,'01-29,1,34.07265705
D08,FAM,,'01-29,2,33.84105913
D09,FAM,,'01-37,1,45
D10,FAM,,'01-37,2,45
D11,FAM,,'01-45,1,45
D12,FAM,,'01-45,2,45
E01,FAM,,'01-04,1,38.29025083
E02,FAM,,'01-04,2,45
E03,FAM,,'01-12,1,45
E04,FAM,,'01-12,2,45
E05,FAM,,'01-20,1,37.88627627
E06,FAM,,'01-20,2,37.42972744
E07,FAM,,'01-28,1,45
E08,FAM,,'01-28,2,45
E09,FAM,,'01-36,1,45
E10,FAM,,'01-36,2,45
E11,FAM,,'01-44,1,45
E12,FAM,,'01-44,2,45
F01,FAM,,'01-03,1,45
F02,FAM,,'01-03,2,45
F03,FAM,,'01-11,1,45
F04,FAM,,'01-11,2,45
F05,FAM,,'01-19,1,45
F06,FAM,,'01-19,2,45
F07,FAM,,'01-27,1,45
F08,FAM,,'01-27,2,45
F09,FAM,,'01-35,1,45
F10,FAM,,'01-35,2,45
F11,FAM,,'01-43,1,39.0555209
F12,FAM,,'01-43,2,39.28775968
G01,FAM,,"Bd+FV3 10_9,9",1,8.018685375
G02,FAM,,"Bd+FV3 10_8,8",1,12.01164149
G03,FAM,,"Bd+FV3 10_7,7",1,16.01120366
G04,FAM,,"Bd+FV3 10_6,6",1,18.34242395
G05,FAM,,"Bd+FV3 10_5,5",1,22.2696038
G06,FAM,,"Bd+FV3 10_4,4",1,26.15425064
G07,FAM,,"Bd+FV3 10_3,3",1,29.29233408
G08,FAM,,"Bd+FV3 10_2,2",1,32.96351001
G09,FAM,,"Bd+FV3 10_1,1",1,37.09557035
G10,FAM,,"Bd+FV3 10_0,0",1,45
G11,FAM,,NTC,1,45
G12,FAM,,Blank,1,45
H01,FAM,,"Bd+FV3 10_9,9",2,8.052592528
H02,FAM,,"Bd+FV3 10_8,8",2,12.35286381
H03,FAM,,"Bd+FV3 10_7,7",2,16.30463619
H04,FAM,,"Bd+FV3 10_6,6",2,19.98979908
H05,FAM,,"Bd+FV3 10_5,5",2,23.56007821
H06,FAM,,"Bd+FV3 10_4,4",2,26.54115286
H07,FAM,,"Bd+FV3 10_3,3",2,30.03022335
H08,FAM,,"Bd+FV3 10_2,2",2,33.31353644
H09,FAM,,"Bd+FV3 10_1,1",2,36.73243016
H10,FAM,,"Bd+FV3 10_0,0",2,45
H11,FAM,,NTC,2,45
