ComplexID,PondID,SiteID,Year,Survey Number,Site Name,Date,WaterTemp.Site,Air Temp,Conductivity,Weather,CatchOfDay,Time,SampleID,Species,SVL(TL),A/T,WaterTemp.Nearest,Symptoms,Mortality,RanaLoad,BDLoad,,Notes
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,01,,01-01-01-01,GF,7.5,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,02,,01-01-01-02,GF,5.2,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,03,,01-01-01-03,GF,4.5,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,04,,01-01-01-04,GF,4.6,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,05,,01-01-01-05,GF,5.6,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,06,,01-01-01-06,GF,5.3,,,,,,,,Leeches
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,07,,01-01-01-07,GF,6.5,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,08,,01-01-01-08,GF,5.4,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,09,,01-01-01-09,GF,8.0,,,,,,,,Leeches
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,10,,01-01-01-10,GF,7.5,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,11,,01-01-01-11,GF,5.4,,,,,,,,
01,01,01-01,2022,01,BirdsOfVT,5/24/2022,18.2,18,,Sunny + clear,12,,01-01-01-12,GF,5.3,,,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,01,1:50,01-01-02-01,GF,9.0,T,29.4,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,02,1:52,01-01-02-02,GF,7.3,T,31.5,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,03,1:55,01-01-02-03,GF,7.4,T,29.8,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,04,1:55,01-01-02-04,GF,7.1,T,31.2,,,,,,LOTS OF LEACHES
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,05,1:59,01-01-02-05,GF,2.8,A,29.8,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,06,1:59,01-01-02-06,GF,7.5,T,31.2,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,07,2:02,01-01-02-07,GF,2.8,T,31.1,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,08,2:05,01-01-02-08,GF,7.7,T,31.1,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,09,2:07,01-01-02-09,GF,2.8,T,30.5,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,10,2:08,01-01-02-10,GF,5.5,T,31.4,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,11,2:12,01-01-02-11,GF,6.2,T,31.3,,,,,,
01,01,01-01,2022,02,BirdsOfVT,7/28/2022,32.7,30.2,18.8,sunny,12,2:13,01-01-02-12,GF,3.0,A,30.9,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,01,8:59,02-01-01-01,GF,3.2,A,22.1,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,02,9:10,02-01-01-02,GF,3.0,A,22.1,,,,,,small tail on it
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,03,9:21,02-01-01-03,GF,3.2,A,22.2,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,04,9:22,02-01-01-04,GF,8.4,A,17.6,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,05,9:27,02-01-01-05,GF,2.9,A,17.8,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,06,9:28,02-01-01-06,GF,6.9,A,17.8,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,07,9:37,02-01-01-07,GF,3.8,A,19.0,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,08,9:48,02-01-01-08,GF,7.2,T,18.5,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,09,9:51,02-01-01-09,GF,6.9,A,23.2,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,10,9:55,02-01-01-10,GF,2.9,A,18.1,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,11,9:55,02-01-01-11,GF,3.1,T,18.1,,,,,,
02,01,02-01,2022,01,AudobonCenter,6/15/2022,19.1,19.3,,Sunny  ,12,9:55,02-01-01-12,GF,3.0,A,21.1,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,01,8:43,02-01-02-01,GF,3.1,A,19.8,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,02,9:32,02-01-02-02,GF,5.3,A,19.2,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,03,9:40,02-01-02-03,AB,3.9,A,21.5,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,04,9:44,02-01-02-04,GF,3.1,A,23.8,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,05,9:54,02-01-02-05,AB,4.2,A,20.4,,,,,,NUB
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,06,10:02,02-01-02-06,GF,2.7,A,22.2,,,,,,NUB
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,07,10:07,02-01-02-07,GF,3.1,A,20.8,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,08,10:22,02-01-02-08,GF,3.4,T,18.6,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,09,10:26,02-01-02-09,GF,3.2,A,19.6,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,10,10:30,02-01-02-10,GF,2.8,A,19.4,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,11,10:36,02-01-02-11,GF,3.4,A,19.6,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,12,10:44,02-01-02-12,GF,6.7,A,20.8,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,13,10:48,02-01-02-13,GF,6.6,T,22.9,,,,,,
02,01,02-01,2022,02,AudobonCenter,7/28/2022,19.5,19.9,178.5,clear skies,14,11:15,02-01-02-14,GF,2.9,A,22.1,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,01,9:34,03-01-01-01,GF,6.3,A,16.8,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,02,9:31,03-01-01-02,GF,6.2,A,16.8,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,03,9:35,03-01-01-03,GF,5.7,A,16.8,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,04,9:39,03-01-01-04,GF,7.3,T,16.8,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,05,9:45,03-01-01-05,GF,4.1,A,16.8,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,06,9:51,03-01-01-06,GF,6.1,A,21.2,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,07,9:56,03-01-01-07,GF,7.9,A,21.2,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,08,10:47,03-01-01-08,GF,6.7,A,19.1,,,,,,
03,01,03-01,2022,01,GilletPond,6/14/2022,22.1,22.3,,Sunny,09,11:50,03-01-01-09,RSN,4.1,A,18.7,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,01,9:38,03-01-02-01,GF,2.9,T,26.1,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,02,9:39,03-01-02-02,GF,3.5,A,22.5,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,03,9:59,03-01-02-03,GF,2.9,T,20.5,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,04,10:12,03-01-02-04,GF,3.0,T,26.7,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,05,10:22,03-01-02-05,GF,2.4,T,26.6,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,06,10:24,03-01-02-06,GF,2.8,A,27.2,,,,,,HAD TAIL
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,07,10:30,03-01-02-07,GF,2.5,T,27.1,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,08,10:33,03-01-02-08,GF,2.3,A,25.2,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,09,10:43,03-01-02-09,GF,2.2,A,27.2,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,10,10:45,03-01-02-10,GF,2.2,A,28.3,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,11,10:51,03-01-02-11,GF,6.4,A,28.4,,,,,,
03,01,03-01,2022,02,GilletPond,7/15/2022,25.6,21.1,96.5,sunny,12,10:59,03-01-02-12,GF,2.8,T,29.9,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,01,8:41,04-01-01-01,GF,5.4,A,21.4,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,02,8:45,04-01-01-02,GF,3.0,A,21.3,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,03,8:46,04-01-01-03,GF,2.5,A,21.3,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,04,8:53,04-01-01-04,GF,2.7,A,21.3,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,05,9:04,04-01-01-05,GF,2.7,A,21.7,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,06,9:10,04-01-01-06,GF,2.5,A,21.7,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,07,9:19,04-01-01-07,GF,2.8,T,22.2,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,08,9:27,04-01-01-08,GF,2.6,A,22.5,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,09,9:27,04-01-01-09,GF,5.0,A,22.4,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,10,9:39,04-01-01-10,GF,4.6,T,21.7,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,11,9:49,04-01-01-11,GF,4.9,T,22.5,,,,,,
04,01,04-01,2022,01,FrogAlley,6/17/2022,21.4,21.7,,Overcast,12,9:55,04-01-01-12,GF,4.7,T,22.5,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,01,8:55,04-01-02-01,GF,2.8,A,24.2,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,02,8:55,04-01-02-02,GF,2.9,A,24.2,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,03,8:56,04-01-02-03,GF,3.2,A,21.5,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,04,9:00,04-01-02-04,GF,6.9,T,22.1,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,05,9:03,04-01-02-05,GF,2.7,A,24.3,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,06,9:04,04-01-02-06,GF,2.6,A,22.2,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,07,9:04,04-01-02-07,GF,2.9,A,22.2,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,08,9:08,04-01-02-08,AB,3.4,A,23.8,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,09,9:08,04-01-02-09,GF,2.7,T,23.8,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,10,9:08,04-01-02-10,GF,2.1,A,25.1,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,11,9:13,04-01-02-11,GF,7.4,A,24.7,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,12,9:20,04-01-02-12,GF,5.7,A,24.3,,,,,,
04,01,04-01,2022,02,FrogAlley,7/18/2022,23.2,22.9,149.1,overcast,13,9:25,04-01-02-13,GF,5.5,A,24.2,,,,,,
05,01,05-01,2022,01,St.Albans-01,6/7/2022,21.3,21.3,,"Cloudy, light wind",01,9:47,05-01-01-01,GF,5.4,A,20.7,,,,,,
05,01,05-01,2022,01,St.Albans-01,6/7/2022,21.3,21.3,,"Cloudy, light wind",02,10:40,05-01-01-02,GF,6.6,A,22.3,,,,,,
05,01,05-01,2022,02,St.Albans-01,7/14/2022,23.3,16.2,141.3,rain,01,9:15,05-01-02-01,GF,3.2,A,18.5,,,,,,
05,01,05-01,2022,02,St.Albans-01,7/14/2022,23.3,16.2,141.3,rain,02,9:47,05-01-02-02,GF,3.6,T,24.3,,,,,,HAD TAIL
05,01,05-01,2022,03,St.Albans-01,8/5/2022,23.6,22.5,153.4,"overcast, chance of rain",01,9:06,05-01-03-01,GF,4.2,A,24.1,,,,,,
