Plot Title: 21422132,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422132, SEN S/N: 21422132)","Intensity, lum/ft² (LGR S/N: 21422132, SEN S/N: 21422132)",Coupler Attached (LGR S/N: 21422132),Host Connected (LGR S/N: 21422132),Stopped (LGR S/N: 21422132),End Of File (LGR S/N: 21422132)
1,6/15/2022 12:00,65.167,320,,,,
2,6/15/2022 12:15,65.167,208,,,,
3,6/15/2022 12:30,65.338,105,,,,
4,6/15/2022 12:45,65.509,256,,,,
5,6/15/2022 13:00,66.366,704,,,,
6,6/15/2022 13:15,66.193,368,,,,
7,6/15/2022 13:30,66.366,256,,,,
8,6/15/2022 13:45,66.537,184,,,,
9,6/15/2022 14:00,67.05,256,,,,
10,6/15/2022 14:15,67.221,184,,,,
11,6/15/2022 14:30,67.564,192,,,,
12,6/15/2022 14:45,67.735,184,,,,
13,6/15/2022 15:00,68.077,160,,,,
14,6/15/2022 15:15,68.248,144,,,,
15,6/15/2022 15:30,68.421,128,,,,
16,6/15/2022 15:45,68.592,122,,,,
17,6/15/2022 16:00,68.763,136,,,,
18,6/15/2022 16:15,68.934,125,,,,
19,6/15/2022 16:30,69.278,128,,,,
20,6/15/2022 16:45,69.278,108,,,,
21,6/15/2022 17:00,69.449,89,,,,
22,6/15/2022 17:15,69.622,94,,,,
23,6/15/2022 17:30,69.622,66,,,,
24,6/15/2022 17:45,69.793,47,,,,
25,6/15/2022 18:00,69.793,42,,,,
26,6/15/2022 18:15,69.964,31,,,,
27,6/15/2022 18:30,70.137,22,,,,
28,6/15/2022 18:45,70.137,18,,,,
29,6/15/2022 19:00,70.137,23,,,,
30,6/15/2022 19:15,70.137,18,,,,
31,6/15/2022 19:30,70.308,13,,,,
32,6/15/2022 19:45,70.308,13,,,,
33,6/15/2022 20:00,70.308,7,,,,
34,6/15/2022 20:15,70.308,3,,,,
35,6/15/2022 20:30,70.308,0,,,,
36,6/15/2022 20:45,70.137,0,,,,
37,6/15/2022 21:00,70.137,0,,,,
38,6/15/2022 21:15,70.137,0,,,,
39,6/15/2022 21:30,70.137,0,,,,
40,6/15/2022 21:45,70.137,0,,,,
41,6/15/2022 22:00,69.964,0,,,,
42,6/15/2022 22:15,69.964,0,,,,
43,6/15/2022 22:30,69.793,0,,,,
44,6/15/2022 22:45,69.622,0,,,,
45,6/15/2022 23:00,69.449,0,,,,
46,6/15/2022 23:15,69.278,0,,,,
47,6/15/2022 23:30,69.107,0,,,,
48,6/15/2022 23:45,68.934,0,,,,
49,6/16/2022 0:00,68.763,0,,,,
50,6/16/2022 0:15,68.592,0,,,,
51,6/16/2022 0:30,68.421,0,,,,
52,6/16/2022 0:45,68.248,0,,,,
53,6/16/2022 1:00,67.906,0,,,,
54,6/16/2022 1:15,67.906,0,,,,
55,6/16/2022 1:30,67.564,0,,,,
56,6/16/2022 1:45,67.392,0,,,,
57,6/16/2022 2:00,67.221,0,,,,
58,6/16/2022 2:15,67.221,0,,,,
59,6/16/2022 2:30,66.879,0,,,,
60,6/16/2022 2:45,66.708,0,,,,
61,6/16/2022 3:00,66.708,0,,,,
62,6/16/2022 3:15,66.537,0,,,,
63,6/16/2022 3:30,66.537,0,,,,
64,6/16/2022 3:45,66.366,0,,,,
65,6/16/2022 4:00,66.366,0,,,,
66,6/16/2022 4:15,66.193,0,,,,
67,6/16/2022 4:30,66.193,0,,,,
68,6/16/2022 4:45,66.193,0,,,,
69,6/16/2022 5:00,66.193,0,,,,
70,6/16/2022 5:15,66.193,0,,,,
71,6/16/2022 5:30,66.193,6,,,,
72,6/16/2022 5:45,66.193,9,,,,
73,6/16/2022 6:00,66.022,9,,,,
74,6/16/2022 6:15,66.193,16,,,,
75,6/16/2022 6:30,66.022,20,,,,
76,6/16/2022 6:45,66.022,28,,,,
77,6/16/2022 7:00,66.022,25,,,,
78,6/16/2022 7:15,66.022,36,,,,
79,6/16/2022 7:30,66.022,25,,,,
80,6/16/2022 7:45,66.022,44,,,,
81,6/16/2022 8:00,66.022,45,,,,
82,6/16/2022 8:15,66.193,51,,,,
83,6/16/2022 8:30,66.193,66,,,,
84,6/16/2022 8:45,66.193,62,,,,
85,6/16/2022 9:00,66.366,256,,,,
86,6/16/2022 9:15,66.537,117,,,,
87,6/16/2022 9:30,66.537,136,,,,
88,6/16/2022 9:45,66.537,200,,,,
89,6/16/2022 10:00,66.537,95,,,,
90,6/16/2022 10:15,66.708,73,,,,
91,6/16/2022 10:30,66.708,109,,,,
92,6/16/2022 10:45,66.879,96,,,,
93,6/16/2022 11:00,66.879,89,,,,
94,6/16/2022 11:15,67.05,192,,,,
95,6/16/2022 11:30,67.05,192,,,,
96,6/16/2022 11:45,67.392,184,,,,
97,6/16/2022 12:00,67.392,176,,,,
98,6/16/2022 12:15,67.392,176,,,,
99,6/16/2022 12:30,67.564,144,,,,
100,6/16/2022 12:45,67.735,208,,,,
101,6/16/2022 13:00,67.906,168,,,,
102,6/16/2022 13:15,68.077,168,,,,
103,6/16/2022 13:30,68.077,118,,,,
104,6/16/2022 13:45,68.248,101,,,,
105,6/16/2022 14:00,68.421,91,,,,
106,6/16/2022 14:15,68.592,122,,,,
107,6/16/2022 14:30,68.592,123,,,,
108,6/16/2022 14:45,68.763,127,,,,
109,6/16/2022 15:00,68.934,115,,,,
110,6/16/2022 15:15,69.107,95,,,,
111,6/16/2022 15:30,69.278,71,,,,
112,6/16/2022 15:45,69.278,126,,,,
113,6/16/2022 16:00,69.278,91,,,,
114,6/16/2022 16:15,69.449,119,,,,
115,6/16/2022 16:30,69.449,75,,,,
116,6/16/2022 16:45,69.622,176,,,,
117,6/16/2022 17:00,69.622,77,,,,
118,6/16/2022 17:15,69.622,88,,,,
119,6/16/2022 17:30,69.622,87,,,,
120,6/16/2022 17:45,69.622,61,,,,
121,6/16/2022 18:00,69.622,12,,,,
122,6/16/2022 18:15,69.622,21,,,,
123,6/16/2022 18:30,69.622,23,,,,
124,6/16/2022 18:45,69.793,10,,,,
125,6/16/2022 19:00,69.622,6,,,,
126,6/16/2022 19:15,69.622,6,,,,
127,6/16/2022 19:30,69.622,4,,,,
128,6/16/2022 19:45,69.622,6,,,,
129,6/16/2022 20:00,69.622,2,,,,
130,6/16/2022 20:15,69.622,2,,,,
131,6/16/2022 20:30,69.622,0,,,,
132,6/16/2022 20:45,69.622,0,,,,
133,6/16/2022 21:00,69.449,0,,,,
134,6/16/2022 21:15,69.449,0,,,,
135,6/16/2022 21:30,69.449,0,,,,
136,6/16/2022 21:45,69.449,0,,,,
137,6/16/2022 22:00,69.278,0,,,,
138,6/16/2022 22:15,69.449,0,,,,
139,6/16/2022 22:30,69.278,0,,,,
140,6/16/2022 22:45,69.278,0,,,,
141,6/16/2022 23:00,69.278,0,,,,
142,6/16/2022 23:15,69.107,0,,,,
143,6/16/2022 23:30,69.107,0,,,,
144,6/16/2022 23:45,69.107,0,,,,
145,6/17/2022 0:00,69.107,0,,,,
146,6/17/2022 0:15,69.107,0,,,,
147,6/17/2022 0:30,68.934,0,,,,
148,6/17/2022 0:45,68.934,0,,,,
149,6/17/2022 1:00,68.934,0,,,,
150,6/17/2022 1:15,68.763,0,,,,
