#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422130, SEN S/N: 21422130)","Intensity, lum/ft² (LGR S/N: 21422130, SEN S/N: 21422130)",Coupler Attached (LGR S/N: 21422130),Host Connected (LGR S/N: 21422130),Stopped (LGR S/N: 21422130),End Of File (LGR S/N: 21422130)
1,5/23/2024 12:00,73.58,33,,,,
2,5/23/2024 12:15,73.926,33,,,,
3,5/23/2024 12:30,74.098,30,,,,
4,5/23/2024 12:45,74.446,35,,,,
5,5/23/2024 13:00,74.619,28,,,,
6,5/23/2024 13:15,74.791,46,,,,
7,5/23/2024 13:30,75.139,32,,,,
8,5/23/2024 13:45,75.659,40,,,,
9,5/23/2024 14:00,76.181,28,,,,
10,5/23/2024 14:15,76.703,28,,,,
11,5/23/2024 14:30,77.574,44,,,,
12,5/23/2024 14:45,78.098,37,,,,
13,5/23/2024 15:00,78.624,25,,,,
14,5/23/2024 15:15,79.151,23,,,,
15,5/23/2024 15:30,79.678,25,,,,
16,5/23/2024 15:45,79.853,22,,,,
17,5/23/2024 16:00,80.029,23,,,,
18,5/23/2024 16:15,80.559,30,,,,
19,5/23/2024 16:30,80.735,31,,,,
20,5/23/2024 16:45,80.559,20,,,,
21,5/23/2024 17:00,80.911,18,,,,
22,5/23/2024 17:15,80.911,25,,,,
23,5/23/2024 17:30,80.911,12,,,,
24,5/23/2024 17:45,80.911,25,,,,
25,5/23/2024 18:00,80.382,22,,,,
26,5/23/2024 18:15,80.029,23,,,,
27,5/23/2024 18:30,79.853,11,,,,
28,5/23/2024 18:45,79.326,4,,,,
29,5/23/2024 19:00,78.8,2,,,,
30,5/23/2024 19:15,78.449,2,,,,
31,5/23/2024 19:30,77.923,2,,,,
32,5/23/2024 19:45,77.574,1,,,,
33,5/23/2024 20:00,77.225,0,,,,
34,5/23/2024 20:15,76.876,0,,,,
35,5/23/2024 20:30,76.528,0,,,,
36,5/23/2024 20:45,76.181,0,,,,
37,5/23/2024 21:00,75.832,0,,,,
38,5/23/2024 21:15,75.484,0,,,,
39,5/23/2024 21:30,75.139,0,,,,
40,5/23/2024 21:45,74.964,0,,,,
41,5/23/2024 22:00,74.619,0,,,,
42,5/23/2024 22:15,74.271,0,,,,
43,5/23/2024 22:30,74.098,0,,,,
44,5/23/2024 22:45,73.753,0,,,,
45,5/23/2024 23:00,73.407,0,,,,
46,5/23/2024 23:15,73.234,0,,,,
47,5/23/2024 23:30,72.891,0,,,,
48,5/23/2024 23:45,72.545,0,,,,
49,5/24/2024 0:00,72.372,0,,,,
50,5/24/2024 0:15,72.028,0,,,,
51,5/24/2024 0:30,71.856,0,,,,
52,5/24/2024 0:45,71.512,0,,,,
53,5/24/2024 1:00,71.168,0,,,,
54,5/24/2024 1:15,70.995,0,,,,
55,5/24/2024 1:30,70.651,0,,,,
56,5/24/2024 1:45,70.48,0,,,,
57,5/24/2024 2:00,70.137,0,,,,
58,5/24/2024 2:15,69.964,0,,,,
59,5/24/2024 2:30,69.622,0,,,,
60,5/24/2024 2:45,69.449,0,,,,
61,5/24/2024 3:00,69.278,0,,,,
62,5/24/2024 3:15,68.934,0,,,,
63,5/24/2024 3:30,68.763,0,,,,
64,5/24/2024 3:45,68.421,0,,,,
65,5/24/2024 4:00,68.248,0,,,,
66,5/24/2024 4:15,68.077,0,,,,
67,5/24/2024 4:30,67.906,0,,,,
68,5/24/2024 4:45,67.564,0,,,,
69,5/24/2024 5:00,67.392,0,,,,
70,5/24/2024 5:15,67.221,0,,,,
71,5/24/2024 5:30,66.879,0,,,,
72,5/24/2024 5:45,66.708,0,,,,
73,5/24/2024 6:00,66.708,1,,,,
74,5/24/2024 6:15,66.537,2,,,,
75,5/24/2024 6:30,66.366,2,,,,
76,5/24/2024 6:45,66.193,3,,,,
77,5/24/2024 7:00,66.022,4,,,,
78,5/24/2024 7:15,65.851,4,,,,
