Plot Title: 21422115,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422115, SEN S/N: 21422115)","Intensity, lum/ft² (LGR S/N: 21422115, SEN S/N: 21422115)",Coupler Attached (LGR S/N: 21422115),Coupler Detached (LGR S/N: 21422115),Host Connected (LGR S/N: 21422115),Stopped (LGR S/N: 21422115),End Of File (LGR S/N: 21422115)
1,6/1/2022 12:00,66.022,115,,,,,
2,6/1/2022 12:15,66.366,256,,,,,
3,6/1/2022 12:30,66.537,192,,,,,
4,6/1/2022 12:45,66.708,208,,,,,
5,6/1/2022 13:00,66.879,248,,,,,
6,6/1/2022 13:15,66.879,200,,,,,
7,6/1/2022 13:30,67.05,248,,,,,
8,6/1/2022 13:45,67.221,416,,,,,
9,6/1/2022 14:00,67.221,232,,,,,
10,6/1/2022 14:15,67.392,288,,,,,
11,6/1/2022 14:30,67.392,304,,,,,
12,6/1/2022 14:45,67.564,272,,,,,
13,6/1/2022 15:00,67.564,352,,,,,
14,6/1/2022 15:15,67.564,304,,,,,
15,6/1/2022 15:30,67.564,240,,,,,
16,6/1/2022 15:45,67.564,248,,,,,
17,6/1/2022 16:00,67.564,224,,,,,
18,6/1/2022 16:15,67.564,200,,,,,
19,6/1/2022 16:30,67.564,168,,,,,
20,6/1/2022 16:45,67.564,176,,,,,
21,6/1/2022 17:00,67.564,136,,,,,
22,6/1/2022 17:15,67.392,160,,,,,
23,6/1/2022 17:30,67.392,168,,,,,
24,6/1/2022 17:45,67.392,192,,,,,
25,6/1/2022 18:00,67.392,102,,,,,
26,6/1/2022 18:15,67.221,32,,,,,
27,6/1/2022 18:30,67.221,23,,,,,
28,6/1/2022 18:45,67.221,75,,,,,
29,6/1/2022 19:00,67.221,59,,,,,
30,6/1/2022 19:15,67.05,22,,,,,
31,6/1/2022 19:30,67.05,14,,,,,
32,6/1/2022 19:45,66.879,16,,,,,
33,6/1/2022 20:00,66.879,40,,,,,
34,6/1/2022 20:15,66.708,5,,,,,
35,6/1/2022 20:30,66.708,0,,,,,
36,6/1/2022 20:45,66.708,0,,,,,
37,6/1/2022 21:00,66.708,0,,,,,
38,6/1/2022 21:15,66.537,0,,,,,
39,6/1/2022 21:30,66.537,0,,,,,
40,6/1/2022 21:45,66.537,0,,,,,
41,6/1/2022 22:00,66.537,0,,,,,
42,6/1/2022 22:15,66.366,0,,,,,
43,6/1/2022 22:30,66.366,0,,,,,
44,6/1/2022 22:45,66.366,0,,,,,
45,6/1/2022 23:00,66.366,0,,,,,
46,6/1/2022 23:15,66.366,0,,,,,
47,6/1/2022 23:30,66.193,0,,,,,
48,6/1/2022 23:45,66.193,0,,,,,
49,6/2/2022 0:00,66.193,0,,,,,
50,6/2/2022 0:15,66.193,0,,,,,
51,6/2/2022 0:30,66.193,0,,,,,
52,6/2/2022 0:45,66.193,0,,,,,
53,6/2/2022 1:00,66.193,0,,,,,
54,6/2/2022 1:15,66.193,0,,,,,
55,6/2/2022 1:30,63.455,0,,,,,
56,6/2/2022 1:45,64.31,0,,,,,
57,6/2/2022 2:00,64.652,0,,,,,
58,6/2/2022 2:15,64.652,0,,,,,
59,6/2/2022 2:30,64.825,0,,,,,
60,6/2/2022 2:45,64.825,0,,,,,
61,6/2/2022 3:00,64.996,0,,,,,
62,6/2/2022 3:15,64.996,0,,,,,
63,6/2/2022 3:30,64.996,0,,,,,
64,6/2/2022 3:45,64.996,0,,,,,
65,6/2/2022 4:00,64.996,0,,,,,
66,6/2/2022 4:15,64.996,0,,,,,
67,6/2/2022 4:30,64.996,0,,,,,
68,6/2/2022 4:45,64.996,0,,,,,
69,6/2/2022 5:00,64.996,0,,,,,
70,6/2/2022 5:15,64.996,2,,,,,
71,6/2/2022 5:30,64.996,9,,,,,
72,6/2/2022 5:45,64.996,19,,,,,
73,6/2/2022 6:00,64.996,37,,,,,
74,6/2/2022 6:15,64.996,43,,,,,
75,6/2/2022 6:30,64.996,76,,,,,
76,6/2/2022 6:45,64.825,83,,,,,
77,6/2/2022 7:00,64.825,46,,,,,
78,6/2/2022 7:15,64.825,114,,,,,
79,6/2/2022 7:30,64.825,88,,,,,
80,6/2/2022 7:45,64.825,108,,,,,
81,6/2/2022 8:00,64.825,176,,,,,
82,6/2/2022 8:15,64.825,176,,,,,
83,6/2/2022 8:30,64.825,208,,,,,
84,6/2/2022 8:45,64.996,232,,,,,
85,6/2/2022 9:00,64.996,232,,,,,
86,6/2/2022 9:15,64.996,152,,,,,
87,6/2/2022 9:30,64.996,89,,,,,
88,6/2/2022 9:45,64.996,168,,,,,
89,6/2/2022 10:00,64.996,122,,,,,
90,6/2/2022 10:15,64.996,110,,,,,
91,6/2/2022 10:30,64.996,144,,,,,
92,6/2/2022 10:45,64.996,208,,,,,
93,6/2/2022 11:00,64.996,224,,,,,
94,6/2/2022 11:15,65.167,368,,,,,
95,6/2/2022 11:30,65.338,336,,,,,
96,6/2/2022 11:45,65.509,272,,,,,
97,6/2/2022 12:00,65.338,256,,,,,
98,6/2/2022 12:15,65.338,208,,,,,
99,6/2/2022 12:30,65.509,256,,,,,
100,6/2/2022 12:45,65.338,224,,,,,
101,6/2/2022 13:00,65.509,384,,,,,
102,6/2/2022 13:15,65.509,256,,,,,
