Plot Title: Birds of VT,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422124, SEN S/N: 21422124)","Intensity, lum/ft² (LGR S/N: 21422124, SEN S/N: 21422124)",Coupler Attached (LGR S/N: 21422124),Coupler Detached (LGR S/N: 21422124),Host Connected (LGR S/N: 21422124),Stopped (LGR S/N: 21422124),End Of File (LGR S/N: 21422124)
1,5/22/2024 12:00,72.028,47,,,,,
2,5/22/2024 12:15,72.891,45,,,,,
3,5/22/2024 12:30,73.926,44,,,,,
4,5/22/2024 12:45,74.271,44,,,,,
5,5/22/2024 13:00,74.446,46,,,,,
6,5/22/2024 13:15,74.446,48,,,,,
7,5/22/2024 13:30,74.964,46,,,,,
8,5/22/2024 13:45,76.703,52,,,,,
9,5/22/2024 14:00,78.274,47,,,,,
10,5/22/2024 14:15,78.274,48,,,,,
11,5/22/2024 14:30,77.923,58,,,,,
12,5/22/2024 14:45,78.624,68,,,,,
13,5/22/2024 15:00,79.853,56,,,,,
14,5/22/2024 15:15,79.853,96,,,,,
15,5/22/2024 15:30,80.206,144,,,,,
16,5/22/2024 15:45,80.911,216,,,,,
17,5/22/2024 16:00,81.621,224,,,,,
18,5/22/2024 16:15,81.975,160,,,,,
19,5/22/2024 16:30,81.09,136,,,,,
20,5/22/2024 16:45,81.266,75,,,,,
21,5/22/2024 17:00,81.442,123,,,,,
22,5/22/2024 17:15,81.621,136,,,,,
23,5/22/2024 17:30,80.735,60,,,,,
24,5/22/2024 17:45,80.382,57,,,,,
25,5/22/2024 18:00,80.559,23,,,,,
26,5/22/2024 18:15,80.206,36,,,,,
27,5/22/2024 18:30,79.678,32,,,,,
28,5/22/2024 18:45,79.502,26,,,,,
29,5/22/2024 19:00,79.151,18,,,,,
30,5/22/2024 19:15,78.8,5,,,,,
31,5/22/2024 19:30,78.274,2,,,,,
32,5/22/2024 19:45,77.923,3,,,,,
33,5/22/2024 20:00,77.574,3,,,,,
34,5/22/2024 20:15,77.225,0,,,,,
35,5/22/2024 20:30,76.703,0,,,,,
36,5/22/2024 20:45,76.354,0,,,,,
37,5/22/2024 21:00,76.006,0,,,,,
38,5/22/2024 21:15,75.832,0,,,,,
39,5/22/2024 21:30,75.484,0,,,,,
40,5/22/2024 21:45,75.139,0,,,,,
41,5/22/2024 22:00,74.964,0,,,,,
42,5/22/2024 22:15,74.791,0,,,,,
43,5/22/2024 22:30,74.446,0,,,,,
44,5/22/2024 22:45,74.271,0,,,,,
45,5/22/2024 23:00,74.098,0,,,,,
46,5/22/2024 23:15,73.926,0,,,,,
47,5/22/2024 23:30,73.58,0,,,,,
48,5/22/2024 23:45,73.407,0,,,,,
49,5/23/2024 0:00,73.234,0,,,,,
50,5/23/2024 0:15,73.062,0,,,,,
51,5/23/2024 0:30,72.891,0,,,,,
52,5/23/2024 0:45,72.718,0,,,,,
53,5/23/2024 1:00,72.545,0,,,,,
54,5/23/2024 1:15,72.372,0,,,,,
55,5/23/2024 1:30,72.199,0,,,,,
56,5/23/2024 1:45,72.199,0,,,,,
57,5/23/2024 2:00,72.028,0,,,,,
58,5/23/2024 2:15,71.856,0,,,,,
59,5/23/2024 2:30,71.683,0,,,,,
60,5/23/2024 2:45,71.683,0,,,,,
61,5/23/2024 3:00,71.512,0,,,,,
62,5/23/2024 3:15,71.512,0,,,,,
63,5/23/2024 3:30,71.339,0,,,,,
64,5/23/2024 3:45,71.339,0,,,,,
65,5/23/2024 4:00,71.168,0,,,,,
66,5/23/2024 4:15,71.168,0,,,,,
67,5/23/2024 4:30,70.995,0,,,,,
68,5/23/2024 4:45,70.995,0,,,,,
69,5/23/2024 5:00,70.824,0,,,,,
70,5/23/2024 5:15,70.824,0,,,,,
71,5/23/2024 5:30,70.651,3,,,,,
72,5/23/2024 5:45,70.651,9,,,,,
73,5/23/2024 6:00,70.651,7,,,,,
74,5/23/2024 6:15,70.48,5,,,,,
75,5/23/2024 6:30,70.48,21,,,,,
76,5/23/2024 6:45,70.48,23,,,,,
77,5/23/2024 7:00,70.48,41,,,,,
78,5/23/2024 7:15,70.308,24,,,,,
79,5/23/2024 7:30,70.308,22,,,,,
