Plot Title: Camp Johnson -1,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422132, SEN S/N: 21422132)","Intensity, lum/ft² (LGR S/N: 21422132, SEN S/N: 21422132)",Coupler Attached (LGR S/N: 21422132),Host Connected (LGR S/N: 21422132),Stopped (LGR S/N: 21422132),End Of File (LGR S/N: 21422132)
1,6/14/2024 12:00,78.098,304,,,,
2,6/14/2024 12:15,78.975,704,,,,
3,6/14/2024 12:30,78.8,336,,,,
4,6/14/2024 12:45,79.678,432,,,,
5,6/14/2024 13:00,79.326,1344,,,,
6,6/14/2024 13:15,80.735,1216,,,,
7,6/14/2024 13:30,80.206,232,,,,
8,6/14/2024 13:45,81.442,1024,,,,
9,6/14/2024 14:00,81.266,896,,,,
10,6/14/2024 14:15,81.797,272,,,,
11,6/14/2024 14:30,83.043,992,,,,
12,6/14/2024 14:45,83.579,1152,,,,
13,6/14/2024 15:00,83.221,304,,,,
14,6/14/2024 15:15,84.654,992,,,,
15,6/14/2024 15:30,84.295,320,,,,
16,6/14/2024 15:45,85.014,1088,,,,
17,6/14/2024 16:00,85.194,1088,,,,
18,6/14/2024 16:15,84.474,200,,,,
19,6/14/2024 16:30,84.654,480,,,,
20,6/14/2024 16:45,83.935,288,,,,
21,6/14/2024 17:00,83.579,224,,,,
22,6/14/2024 17:15,82.864,256,,,,
23,6/14/2024 17:30,82.33,184,,,,
24,6/14/2024 17:45,81.975,272,,,,
25,6/14/2024 18:00,81.442,256,,,,
26,6/14/2024 18:15,81.09,352,,,,
27,6/14/2024 18:30,80.735,256,,,,
28,6/14/2024 18:45,80.382,200,,,,
29,6/14/2024 19:00,80.029,224,,,,
30,6/14/2024 19:15,79.678,208,,,,
31,6/14/2024 19:30,79.151,168,,,,
32,6/14/2024 19:45,78.8,124,,,,
33,6/14/2024 20:00,78.274,72,,,,
34,6/14/2024 20:15,77.923,32,,,,
35,6/14/2024 20:30,77.574,14,,,,
36,6/14/2024 20:45,77.05,1,,,,
37,6/14/2024 21:00,76.703,0,,,,
38,6/14/2024 21:15,76.528,0,,,,
39,6/14/2024 21:30,76.181,0,,,,
40,6/14/2024 21:45,76.006,0,,,,
41,6/14/2024 22:00,75.832,0,,,,
42,6/14/2024 22:15,75.484,0,,,,
43,6/14/2024 22:30,75.312,0,,,,
44,6/14/2024 22:45,75.139,0,,,,
45,6/14/2024 23:00,74.791,0,,,,
46,6/14/2024 23:15,74.619,0,,,,
47,6/14/2024 23:30,74.446,0,,,,
48,6/14/2024 23:45,74.098,0,,,,
49,6/15/2024 0:00,73.926,0,,,,
50,6/15/2024 0:15,73.753,0,,,,
51,6/15/2024 0:30,73.407,0,,,,
52,6/15/2024 0:45,73.234,0,,,,
53,6/15/2024 1:00,73.062,0,,,,
54,6/15/2024 1:15,72.718,0,,,,
55,6/15/2024 1:30,72.545,0,,,,
56,6/15/2024 1:45,72.372,0,,,,
57,6/15/2024 2:00,72.028,0,,,,
58,6/15/2024 2:15,71.856,0,,,,
59,6/15/2024 2:30,71.683,0,,,,
60,6/15/2024 2:45,71.339,0,,,,
61,6/15/2024 3:00,71.168,0,,,,
62,6/15/2024 3:15,70.995,0,,,,
63,6/15/2024 3:30,70.651,0,,,,
64,6/15/2024 3:45,70.48,0,,,,
65,6/15/2024 4:00,70.308,0,,,,
66,6/15/2024 4:15,69.964,0,,,,
67,6/15/2024 4:30,69.793,0,,,,
68,6/15/2024 4:45,69.449,0,,,,
69,6/15/2024 5:00,69.449,1,,,,
70,6/15/2024 5:15,69.107,6,,,,
71,6/15/2024 5:30,68.934,14,,,,
72,6/15/2024 5:45,68.934,21,,,,
73,6/15/2024 6:00,68.592,28,,,,
74,6/15/2024 6:15,68.248,34,,,,
75,6/15/2024 6:30,68.077,40,,,,
76,6/15/2024 6:45,67.906,46,,,,
77,6/15/2024 7:00,67.735,54,,,,
78,6/15/2024 7:15,67.735,64,,,,
79,6/15/2024 7:30,67.564,68,,,,
80,6/15/2024 7:45,67.392,136,,,,
81,6/15/2024 8:00,67.906,416,,,,
82,6/15/2024 8:15,68.421,416,,,,
83,6/15/2024 8:30,69.107,800,,,,
84,6/15/2024 8:45,69.449,896,,,,
85,6/15/2024 9:00,69.793,960,,,,
86,6/15/2024 9:15,70.651,992,,,,
87,6/15/2024 9:30,71.168,1024,,,,
88,6/15/2024 9:45,71.512,1152,,,,
89,6/15/2024 10:00,72.372,1024,,,,
90,6/15/2024 10:15,72.718,160,,,,
91,6/15/2024 10:30,73.234,1088,,,,
92,6/15/2024 10:45,74.098,1152,,,,
93,6/15/2024 11:00,74.271,1024,,,,
94,6/15/2024 11:15,75.484,1088,,,,
95,6/15/2024 11:30,75.832,1088,,,,
96,6/15/2024 11:45,76.354,1024,,,,
97,6/15/2024 12:00,76.876,1152,,,,
98,6/15/2024 12:15,77.225,768,,,,
99,6/15/2024 12:30,77.749,272,,,,
100,6/15/2024 12:45,78.8,1216,,,,
101,6/15/2024 13:00,79.151,960,,,,
102,6/15/2024 13:15,79.678,864,,,,
103,6/15/2024 13:30,80.559,896,,,,
104,6/15/2024 13:45,80.911,1152,,,,
105,6/15/2024 14:00,81.266,896,,,,
106,6/15/2024 14:15,81.442,384,,,,
107,6/15/2024 14:30,81.09,480,,,,
108,6/15/2024 14:45,81.797,1280,,,,
109,6/15/2024 15:00,81.797,672,,,,
110,6/15/2024 15:15,81.975,1280,,,,
111,6/15/2024 15:30,82.33,1216,,,,
112,6/15/2024 15:45,82.686,1152,,,,
113,6/15/2024 16:00,82.686,1152,,,,
114,6/15/2024 16:15,82.864,1024,,,,
115,6/15/2024 16:30,82.686,1088,,,,
116,6/15/2024 16:45,82.508,1024,,,,
117,6/15/2024 17:00,82.152,960,,,,
118,6/15/2024 17:15,81.621,576,,,,
119,6/15/2024 17:30,81.09,400,,,,
120,6/15/2024 17:45,80.559,272,,,,
121,6/15/2024 18:00,79.853,176,,,,
122,6/15/2024 18:15,79.326,160,,,,
123,6/15/2024 18:30,78.8,144,,,,
124,6/15/2024 18:45,78.449,98,,,,
125,6/15/2024 19:00,77.749,65,,,,
126,6/15/2024 19:15,77.05,52,,,,
127,6/15/2024 19:30,76.354,28,,,,
128,6/15/2024 19:45,76.006,21,,,,
129,6/15/2024 20:00,75.484,16,,,,
130,6/15/2024 20:15,74.964,15,,,,
131,6/15/2024 20:30,74.619,8,,,,
132,6/15/2024 20:45,74.098,2,,,,
133,6/15/2024 21:00,73.58,0,,,,
134,6/15/2024 21:15,73.234,0,,,,
135,6/15/2024 21:30,72.891,0,,,,
136,6/15/2024 21:45,72.718,0,,,,
137,6/15/2024 22:00,72.199,0,,,,
138,6/15/2024 22:15,71.856,0,,,,
139,6/15/2024 22:30,71.683,0,,,,
140,6/15/2024 22:45,71.339,0,,,,
141,6/15/2024 23:00,70.995,0,,,,
142,6/15/2024 23:15,70.651,0,,,,
143,6/15/2024 23:30,70.308,0,,,,
144,6/15/2024 23:45,70.137,0,,,,
145,6/16/2024 0:00,69.793,0,,,,
146,6/16/2024 0:15,69.449,0,,,,
147,6/16/2024 0:30,69.278,0,,,,
148,6/16/2024 0:45,68.934,0,,,,
149,6/16/2024 1:00,68.763,0,,,,
150,6/16/2024 1:15,68.421,0,,,,
151,6/16/2024 1:30,68.248,0,,,,
152,6/16/2024 1:45,68.077,0,,,,
153,6/16/2024 2:00,68.077,0,,,,
154,6/16/2024 2:15,67.735,0,,,,
155,6/16/2024 2:30,67.735,0,,,,
156,6/16/2024 2:45,67.392,0,,,,
157,6/16/2024 3:00,67.221,0,,,,
158,6/16/2024 3:15,67.221,0,,,,
159,6/16/2024 3:30,67.05,0,,,,
160,6/16/2024 3:45,66.879,0,,,,
161,6/16/2024 4:00,66.708,0,,,,
162,6/16/2024 4:15,66.708,0,,,,
163,6/16/2024 4:30,66.537,0,,,,
164,6/16/2024 4:45,66.366,0,,,,
165,6/16/2024 5:00,66.193,3,,,,
166,6/16/2024 5:15,66.193,9,,,,
