Plot Title: 21422119,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422119, SEN S/N: 21422119)","Intensity, lum/ft² (LGR S/N: 21422119, SEN S/N: 21422119)",Coupler Attached (LGR S/N: 21422119),Host Connected (LGR S/N: 21422119),Stopped (LGR S/N: 21422119),End Of File (LGR S/N: 21422119)
1,6/29/2022 9:00,73.58,79,,,,
2,6/29/2022 9:15,74.791,240,,,,
3,6/29/2022 9:30,76.528,304,,,,
4,6/29/2022 9:45,77.749,368,,,,
5,6/29/2022 10:00,78.449,368,,,,
6,6/29/2022 10:15,79.326,368,,,,
7,6/29/2022 10:30,80.206,352,,,,
8,6/29/2022 10:45,80.911,352,,,,
9,6/29/2022 11:00,81.797,336,,,,
10,6/29/2022 11:15,82.508,320,,,,
11,6/29/2022 11:30,83.221,232,,,,
12,6/29/2022 11:45,83.757,216,,,,
13,6/29/2022 12:00,83.935,160,,,,
14,6/29/2022 12:15,85.014,200,,,,
15,6/29/2022 12:30,85.014,108,,,,
16,6/29/2022 12:45,85.735,176,,,,
17,6/29/2022 13:00,85.915,136,,,,
18,6/29/2022 13:15,85.915,160,,,,
19,6/29/2022 13:30,86.459,168,,,,
20,6/29/2022 13:45,87.004,152,,,,
21,6/29/2022 14:00,86.823,68,,,,
22,6/29/2022 14:15,87.004,42,,,,
23,6/29/2022 14:30,86.641,60,,,,
24,6/29/2022 14:45,86.097,70,,,,
25,6/29/2022 15:00,85.554,70,,,,
26,6/29/2022 15:15,85.194,66,,,,
27,6/29/2022 15:30,84.654,61,,,,
28,6/29/2022 15:45,84.295,61,,,,
29,6/29/2022 16:00,83.579,51,,,,
30,6/29/2022 16:15,83.399,64,,,,
31,6/29/2022 16:30,82.864,44,,,,
32,6/29/2022 16:45,82.686,34,,,,
33,6/29/2022 17:00,82.33,19,,,,
34,6/29/2022 17:15,81.975,23,,,,
35,6/29/2022 17:30,81.975,22,,,,
36,6/29/2022 17:45,81.621,23,,,,
37,6/29/2022 18:00,81.442,25,,,,
38,6/29/2022 18:15,81.09,24,,,,
39,6/29/2022 18:30,80.735,24,,,,
40,6/29/2022 18:45,80.559,16,,,,
41,6/29/2022 19:00,80.206,7,,,,
42,6/29/2022 19:15,79.853,7,,,,
43,6/29/2022 19:30,79.502,4,,,,
44,6/29/2022 19:45,79.151,1,,,,
45,6/29/2022 20:00,78.624,0,,,,
46,6/29/2022 20:15,78.274,1,,,,
47,6/29/2022 20:30,78.098,4,,,,
48,6/29/2022 20:45,77.923,0,,,,
49,6/29/2022 21:00,77.574,0,,,,
50,6/29/2022 21:15,77.225,0,,,,
51,6/29/2022 21:30,76.876,0,,,,
52,6/29/2022 21:45,76.703,0,,,,
53,6/29/2022 22:00,76.354,0,,,,
54,6/29/2022 22:15,76.181,0,,,,
55,6/29/2022 22:30,75.832,0,,,,
56,6/29/2022 22:45,75.659,0,,,,
57,6/29/2022 23:00,75.659,0,,,,
58,6/29/2022 23:15,75.484,0,,,,
59,6/29/2022 23:30,75.312,0,,,,
60,6/29/2022 23:45,75.139,0,,,,
61,6/30/2022 0:00,75.139,0,,,,
62,6/30/2022 0:15,74.964,0,,,,
63,6/30/2022 0:30,74.964,0,,,,
64,6/30/2022 0:45,74.791,0,,,,
65,6/30/2022 1:00,74.619,0,,,,
66,6/30/2022 1:15,74.271,0,,,,
67,6/30/2022 1:30,74.098,0,,,,
68,6/30/2022 1:45,73.753,0,,,,
69,6/30/2022 2:00,73.58,0,,,,
70,6/30/2022 2:15,73.407,0,,,,
71,6/30/2022 2:30,73.234,0,,,,
72,6/30/2022 2:45,73.062,0,,,,
73,6/30/2022 3:00,72.718,0,,,,
74,6/30/2022 3:15,72.545,0,,,,
75,6/30/2022 3:30,72.372,0,,,,
76,6/30/2022 3:45,72.199,0,,,,
77,6/30/2022 4:00,72.028,0,,,,
78,6/30/2022 4:15,71.856,0,,,,
79,6/30/2022 4:30,71.683,0,,,,
80,6/30/2022 4:45,71.512,0,,,,
81,6/30/2022 5:00,71.339,0,,,,
82,6/30/2022 5:15,71.168,0,,,,
83,6/30/2022 5:30,70.995,1,,,,
84,6/30/2022 5:45,70.824,1,,,,
85,6/30/2022 6:00,70.651,2,,,,
86,6/30/2022 6:15,70.651,3,,,,
87,6/30/2022 6:30,70.308,4,,,,
