Plot Title: Camp Johnson - 2,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422114, SEN S/N: 21422114)","Intensity, lum/ft² (LGR S/N: 21422114, SEN S/N: 21422114)",Coupler Attached (LGR S/N: 21422114),Host Connected (LGR S/N: 21422114),Stopped (LGR S/N: 21422114),End Of File (LGR S/N: 21422114)
1,6/14/2024 12:00,76.528,272,,,,
2,6/14/2024 12:15,77.4,115,,,,
3,6/14/2024 12:30,76.876,66,,,,
4,6/14/2024 12:45,78.098,81,,,,
5,6/14/2024 13:00,78.274,240,,,,
6,6/14/2024 13:15,79.151,122,,,,
7,6/14/2024 13:30,78.449,50,,,,
8,6/14/2024 13:45,80.206,256,,,,
9,6/14/2024 14:00,80.382,256,,,,
10,6/14/2024 14:15,80.382,51,,,,
11,6/14/2024 14:30,80.911,224,,,,
12,6/14/2024 14:45,80.735,93,,,,
13,6/14/2024 15:00,81.442,72,,,,
14,6/14/2024 15:15,81.442,113,,,,
15,6/14/2024 15:30,82.152,48,,,,
16,6/14/2024 15:45,82.33,76,,,,
17,6/14/2024 16:00,82.686,39,,,,
18,6/14/2024 16:15,82.508,20,,,,
19,6/14/2024 16:30,82.508,44,,,,
20,6/14/2024 16:45,82.33,29,,,,
21,6/14/2024 17:00,82.152,35,,,,
22,6/14/2024 17:15,81.797,35,,,,
23,6/14/2024 17:30,81.621,24,,,,
24,6/14/2024 17:45,81.09,35,,,,
25,6/14/2024 18:00,81.09,36,,,,
26,6/14/2024 18:15,80.911,36,,,,
27,6/14/2024 18:30,80.559,22,,,,
28,6/14/2024 18:45,80.206,14,,,,
29,6/14/2024 19:00,80.029,22,,,,
30,6/14/2024 19:15,79.678,20,,,,
31,6/14/2024 19:30,79.502,14,,,,
32,6/14/2024 19:45,79.151,10,,,,
33,6/14/2024 20:00,78.8,6,,,,
34,6/14/2024 20:15,78.624,2,,,,
35,6/14/2024 20:30,78.274,0,,,,
36,6/14/2024 20:45,78.098,0,,,,
37,6/14/2024 21:00,77.749,0,,,,
38,6/14/2024 21:15,77.574,0,,,,
39,6/14/2024 21:30,77.4,0,,,,
40,6/14/2024 21:45,77.225,0,,,,
41,6/14/2024 22:00,76.876,0,,,,
42,6/14/2024 22:15,76.703,0,,,,
43,6/14/2024 22:30,76.528,0,,,,
44,6/14/2024 22:45,76.354,0,,,,
45,6/14/2024 23:00,76.181,0,,,,
46,6/14/2024 23:15,76.006,0,,,,
47,6/14/2024 23:30,75.832,0,,,,
48,6/14/2024 23:45,75.659,0,,,,
49,6/15/2024 0:00,75.484,0,,,,
50,6/15/2024 0:15,75.312,0,,,,
51,6/15/2024 0:30,75.139,0,,,,
52,6/15/2024 0:45,74.964,0,,,,
53,6/15/2024 1:00,74.791,0,,,,
54,6/15/2024 1:15,74.619,0,,,,
55,6/15/2024 1:30,73.753,0,,,,
56,6/15/2024 1:45,73.407,0,,,,
57,6/15/2024 2:00,73.234,0,,,,
58,6/15/2024 2:15,73.062,0,,,,
59,6/15/2024 2:30,72.891,0,,,,
60,6/15/2024 2:45,72.718,0,,,,
61,6/15/2024 3:00,72.545,0,,,,
62,6/15/2024 3:15,72.372,0,,,,
63,6/15/2024 3:30,72.199,0,,,,
64,6/15/2024 3:45,71.856,0,,,,
65,6/15/2024 4:00,71.683,0,,,,
66,6/15/2024 4:15,71.512,0,,,,
67,6/15/2024 4:30,71.339,0,,,,
68,6/15/2024 4:45,71.168,0,,,,
69,6/15/2024 5:00,70.824,0,,,,
70,6/15/2024 5:15,70.651,0,,,,
71,6/15/2024 5:30,70.48,2,,,,
72,6/15/2024 5:45,70.308,3,,,,
73,6/15/2024 6:00,70.137,5,,,,
74,6/15/2024 6:15,69.964,6,,,,
75,6/15/2024 6:30,69.793,8,,,,
76,6/15/2024 6:45,69.793,9,,,,
77,6/15/2024 7:00,69.622,11,,,,
78,6/15/2024 7:15,69.449,14,,,,
79,6/15/2024 7:30,69.449,21,,,,
80,6/15/2024 7:45,69.278,17,,,,
81,6/15/2024 8:00,69.278,29,,,,
82,6/15/2024 8:15,69.449,128,,,,
83,6/15/2024 8:30,69.278,32,,,,
84,6/15/2024 8:45,69.622,65,,,,
85,6/15/2024 9:00,69.964,448,,,,
86,6/15/2024 9:15,70.308,256,,,,
87,6/15/2024 9:30,70.824,512,,,,
88,6/15/2024 9:45,70.995,480,,,,
89,6/15/2024 10:00,71.512,224,,,,
90,6/15/2024 10:15,71.856,576,,,,
91,6/15/2024 10:30,72.718,480,,,,
92,6/15/2024 10:45,73.234,512,,,,
93,6/15/2024 11:00,73.753,576,,,,
94,6/15/2024 11:15,74.446,576,,,,
95,6/15/2024 11:30,74.791,512,,,,
96,6/15/2024 11:45,74.964,480,,,,
97,6/15/2024 12:00,75.659,464,,,,
98,6/15/2024 12:15,76.006,480,,,,
99,6/15/2024 12:30,76.181,176,,,,
100,6/15/2024 12:45,76.876,136,,,,
101,6/15/2024 13:00,77.225,432,,,,
102,6/15/2024 13:15,77.749,368,,,,
103,6/15/2024 13:30,77.749,336,,,,
104,6/15/2024 13:45,78.098,216,,,,
105,6/15/2024 14:00,78.098,144,,,,
106,6/15/2024 14:15,78.274,304,,,,
107,6/15/2024 14:30,78.274,136,,,,
108,6/15/2024 14:45,78.098,123,,,,
109,6/15/2024 15:00,78.274,47,,,,
110,6/15/2024 15:15,78.449,111,,,,
111,6/15/2024 15:30,78.274,59,,,,
112,6/15/2024 15:45,78.449,48,,,,
113,6/15/2024 16:00,78.624,31,,,,
114,6/15/2024 16:15,78.624,22,,,,
115,6/15/2024 16:30,78.624,20,,,,
116,6/15/2024 16:45,78.449,16,,,,
117,6/15/2024 17:00,78.624,15,,,,
118,6/15/2024 17:15,78.624,13,,,,
119,6/15/2024 17:30,78.449,13,,,,
120,6/15/2024 17:45,78.449,12,,,,
121,6/15/2024 18:00,78.274,10,,,,
122,6/15/2024 18:15,77.923,10,,,,
