Plot Title: 21422109,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422109, SEN S/N: 21422109)","Intensity, lum/ft² (LGR S/N: 21422109, SEN S/N: 21422109)",Coupler Attached (LGR S/N: 21422109),Host Connected (LGR S/N: 21422109),Coupler Detached (LGR S/N: 21422109),Stopped (LGR S/N: 21422109),End Of File (LGR S/N: 21422109)
1,6/18/2022 12:00,70.995,960,,,,,
2,6/18/2022 12:15,70.651,256,,,,,
3,6/18/2022 12:30,70.824,800,,,,,
4,6/18/2022 12:45,70.824,992,,,,,
5,6/18/2022 13:00,70.651,672,,,,,
6,6/18/2022 13:15,70.651,608,,,,,
7,6/18/2022 13:30,70.824,768,,,,,
8,6/18/2022 13:45,70.651,800,,,,,
9,6/18/2022 14:00,70.48,864,,,,,
10,6/18/2022 14:15,70.308,272,,,,,
11,6/18/2022 14:30,70.308,576,,,,,
12,6/18/2022 14:45,70.308,416,,,,,
13,6/18/2022 15:00,70.137,448,,,,,
14,6/18/2022 15:15,70.137,576,,,,,
15,6/18/2022 15:30,70.137,464,,,,,
16,6/18/2022 15:45,70.137,272,,,,,
17,6/18/2022 16:00,69.964,320,,,,,
18,6/18/2022 16:15,69.964,304,,,,,
19,6/18/2022 16:30,69.793,336,,,,,
20,6/18/2022 16:45,69.793,304,,,,,
21,6/18/2022 17:00,69.793,136,,,,,
22,6/18/2022 17:15,69.793,288,,,,,
23,6/18/2022 17:30,69.622,384,,,,,
24,6/18/2022 17:45,69.622,200,,,,,
25,6/18/2022 18:00,69.449,240,,,,,
26,6/18/2022 18:15,69.622,128,,,,,
27,6/18/2022 18:30,69.793,105,,,,,
28,6/18/2022 18:45,69.964,128,,,,,
29,6/18/2022 19:00,69.793,98,,,,,
30,6/18/2022 19:15,69.622,75,,,,,
31,6/18/2022 19:30,69.449,43,,,,,
32,6/18/2022 19:45,69.449,35,,,,,
33,6/18/2022 20:00,69.449,25,,,,,
34,6/18/2022 20:15,69.449,7,,,,,
35,6/18/2022 20:30,69.449,9,,,,,
36,6/18/2022 20:45,69.449,0,,,,,
37,6/18/2022 21:00,69.449,0,,,,,
38,6/18/2022 21:15,69.449,0,,,,,
39,6/18/2022 21:30,69.622,0,,,,,
40,6/18/2022 21:45,69.449,0,,,,,
41,6/18/2022 22:00,69.449,0,,,,,
42,6/18/2022 22:15,69.278,0,,,,,
43,6/18/2022 22:30,69.278,0,,,,,
44,6/18/2022 22:45,69.107,0,,,,,
45,6/18/2022 23:00,69.107,0,,,,,
46,6/18/2022 23:15,69.278,0,,,,,
47,6/18/2022 23:30,68.934,0,,,,,
48,6/18/2022 23:45,69.107,0,,,,,
49,6/19/2022 0:00,68.934,0,,,,,
50,6/19/2022 0:15,68.763,0,,,,,
51,6/19/2022 0:30,68.763,0,,,,,
