Plot Title: 21422127,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422127, SEN S/N: 21422127)","Intensity, lum/ft² (LGR S/N: 21422127, SEN S/N: 21422127)",Coupler Attached (LGR S/N: 21422127),Host Connected (LGR S/N: 21422127),Stopped (LGR S/N: 21422127),End Of File (LGR S/N: 21422127)
1,6/29/2022 12:00,77.574,1344,,,,
2,6/29/2022 12:15,78.098,1408,,,,
3,6/29/2022 12:30,77.225,992,,,,
4,6/29/2022 12:45,76.703,480,,,,
5,6/29/2022 13:00,76.876,1024,,,,
6,6/29/2022 13:15,77.574,2176,,,,
7,6/29/2022 13:30,78.8,7424,,,,
8,6/29/2022 13:45,80.735,1664,,,,
9,6/29/2022 14:00,80.029,1024,,,,
10,6/29/2022 14:15,81.797,1984,,,,
11,6/29/2022 14:30,81.621,3968,,,,
12,6/29/2022 14:45,81.621,1984,,,,
13,6/29/2022 15:00,81.266,1344,,,,
14,6/29/2022 15:15,81.09,1472,,,,
15,6/29/2022 15:30,80.911,1344,,,,
16,6/29/2022 15:45,80.206,608,,,,
17,6/29/2022 16:00,80.029,1920,,,,
18,6/29/2022 16:15,80.559,1600,,,,
19,6/29/2022 16:30,79.678,512,,,,
20,6/29/2022 16:45,79.326,432,,,,
21,6/29/2022 17:00,78.975,352,,,,
22,6/29/2022 17:15,78.624,288,,,,
23,6/29/2022 17:30,78.449,368,,,,
24,6/29/2022 17:45,78.098,352,,,,
25,6/29/2022 18:00,77.923,384,,,,
26,6/29/2022 18:15,77.4,368,,,,
27,6/29/2022 18:30,77.225,448,,,,
28,6/29/2022 18:45,76.876,224,,,,
29,6/29/2022 19:00,76.528,79,,,,
30,6/29/2022 19:15,76.181,103,,,,
31,6/29/2022 19:30,76.006,60,,,,
32,6/29/2022 19:45,75.832,31,,,,
33,6/29/2022 20:00,75.659,14,,,,
34,6/29/2022 20:15,75.659,37,,,,
35,6/29/2022 20:30,75.659,33,,,,
36,6/29/2022 20:45,75.484,7,,,,
37,6/29/2022 21:00,75.484,1,,,,
38,6/29/2022 21:15,75.139,0,,,,
39,6/29/2022 21:30,74.964,0,,,,
40,6/29/2022 21:45,74.964,0,,,,
41,6/29/2022 22:00,74.791,0,,,,
42,6/29/2022 22:15,74.791,0,,,,
43,6/29/2022 22:30,74.619,0,,,,
44,6/29/2022 22:45,74.619,0,,,,
45,6/29/2022 23:00,74.446,0,,,,
46,6/29/2022 23:15,74.446,0,,,,
47,6/29/2022 23:30,74.271,0,,,,
48,6/29/2022 23:45,74.271,0,,,,
49,6/30/2022 0:00,74.098,0,,,,
50,6/30/2022 0:15,74.098,0,,,,
51,6/30/2022 0:30,74.098,0,,,,
52,6/30/2022 0:45,73.926,0,,,,
53,6/30/2022 1:00,73.753,0,,,,
54,6/30/2022 1:15,73.753,0,,,,
55,6/30/2022 1:30,73.58,0,,,,
56,6/30/2022 1:45,73.58,0,,,,
57,6/30/2022 2:00,73.407,0,,,,
58,6/30/2022 2:15,73.407,0,,,,
59,6/30/2022 2:30,73.234,0,,,,
60,6/30/2022 2:45,73.234,0,,,,
61,6/30/2022 3:00,73.062,0,,,,
62,6/30/2022 3:15,72.891,0,,,,
63,6/30/2022 3:30,72.891,0,,,,
64,6/30/2022 3:45,72.718,0,,,,
65,6/30/2022 4:00,72.718,0,,,,
66,6/30/2022 4:15,72.545,0,,,,
67,6/30/2022 4:30,72.372,0,,,,
68,6/30/2022 4:45,72.372,0,,,,
69,6/30/2022 5:00,72.372,1,,,,
70,6/30/2022 5:15,72.199,9,,,,
71,6/30/2022 5:30,72.199,18,,,,
72,6/30/2022 5:45,72.199,28,,,,
73,6/30/2022 6:00,72.028,38,,,,
74,6/30/2022 6:15,72.028,47,,,,
75,6/30/2022 6:30,71.856,55,,,,
76,6/30/2022 6:45,71.856,64,,,,
77,6/30/2022 7:00,71.856,73,,,,
78,6/30/2022 7:15,71.856,80,,,,
79,6/30/2022 7:30,71.856,105,,,,
80,6/30/2022 7:45,71.856,110,,,,
81,6/30/2022 8:00,71.683,122,,,,
82,6/30/2022 8:15,71.683,136,,,,
83,6/30/2022 8:30,71.683,152,,,,
84,6/30/2022 8:45,71.856,288,,,,
85,6/30/2022 9:00,71.856,576,,,,
86,6/30/2022 9:15,71.856,400,,,,
87,6/30/2022 9:30,71.683,144,,,,
88,6/30/2022 9:45,71.512,496,,,,
89,6/30/2022 10:00,71.856,256,,,,
90,6/30/2022 10:15,71.856,256,,,,
91,6/30/2022 10:30,72.028,216,,,,
92,6/30/2022 10:45,72.199,368,,,,
93,6/30/2022 11:00,72.545,272,,,,
94,6/30/2022 11:15,73.234,576,,,,
95,6/30/2022 11:30,74.446,864,,,,
96,6/30/2022 11:45,74.791,992,,,,
97,6/30/2022 12:00,75.484,5376,,,,
98,6/30/2022 12:15,75.312,2048,,,,
99,6/30/2022 12:30,75.312,1408,,,,
100,6/30/2022 12:45,75.484,1536,,,,
101,6/30/2022 13:00,75.832,1536,,,,
102,6/30/2022 13:15,76.181,1920,,,,
103,6/30/2022 13:30,77.05,1728,,,,
104,6/30/2022 13:45,78.624,1536,,,,
105,6/30/2022 14:00,79.853,6912,,,,
106,6/30/2022 14:15,79.678,10240,,,,
107,6/30/2022 14:30,80.735,1920,,,,
108,6/30/2022 14:45,83.399,11776,,,,
109,6/30/2022 15:00,83.579,11264,,,,
110,6/30/2022 15:15,83.221,6912,,,,
111,6/30/2022 15:30,82.508,1664,,,,
112,6/30/2022 15:45,82.33,7424,,,,
113,6/30/2022 16:00,81.266,992,,,,
114,6/30/2022 16:15,80.382,496,,,,
115,6/30/2022 16:30,80.029,512,,,,
116,6/30/2022 16:45,79.678,608,,,,
117,6/30/2022 17:00,79.326,672,,,,
118,6/30/2022 17:15,79.678,864,,,,
119,6/30/2022 17:30,79.326,1088,,,,
120,6/30/2022 17:45,78.8,576,,,,
121,6/30/2022 18:00,78.8,320,,,,
122,6/30/2022 18:15,78.274,136,,,,
123,6/30/2022 18:30,78.098,480,,,,
124,6/30/2022 18:45,77.923,368,,,,
125,6/30/2022 19:00,77.923,320,,,,
126,6/30/2022 19:15,77.574,192,,,,
127,6/30/2022 19:30,77.4,125,,,,
128,6/30/2022 19:45,77.225,86,,,,
129,6/30/2022 20:00,76.876,87,,,,
130,6/30/2022 20:15,76.528,36,,,,
131,6/30/2022 20:30,76.181,16,,,,
132,6/30/2022 20:45,76.006,3,,,,
133,6/30/2022 21:00,75.832,0,,,,
134,6/30/2022 21:15,75.659,0,,,,
135,6/30/2022 21:30,75.484,0,,,,
136,6/30/2022 21:45,75.312,0,,,,
137,6/30/2022 22:00,75.139,0,,,,
138,6/30/2022 22:15,75.139,0,,,,
139,6/30/2022 22:30,74.964,0,,,,
140,6/30/2022 22:45,74.791,0,,,,
141,6/30/2022 23:00,74.619,0,,,,
