Plot Title: 21422108,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422108, SEN S/N: 21422108)","Intensity, lum/ft² (LGR S/N: 21422108, SEN S/N: 21422108)",Coupler Attached (LGR S/N: 21422108),Coupler Detached (LGR S/N: 21422108),Host Connected (LGR S/N: 21422108),Stopped (LGR S/N: 21422108),End Of File (LGR S/N: 21422108)
1,6/29/2022 12:00,74.619,20,,,,,
2,6/29/2022 12:15,75.139,28,,,,,
3,6/29/2022 12:30,75.659,24,,,,,
4,6/29/2022 12:45,76.006,22,,,,,
5,6/29/2022 13:00,77.225,39,,,,,
6,6/29/2022 13:15,78.624,59,,,,,
7,6/29/2022 13:30,78.274,37,,,,,
8,6/29/2022 13:45,79.151,42,,,,,
9,6/29/2022 14:00,78.8,37,,,,,
10,6/29/2022 14:15,78.624,44,,,,,
11,6/29/2022 14:30,79.502,42,,,,,
12,6/29/2022 14:45,79.502,38,,,,,
13,6/29/2022 15:00,79.326,36,,,,,
14,6/29/2022 15:15,79.678,38,,,,,
15,6/29/2022 15:30,79.853,37,,,,,
16,6/29/2022 15:45,79.678,29,,,,,
17,6/29/2022 16:00,79.853,44,,,,,
18,6/29/2022 16:15,80.559,53,,,,,
19,6/29/2022 16:30,80.206,17,,,,,
20,6/29/2022 16:45,80.029,12,,,,,
21,6/29/2022 17:00,80.206,11,,,,,
22,6/29/2022 17:15,80.206,7,,,,,
23,6/29/2022 17:30,79.853,13,,,,,
24,6/29/2022 17:45,79.678,10,,,,,
25,6/29/2022 18:00,80.029,14,,,,,
26,6/29/2022 18:15,79.678,14,,,,,
27,6/29/2022 18:30,79.502,15,,,,,
28,6/29/2022 18:45,79.151,7,,,,,
29,6/29/2022 19:00,78.8,1,,,,,
30,6/29/2022 19:15,78.449,2,,,,,
31,6/29/2022 19:30,78.274,1,,,,,
32,6/29/2022 19:45,77.923,0,,,,,
33,6/29/2022 20:00,77.574,0,,,,,
34,6/29/2022 20:15,77.4,0,,,,,
35,6/29/2022 20:30,77.225,0,,,,,
36,6/29/2022 20:45,76.876,0,,,,,
37,6/29/2022 21:00,76.703,0,,,,,
38,6/29/2022 21:15,76.528,0,,,,,
39,6/29/2022 21:30,76.181,0,,,,,
40,6/29/2022 21:45,76.006,0,,,,,
41,6/29/2022 22:00,75.832,0,,,,,
42,6/29/2022 22:15,75.659,0,,,,,
43,6/29/2022 22:30,75.484,0,,,,,
44,6/29/2022 22:45,75.312,0,,,,,
45,6/29/2022 23:00,75.139,0,,,,,
46,6/29/2022 23:15,74.964,0,,,,,
47,6/29/2022 23:30,74.791,0,,,,,
48,6/29/2022 23:45,74.619,0,,,,,
49,6/30/2022 0:00,74.619,0,,,,,
50,6/30/2022 0:15,74.446,0,,,,,
51,6/30/2022 0:30,74.271,0,,,,,
52,6/30/2022 0:45,74.098,0,,,,,
