#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422123, SEN S/N: 21422123)","Intensity, lum/ft² (LGR S/N: 21422123, SEN S/N: 21422123)",Coupler Attached (LGR S/N: 21422123),Host Connected (LGR S/N: 21422123),Stopped (LGR S/N: 21422123),End Of File (LGR S/N: 21422123)
1,5/30/2024 12:00,64.481,128,,,,
2,5/30/2024 12:15,63.797,144,,,,
3,5/30/2024 12:30,63.455,152,,,,
4,5/30/2024 12:45,63.111,208,,,,
5,5/30/2024 13:00,62.769,128,,,,
6,5/30/2024 13:15,62.769,184,,,,
7,5/30/2024 13:30,62.598,168,,,,
8,5/30/2024 13:45,62.598,160,,,,
9,5/30/2024 14:00,62.598,160,,,,
10,5/30/2024 14:15,62.598,128,,,,
11,5/30/2024 14:30,62.425,160,,,,
12,5/30/2024 14:45,62.425,216,,,,
13,5/30/2024 15:00,62.254,136,,,,
14,5/30/2024 15:15,62.083,128,,,,
15,5/30/2024 15:30,62.083,128,,,,
16,5/30/2024 15:45,61.912,152,,,,
17,5/30/2024 16:00,61.912,128,,,,
18,5/30/2024 16:15,61.741,128,,,,
19,5/30/2024 16:30,61.912,136,,,,
20,5/30/2024 16:45,61.741,125,,,,
21,5/30/2024 17:00,62.083,352,,,,
22,5/30/2024 17:15,61.912,110,,,,
23,5/30/2024 17:30,61.741,104,,,,
24,5/30/2024 17:45,61.569,101,,,,
25,5/30/2024 18:00,61.569,94,,,,
26,5/30/2024 18:15,61.741,84,,,,
27,5/30/2024 18:30,61.569,76,,,,
28,5/30/2024 18:45,61.741,67,,,,
29,5/30/2024 19:00,61.569,57,,,,
30,5/30/2024 19:15,61.398,47,,,,
31,5/30/2024 19:30,61.398,36,,,,
32,5/30/2024 19:45,61.398,24,,,,
33,5/30/2024 20:00,61.227,14,,,,
34,5/30/2024 20:15,61.054,6,,,,
35,5/30/2024 20:30,61.054,1,,,,
36,5/30/2024 20:45,60.883,0,,,,
37,5/30/2024 21:00,60.712,0,,,,
38,5/30/2024 21:15,60.539,0,,,,
39,5/30/2024 21:30,60.368,0,,,,
40,5/30/2024 21:45,60.195,0,,,,
41,5/30/2024 22:00,60.024,0,,,,
42,5/30/2024 22:15,60.024,0,,,,
43,5/30/2024 22:30,59.851,0,,,,
44,5/30/2024 22:45,59.68,0,,,,
45,5/30/2024 23:00,59.508,0,,,,
46,5/30/2024 23:15,59.337,0,,,,
47,5/30/2024 23:30,59.337,0,,,,
48,5/30/2024 23:45,59.164,0,,,,
49,5/31/2024 0:00,58.993,0,,,,
50,5/31/2024 0:15,58.82,0,,,,
51,5/31/2024 0:30,58.476,0,,,,
52,5/31/2024 0:45,58.476,0,,,,
53,5/31/2024 1:00,58.131,0,,,,
54,5/31/2024 1:15,58.131,0,,,,
55,5/31/2024 1:30,57.958,0,,,,
56,5/31/2024 1:45,57.785,0,,,,
57,5/31/2024 2:00,57.614,0,,,,
58,5/31/2024 2:15,57.441,0,,,,
59,5/31/2024 2:30,57.268,0,,,,
60,5/31/2024 2:45,57.268,0,,,,
61,5/31/2024 3:00,57.096,0,,,,
62,5/31/2024 3:15,56.923,0,,,,
63,5/31/2024 3:30,56.923,0,,,,
64,5/31/2024 3:45,56.75,0,,,,
65,5/31/2024 4:00,56.577,0,,,,
66,5/31/2024 4:15,56.404,0,,,,
67,5/31/2024 4:30,56.404,0,,,,
68,5/31/2024 4:45,56.404,0,,,,
69,5/31/2024 5:00,56.23,0,,,,
70,5/31/2024 5:15,56.23,2,,,,
71,5/31/2024 5:30,56.057,4,,,,
72,5/31/2024 5:45,56.057,7,,,,
73,5/31/2024 6:00,55.884,11,,,,
74,5/31/2024 6:15,55.884,16,,,,
75,5/31/2024 6:30,55.884,23,,,,
76,5/31/2024 6:45,55.884,33,,,,
77,5/31/2024 7:00,55.884,38,,,,
78,5/31/2024 7:15,55.884,51,,,,
79,5/31/2024 7:30,55.884,69,,,,
80,5/31/2024 7:45,56.057,86,,,,
81,5/31/2024 8:00,56.23,125,,,,
82,5/31/2024 8:15,56.404,144,,,,
83,5/31/2024 8:30,56.577,152,,,,
84,5/31/2024 8:45,56.923,192,,,,
85,5/31/2024 9:00,57.614,320,,,,
86,5/31/2024 9:15,57.958,352,,,,
87,5/31/2024 9:30,60.539,1152,,,,
88,5/31/2024 9:45,63.455,1088,,,,
89,5/31/2024 10:00,66.366,1536,,,,
90,5/31/2024 10:15,68.763,1536,,,,
91,5/31/2024 10:30,70.651,1792,,,,
92,5/31/2024 10:45,71.856,2048,,,,
93,5/31/2024 11:00,69.449,704,,,,
94,5/31/2024 11:15,68.421,384,,,,
95,5/31/2024 11:30,67.735,448,,,,
96,5/31/2024 11:45,67.05,320,,,,
97,5/31/2024 12:00,66.366,400,,,,
98,5/31/2024 12:15,66.193,320,,,,
99,5/31/2024 12:30,65.851,368,,,,
100,5/31/2024 12:45,65.68,384,,,,
101,5/31/2024 13:00,65.338,320,,,,
102,5/31/2024 13:15,65.167,336,,,,
103,5/31/2024 13:30,65.167,320,,,,
104,5/31/2024 13:45,64.996,272,,,,
105,5/31/2024 14:00,64.825,336,,,,
106,5/31/2024 14:15,64.481,352,,,,
107,5/31/2024 14:30,64.139,288,,,,
108,5/31/2024 14:45,63.968,304,,,,
109,5/31/2024 15:00,63.626,576,,,,
110,5/31/2024 15:15,63.455,256,,,,
111,5/31/2024 15:30,63.282,304,,,,
112,5/31/2024 15:45,63.282,288,,,,
113,5/31/2024 16:00,63.455,144,,,,
114,5/31/2024 16:15,63.111,116,,,,
115,5/31/2024 16:30,63.455,256,,,,
116,5/31/2024 16:45,63.282,144,,,,
117,5/31/2024 17:00,63.455,672,,,,
118,5/31/2024 17:15,63.282,176,,,,
119,5/31/2024 17:30,63.111,152,,,,
120,5/31/2024 17:45,62.94,144,,,,
121,5/31/2024 18:00,62.769,144,,,,
122,5/31/2024 18:15,62.769,128,,,,
123,5/31/2024 18:30,62.598,119,,,,
124,5/31/2024 18:45,62.598,102,,,,
125,5/31/2024 19:00,62.425,89,,,,
126,5/31/2024 19:15,62.425,66,,,,
127,5/31/2024 19:30,62.254,25,,,,
128,5/31/2024 19:45,62.254,9,,,,
129,5/31/2024 20:00,62.083,21,,,,
130,5/31/2024 20:15,61.912,9,,,,
131,5/31/2024 20:30,61.912,2,,,,
132,5/31/2024 20:45,61.741,0,,,,
133,5/31/2024 21:00,61.569,0,,,,
134,5/31/2024 21:15,61.398,0,,,,
135,5/31/2024 21:30,61.398,0,,,,
136,5/31/2024 21:45,61.227,0,,,,
137,5/31/2024 22:00,61.054,0,,,,
138,5/31/2024 22:15,60.883,0,,,,
139,5/31/2024 22:30,60.883,0,,,,
140,5/31/2024 22:45,60.712,0,,,,
141,5/31/2024 23:00,60.539,0,,,,
142,5/31/2024 23:15,60.368,0,,,,
143,5/31/2024 23:30,60.368,0,,,,
144,5/31/2024 23:45,60.195,0,,,,
145,6/1/2024 0:00,60.024,0,,,,
146,6/1/2024 0:15,59.851,0,,,,
147,6/1/2024 0:30,59.68,0,,,,
148,6/1/2024 0:45,59.68,0,,,,
149,6/1/2024 1:00,59.337,0,,,,
150,6/1/2024 1:15,59.337,0,,,,
151,6/1/2024 1:30,59.164,0,,,,
152,6/1/2024 1:45,58.993,0,,,,
153,6/1/2024 2:00,58.82,0,,,,
154,6/1/2024 2:15,58.647,0,,,,
155,6/1/2024 2:30,58.647,0,,,,
156,6/1/2024 2:45,58.476,0,,,,
157,6/1/2024 3:00,58.303,0,,,,
158,6/1/2024 3:15,58.131,0,,,,
159,6/1/2024 3:30,58.131,0,,,,
160,6/1/2024 3:45,57.958,0,,,,
161,6/1/2024 4:00,57.785,0,,,,
162,6/1/2024 4:15,57.614,0,,,,
163,6/1/2024 4:30,57.441,0,,,,
164,6/1/2024 4:45,57.268,0,,,,
165,6/1/2024 5:00,57.268,0,,,,
166,6/1/2024 5:15,57.096,5,,,,
167,6/1/2024 5:30,57.096,12,,,,
168,6/1/2024 5:45,56.75,18,,,,
169,6/1/2024 6:00,56.75,25,,,,
170,6/1/2024 6:15,56.75,32,,,,
171,6/1/2024 6:30,56.577,42,,,,
172,6/1/2024 6:45,56.577,52,,,,
173,6/1/2024 7:00,56.577,64,,,,
174,6/1/2024 7:15,56.577,78,,,,
175,6/1/2024 7:30,56.577,94,,,,
176,6/1/2024 7:45,56.75,109,,,,
177,6/1/2024 8:00,56.923,176,,,,
178,6/1/2024 8:15,57.096,176,,,,
179,6/1/2024 8:30,57.268,184,,,,
180,6/1/2024 8:45,57.614,232,,,,
181,6/1/2024 9:00,58.131,432,,,,
182,6/1/2024 9:15,58.647,464,,,,
183,6/1/2024 9:30,62.254,7680,,,,
184,6/1/2024 9:45,66.193,8192,,,,
185,6/1/2024 10:00,69.449,8192,,,,
186,6/1/2024 10:15,71.339,6912,,,,
187,6/1/2024 10:30,72.718,6144,,,,
188,6/1/2024 10:45,73.753,5632,,,,
189,6/1/2024 11:00,70.824,672,,,,
190,6/1/2024 11:15,69.964,368,,,,
191,6/1/2024 11:30,69.622,432,,,,
192,6/1/2024 11:45,68.934,272,,,,
193,6/1/2024 12:00,67.906,512,,,,
194,6/1/2024 12:15,67.564,272,,,,
195,6/1/2024 12:30,67.221,240,,,,
196,6/1/2024 12:45,67.05,256,,,,
197,6/1/2024 13:00,66.879,256,,,,
198,6/1/2024 13:15,66.879,224,,,,
199,6/1/2024 13:30,66.879,248,,,,
200,6/1/2024 13:45,66.879,232,,,,
201,6/1/2024 14:00,66.879,240,,,,
202,6/1/2024 14:15,66.879,160,,,,
203,6/1/2024 14:30,67.05,256,,,,
204,6/1/2024 14:45,67.221,256,,,,
205,6/1/2024 15:00,67.392,248,,,,
206,6/1/2024 15:15,67.392,248,,,,
207,6/1/2024 15:30,67.392,216,,,,
208,6/1/2024 15:45,67.564,216,,,,
209,6/1/2024 16:00,67.564,216,,,,
210,6/1/2024 16:15,67.564,160,,,,
211,6/1/2024 16:30,67.735,200,,,,
212,6/1/2024 16:45,67.735,127,,,,
213,6/1/2024 17:00,67.735,136,,,,
214,6/1/2024 17:15,68.077,117,,,,
215,6/1/2024 17:30,67.906,126,,,,
216,6/1/2024 17:45,67.906,101,,,,
217,6/1/2024 18:00,67.906,111,,,,
218,6/1/2024 18:15,67.735,58,,,,
219,6/1/2024 18:30,67.735,55,,,,
220,6/1/2024 18:45,67.564,128,,,,
221,6/1/2024 19:00,67.564,101,,,,
222,6/1/2024 19:15,67.392,66,,,,
223,6/1/2024 19:30,67.05,28,,,,
224,6/1/2024 19:45,66.879,16,,,,
225,6/1/2024 20:00,66.708,11,,,,
226,6/1/2024 20:15,66.366,8,,,,
227,6/1/2024 20:30,66.193,2,,,,
