Plot Title: 21422122,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422122, SEN S/N: 21422122)","Intensity, lum/ft² (LGR S/N: 21422122, SEN S/N: 21422122)",Coupler Attached (LGR S/N: 21422122),Coupler Detached (LGR S/N: 21422122),Host Connected (LGR S/N: 21422122),Stopped (LGR S/N: 21422122),End Of File (LGR S/N: 21422122)
1,6/15/2022 12:00,83.579,1920,,,,,
2,6/15/2022 12:15,83.221,6912,,,,,
3,6/15/2022 12:30,83.043,1984,,,,,
4,6/15/2022 12:45,83.399,1664,,,,,
5,6/15/2022 13:00,83.935,1792,,,,,
6,6/15/2022 13:15,84.115,1664,,,,,
7,6/15/2022 13:30,84.474,1920,,,,,
8,6/15/2022 13:45,84.295,1600,,,,,
9,6/15/2022 14:00,84.474,1856,,,,,
10,6/15/2022 14:15,84.654,2176,,,,,
11,6/15/2022 14:30,84.834,2048,,,,,
12,6/15/2022 14:45,84.654,2048,,,,,
13,6/15/2022 15:00,84.654,1664,,,,,
14,6/15/2022 15:15,84.474,1472,,,,,
15,6/15/2022 15:30,84.474,1472,,,,,
16,6/15/2022 15:45,84.115,1344,,,,,
17,6/15/2022 16:00,83.935,1152,,,,,
18,6/15/2022 16:15,83.757,1344,,,,,
19,6/15/2022 16:30,83.399,1152,,,,,
20,6/15/2022 16:45,83.221,1088,,,,,
21,6/15/2022 17:00,83.043,800,,,,,
22,6/15/2022 17:15,82.686,704,,,,,
23,6/15/2022 17:30,82.33,704,,,,,
24,6/15/2022 17:45,81.975,608,,,,,
25,6/15/2022 18:00,81.621,480,,,,,
26,6/15/2022 18:15,81.266,320,,,,,
27,6/15/2022 18:30,81.09,320,,,,,
28,6/15/2022 18:45,80.735,240,,,,,
29,6/15/2022 19:00,80.382,224,,,,,
30,6/15/2022 19:15,80.029,128,,,,,
31,6/15/2022 19:30,79.678,82,,,,,
32,6/15/2022 19:45,79.326,107,,,,,
33,6/15/2022 20:00,78.975,72,,,,,
34,6/15/2022 20:15,78.449,39,,,,,
35,6/15/2022 20:30,78.274,11,,,,,
36,6/15/2022 20:45,77.923,2,,,,,
37,6/15/2022 21:00,77.574,0,,,,,
38,6/15/2022 21:15,77.225,0,,,,,
39,6/15/2022 21:30,77.05,0,,,,,
40,6/15/2022 21:45,76.876,0,,,,,
41,6/15/2022 22:00,76.528,0,,,,,
42,6/15/2022 22:15,76.528,0,,,,,
43,6/15/2022 22:30,76.703,0,,,,,
44,6/15/2022 22:45,76.006,0,,,,,
45,6/15/2022 23:00,75.832,0,,,,,
46,6/15/2022 23:15,75.484,0,,,,,
47,6/15/2022 23:30,75.139,0,,,,,
48,6/15/2022 23:45,74.964,0,,,,,
49,6/16/2022 0:00,74.791,0,,,,,
50,6/16/2022 0:15,74.619,0,,,,,
51,6/16/2022 0:30,74.271,0,,,,,
52,6/16/2022 0:45,74.098,0,,,,,
53,6/16/2022 1:00,73.926,0,,,,,
54,6/16/2022 1:15,73.753,0,,,,,
55,6/16/2022 1:30,73.407,0,,,,,
56,6/16/2022 1:45,73.234,0,,,,,
57,6/16/2022 2:00,73.234,0,,,,,
58,6/16/2022 2:15,72.891,0,,,,,
59,6/16/2022 2:30,72.891,0,,,,,
60,6/16/2022 2:45,72.891,0,,,,,
61,6/16/2022 3:00,72.718,0,,,,,
62,6/16/2022 3:15,72.718,0,,,,,
63,6/16/2022 3:30,72.718,0,,,,,
64,6/16/2022 3:45,72.545,0,,,,,
65,6/16/2022 4:00,72.199,0,,,,,
66,6/16/2022 4:15,72.028,0,,,,,
67,6/16/2022 4:30,72.028,0,,,,,
68,6/16/2022 4:45,71.683,0,,,,,
69,6/16/2022 5:00,71.512,0,,,,,
70,6/16/2022 5:15,71.339,1,,,,,
71,6/16/2022 5:30,71.168,15,,,,,
72,6/16/2022 5:45,70.995,31,,,,,
73,6/16/2022 6:00,70.995,30,,,,,
74,6/16/2022 6:15,70.824,63,,,,,
75,6/16/2022 6:30,70.995,54,,,,,
76,6/16/2022 6:45,70.824,67,,,,,
77,6/16/2022 7:00,70.824,100,,,,,
78,6/16/2022 7:15,70.824,107,,,,,
79,6/16/2022 7:30,70.995,63,,,,,
80,6/16/2022 7:45,71.339,480,,,,,
81,6/16/2022 8:00,72.718,512,,,,,
82,6/16/2022 8:15,73.58,432,,,,,
83,6/16/2022 8:30,73.926,160,,,,,
84,6/16/2022 8:45,73.926,208,,,,,
85,6/16/2022 9:00,75.484,2432,,,,,
86,6/16/2022 9:15,76.528,2688,,,,,
87,6/16/2022 9:30,77.749,2816,,,,,
88,6/16/2022 9:45,79.151,3328,,,,,
89,6/16/2022 10:00,78.8,768,,,,,
90,6/16/2022 10:15,78.624,384,,,,,
91,6/16/2022 10:30,77.749,400,,,,,
92,6/16/2022 10:45,77.05,368,,,,,
93,6/16/2022 11:00,76.181,232,,,,,
94,6/16/2022 11:15,76.006,480,,,,,
95,6/16/2022 11:30,76.006,704,,,,,
96,6/16/2022 11:45,76.006,704,,,,,
97,6/16/2022 12:00,76.181,608,,,,,
98,6/16/2022 12:15,76.006,480,,,,,
99,6/16/2022 12:30,76.006,672,,,,,
100,6/16/2022 12:45,75.832,672,,,,,
101,6/16/2022 13:00,76.006,672,,,,,
102,6/16/2022 13:15,76.006,608,,,,,
103,6/16/2022 13:30,75.659,496,,,,,
104,6/16/2022 13:45,76.006,672,,,,,
105,6/16/2022 14:00,76.181,480,,,,,
106,6/16/2022 14:15,76.354,464,,,,,
107,6/16/2022 14:30,76.528,384,,,,,
108,6/16/2022 14:45,76.354,496,,,,,
