Plot Title: Gillet Pond,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422126, SEN S/N: 21422126)","Intensity, lum/ft² (LGR S/N: 21422126, SEN S/N: 21422126)",Coupler Attached (LGR S/N: 21422126),Coupler Detached (LGR S/N: 21422126),Host Connected (LGR S/N: 21422126),Stopped (LGR S/N: 21422126),End Of File (LGR S/N: 21422126)
1,6/12/2024 12:00,73.926,26,,,,,
2,6/12/2024 12:15,75.484,63,,,,,
3,6/12/2024 12:30,76.181,57,,,,,
4,6/12/2024 12:45,79.326,17,,,,,
5,6/12/2024 13:00,79.502,24,,,,,
6,6/12/2024 13:15,80.911,14,,,,,
7,6/12/2024 13:30,78.624,45,,,,,
8,6/12/2024 13:45,78.975,17,,,,,
9,6/12/2024 14:00,80.559,20,,,,,
10,6/12/2024 14:15,81.09,44,,,,,
11,6/12/2024 14:30,83.043,18,,,,,
12,6/12/2024 14:45,79.326,16,,,,,
13,6/12/2024 15:00,81.09,27,,,,,
14,6/12/2024 15:15,80.735,25,,,,,
15,6/12/2024 15:30,79.151,17,,,,,
16,6/12/2024 15:45,78.274,17,,,,,
17,6/12/2024 16:00,77.05,13,,,,,
18,6/12/2024 16:15,76.354,22,,,,,
19,6/12/2024 16:30,76.006,11,,,,,
20,6/12/2024 16:45,75.139,12,,,,,
21,6/12/2024 17:00,74.271,10,,,,,
22,6/12/2024 17:15,74.098,13,,,,,
23,6/12/2024 17:30,73.234,7,,,,,
24,6/12/2024 17:45,72.891,5,,,,,
25,6/12/2024 18:00,72.372,7,,,,,
26,6/12/2024 18:15,71.856,6,,,,,
27,6/12/2024 18:30,70.995,2,,,,,
28,6/12/2024 18:45,70.137,0,,,,,
29,6/12/2024 19:00,69.449,2,,,,,
30,6/12/2024 19:15,68.763,0,,,,,
31,6/12/2024 19:30,68.077,0,,,,,
32,6/12/2024 19:45,67.564,0,,,,,
33,6/12/2024 20:00,66.879,0,,,,,
34,6/12/2024 20:15,66.366,0,,,,,
35,6/12/2024 20:30,66.022,0,,,,,
36,6/12/2024 20:45,65.68,0,,,,,
37,6/12/2024 21:00,65.509,0,,,,,
38,6/12/2024 21:15,65.338,0,,,,,
39,6/12/2024 21:30,65.167,0,,,,,
40,6/12/2024 21:45,64.996,0,,,,,
41,6/12/2024 22:00,64.825,0,,,,,
42,6/12/2024 22:15,64.481,0,,,,,
43,6/12/2024 22:30,64.31,0,,,,,
44,6/12/2024 22:45,64.139,0,,,,,
45,6/12/2024 23:00,63.968,0,,,,,
46,6/12/2024 23:15,63.455,0,,,,,
47,6/12/2024 23:30,62.94,0,,,,,
48,6/12/2024 23:45,62.425,0,,,,,
49,6/13/2024 0:00,61.912,0,,,,,
50,6/13/2024 0:15,61.398,0,,,,,
51,6/13/2024 0:30,61.054,0,,,,,
52,6/13/2024 0:45,60.539,0,,,,,
53,6/13/2024 1:00,60.195,0,,,,,
54,6/13/2024 1:15,59.851,0,,,,,
55,6/13/2024 1:30,59.508,0,,,,,
56,6/13/2024 1:45,59.164,0,,,,,
57,6/13/2024 2:00,58.82,0,,,,,
58,6/13/2024 2:15,58.647,0,,,,,
59,6/13/2024 2:30,58.303,0,,,,,
60,6/13/2024 2:45,57.958,0,,,,,
61,6/13/2024 3:00,57.785,0,,,,,
62,6/13/2024 3:15,57.614,0,,,,,
63,6/13/2024 3:30,57.268,0,,,,,
64,6/13/2024 3:45,57.096,0,,,,,
65,6/13/2024 4:00,56.75,0,,,,,
66,6/13/2024 4:15,56.577,0,,,,,
67,6/13/2024 4:30,56.23,0,,,,,
68,6/13/2024 4:45,56.057,0,,,,,
69,6/13/2024 5:00,55.884,0,,,,,
70,6/13/2024 5:15,55.537,0,,,,,
71,6/13/2024 5:30,55.364,0,,,,,
72,6/13/2024 5:45,55.189,0,,,,,
73,6/13/2024 6:00,55.189,1,,,,,
74,6/13/2024 6:15,55.017,1,,,,,
75,6/13/2024 6:30,55.017,2,,,,,
76,6/13/2024 6:45,55.537,17,,,,,
77,6/13/2024 7:00,56.404,18,,,,,
78,6/13/2024 7:15,57.614,31,,,,,
79,6/13/2024 7:30,58.993,44,,,,,
80,6/13/2024 7:45,60.368,62,,,,,
81,6/13/2024 8:00,62.083,74,,,,,
82,6/13/2024 8:15,63.797,76,,,,,
83,6/13/2024 8:30,65.338,77,,,,,
84,6/13/2024 8:45,66.708,71,,,,,
85,6/13/2024 9:00,67.906,67,,,,,
86,6/13/2024 9:15,69.278,75,,,,,
87,6/13/2024 9:30,70.995,82,,,,,
88,6/13/2024 9:45,72.199,88,,,,,
89,6/13/2024 10:00,73.407,88,,,,,
90,6/13/2024 10:15,74.791,108,,,,,
91,6/13/2024 10:30,75.659,120,,,,,
92,6/13/2024 10:45,76.703,125,,,,,
93,6/13/2024 11:00,77.923,105,,,,,
94,6/13/2024 11:15,79.151,120,,,,,
95,6/13/2024 11:30,79.678,96,,,,,
96,6/13/2024 11:45,81.266,114,,,,,
97,6/13/2024 12:00,81.266,81,,,,,
98,6/13/2024 12:15,81.266,79,,,,,
99,6/13/2024 12:30,82.33,85,,,,,
100,6/13/2024 12:45,82.686,63,,,,,
101,6/13/2024 13:00,83.043,53,,,,,
102,6/13/2024 13:15,83.399,50,,,,,
103,6/13/2024 13:30,84.115,47,,,,,
104,6/13/2024 13:45,83.935,49,,,,,
105,6/13/2024 14:00,83.935,48,,,,,
106,6/13/2024 14:15,83.757,37,,,,,
107,6/13/2024 14:30,82.152,30,,,,,
108,6/13/2024 14:45,80.559,39,,,,,
109,6/13/2024 15:00,81.09,49,,,,,
110,6/13/2024 15:15,81.442,31,,,,,
111,6/13/2024 15:30,80.029,29,,,,,
112,6/13/2024 15:45,79.326,22,,,,,
113,6/13/2024 16:00,78.449,25,,,,,
114,6/13/2024 16:15,78.624,26,,,,,
115,6/13/2024 16:30,77.749,28,,,,,
116,6/13/2024 16:45,77.05,17,,,,,
117,6/13/2024 17:00,76.181,23,,,,,
118,6/13/2024 17:15,74.964,7,,,,,
119,6/13/2024 17:30,74.271,13,,,,,
120,6/13/2024 17:45,73.58,3,,,,,
121,6/13/2024 18:00,72.891,5,,,,,
122,6/13/2024 18:15,73.234,13,,,,,
123,6/13/2024 18:30,72.891,9,,,,,
124,6/13/2024 18:45,72.372,8,,,,,
125,6/13/2024 19:00,72.028,7,,,,,
126,6/13/2024 19:15,71.683,4,,,,,
127,6/13/2024 19:30,70.824,1,,,,,
128,6/13/2024 19:45,70.308,2,,,,,
129,6/13/2024 20:00,69.964,1,,,,,
130,6/13/2024 20:15,69.449,0,,,,,
131,6/13/2024 20:30,68.934,0,,,,,
132,6/13/2024 20:45,68.421,0,,,,,
133,6/13/2024 21:00,68.077,0,,,,,
134,6/13/2024 21:15,67.564,0,,,,,
135,6/13/2024 21:30,67.221,0,,,,,
136,6/13/2024 21:45,66.879,0,,,,,
137,6/13/2024 22:00,66.708,0,,,,,
138,6/13/2024 22:15,66.366,0,,,,,
139,6/13/2024 22:30,66.193,0,,,,,
140,6/13/2024 22:45,66.022,0,,,,,
141,6/13/2024 23:00,65.851,0,,,,,
142,6/13/2024 23:15,65.68,0,,,,,
143,6/13/2024 23:30,65.509,0,,,,,
144,6/13/2024 23:45,65.338,0,,,,,
145,6/14/2024 0:00,65.167,0,,,,,
146,6/14/2024 0:15,65.167,0,,,,,
147,6/14/2024 0:30,64.996,0,,,,,
148,6/14/2024 0:45,64.996,0,,,,,
149,6/14/2024 1:00,64.825,0,,,,,
150,6/14/2024 1:15,64.825,0,,,,,
151,6/14/2024 1:30,64.825,0,,,,,
152,6/14/2024 1:45,64.825,0,,,,,
153,6/14/2024 2:00,64.996,0,,,,,
154,6/14/2024 2:15,64.996,0,,,,,
