Plot Title: 21422114,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422114, SEN S/N: 21422114)","Intensity, lum/ft² (LGR S/N: 21422114, SEN S/N: 21422114)",Coupler Attached (LGR S/N: 21422114),Host Connected (LGR S/N: 21422114),Stopped (LGR S/N: 21422114),End Of File (LGR S/N: 21422114)
1,6/16/2022 12:00,71.339,512,,,,
2,6/16/2022 12:15,71.339,272,,,,
3,6/16/2022 12:30,71.339,256,,,,
4,6/16/2022 12:45,71.339,416,,,,
5,6/16/2022 13:00,71.339,368,,,,
6,6/16/2022 13:15,71.339,288,,,,
7,6/16/2022 13:30,71.339,176,,,,
8,6/16/2022 13:45,71.512,240,,,,
9,6/16/2022 14:00,71.512,480,,,,
10,6/16/2022 14:15,71.683,336,,,,
11,6/16/2022 14:30,71.683,320,,,,
12,6/16/2022 14:45,71.856,208,,,,
13,6/16/2022 15:00,72.028,864,,,,
14,6/16/2022 15:15,71.856,232,,,,
15,6/16/2022 15:30,72.028,272,,,,
16,6/16/2022 15:45,72.028,128,,,,
17,6/16/2022 16:00,72.028,152,,,,
18,6/16/2022 16:15,72.028,336,,,,
19,6/16/2022 16:30,72.199,184,,,,
20,6/16/2022 16:45,72.199,121,,,,
21,6/16/2022 17:00,72.199,128,,,,
22,6/16/2022 17:15,72.199,103,,,,
23,6/16/2022 17:30,72.199,59,,,,
24,6/16/2022 17:45,72.199,42,,,,
25,6/16/2022 18:00,72.199,62,,,,
26,6/16/2022 18:15,72.199,44,,,,
27,6/16/2022 18:30,72.199,35,,,,
28,6/16/2022 18:45,72.199,21,,,,
29,6/16/2022 19:00,72.199,5,,,,
30,6/16/2022 19:15,72.199,1,,,,
31,6/16/2022 19:30,72.199,3,,,,
32,6/16/2022 19:45,72.199,4,,,,
33,6/16/2022 20:00,72.199,3,,,,
34,6/16/2022 20:15,72.199,2,,,,
35,6/16/2022 20:30,72.199,2,,,,
36,6/16/2022 20:45,72.199,0,,,,
37,6/16/2022 21:00,72.199,0,,,,
38,6/16/2022 21:15,72.199,0,,,,
39,6/16/2022 21:30,72.199,0,,,,
40,6/16/2022 21:45,72.199,0,,,,
41,6/16/2022 22:00,72.199,0,,,,
42,6/16/2022 22:15,72.199,0,,,,
43,6/16/2022 22:30,72.199,0,,,,
44,6/16/2022 22:45,72.028,0,,,,
45,6/16/2022 23:00,72.028,0,,,,
46,6/16/2022 23:15,72.028,0,,,,
47,6/16/2022 23:30,72.028,0,,,,
48,6/16/2022 23:45,72.028,0,,,,
49,6/17/2022 0:00,72.028,0,,,,
50,6/17/2022 0:15,72.028,0,,,,
51,6/17/2022 0:30,72.028,0,,,,
52,6/17/2022 0:45,72.028,0,,,,
53,6/17/2022 1:00,72.028,0,,,,
54,6/17/2022 1:15,72.028,0,,,,
55,6/17/2022 1:30,72.028,0,,,,
56,6/17/2022 1:45,72.028,0,,,,
57,6/17/2022 2:00,72.028,0,,,,
58,6/17/2022 2:15,72.028,0,,,,
59,6/17/2022 2:30,71.856,0,,,,
60,6/17/2022 2:45,71.856,0,,,,
61,6/17/2022 3:00,71.856,0,,,,
62,6/17/2022 3:15,71.856,0,,,,
63,6/17/2022 3:30,71.856,0,,,,
64,6/17/2022 3:45,71.683,0,,,,
65,6/17/2022 4:00,71.683,0,,,,
66,6/17/2022 4:15,71.683,0,,,,
67,6/17/2022 4:30,71.683,0,,,,
68,6/17/2022 4:45,71.512,0,,,,
69,6/17/2022 5:00,71.512,0,,,,
70,6/17/2022 5:15,71.512,3,,,,
71,6/17/2022 5:30,71.339,6,,,,
72,6/17/2022 5:45,71.339,8,,,,
73,6/17/2022 6:00,71.339,9,,,,
74,6/17/2022 6:15,71.339,20,,,,
75,6/17/2022 6:30,71.339,34,,,,
76,6/17/2022 6:45,71.339,24,,,,
77,6/17/2022 7:00,71.339,22,,,,
78,6/17/2022 7:15,71.339,61,,,,
79,6/17/2022 7:30,71.339,56,,,,
80,6/17/2022 7:45,71.339,63,,,,
81,6/17/2022 8:00,71.339,44,,,,
82,6/17/2022 8:15,71.339,55,,,,
83,6/17/2022 8:30,71.339,16,,,,
84,6/17/2022 8:45,71.339,52,,,,
85,6/17/2022 9:00,71.339,100,,,,
86,6/17/2022 9:15,71.512,152,,,,
87,6/17/2022 9:30,71.512,184,,,,
88,6/17/2022 9:45,71.512,144,,,,
89,6/17/2022 10:00,71.683,160,,,,
90,6/17/2022 10:15,71.856,122,,,,
91,6/17/2022 10:30,71.856,272,,,,
92,6/17/2022 10:45,71.856,168,,,,
93,6/17/2022 11:00,72.028,152,,,,
94,6/17/2022 11:15,72.028,110,,,,
95,6/17/2022 11:30,72.028,128,,,,
96,6/17/2022 11:45,72.028,124,,,,
97,6/17/2022 12:00,72.199,73,,,,
98,6/17/2022 12:15,72.545,1344,,,,
99,6/17/2022 12:30,72.718,448,,,,
100,6/17/2022 12:45,72.718,240,,,,
101,6/17/2022 13:00,72.718,176,,,,
102,6/17/2022 13:15,72.545,65,,,,
103,6/17/2022 13:30,72.545,100,,,,
104,6/17/2022 13:45,72.718,123,,,,
105,6/17/2022 14:00,72.718,144,,,,
106,6/17/2022 14:15,72.718,200,,,,
107,6/17/2022 14:30,72.718,64,,,,
108,6/17/2022 14:45,72.718,103,,,,
109,6/17/2022 15:00,72.891,144,,,,
110,6/17/2022 15:15,72.891,104,,,,
111,6/17/2022 15:30,72.891,98,,,,
112,6/17/2022 15:45,73.062,118,,,,
113,6/17/2022 16:00,73.062,96,,,,
114,6/17/2022 16:15,73.062,75,,,,
115,6/17/2022 16:30,73.062,79,,,,
116,6/17/2022 16:45,73.062,31,,,,
117,6/17/2022 17:00,73.062,43,,,,
118,6/17/2022 17:15,73.234,54,,,,
119,6/17/2022 17:30,73.234,61,,,,
120,6/17/2022 17:45,73.234,9,,,,
121,6/17/2022 18:00,73.234,70,,,,
122,6/17/2022 18:15,73.234,22,,,,
123,6/17/2022 18:30,73.234,13,,,,
124,6/17/2022 18:45,73.234,10,,,,
125,6/17/2022 19:00,73.234,12,,,,
126,6/17/2022 19:15,73.234,7,,,,
127,6/17/2022 19:30,73.234,9,,,,
128,6/17/2022 19:45,73.234,11,,,,
129,6/17/2022 20:00,73.234,6,,,,
130,6/17/2022 20:15,73.234,1,,,,
131,6/17/2022 20:30,73.234,2,,,,
132,6/17/2022 20:45,73.234,0,,,,
133,6/17/2022 21:00,73.234,0,,,,
134,6/17/2022 21:15,73.062,0,,,,
135,6/17/2022 21:30,73.062,0,,,,
136,6/17/2022 21:45,73.062,0,,,,
137,6/17/2022 22:00,73.062,0,,,,
138,6/17/2022 22:15,73.062,0,,,,
139,6/17/2022 22:30,72.891,0,,,,
140,6/17/2022 22:45,72.891,0,,,,
141,6/17/2022 23:00,72.718,0,,,,
142,6/17/2022 23:15,72.718,0,,,,
143,6/17/2022 23:30,72.545,0,,,,
144,6/17/2022 23:45,72.545,0,,,,
145,6/18/2022 0:00,72.372,0,,,,
146,6/18/2022 0:15,72.199,0,,,,
147,6/18/2022 0:30,72.028,0,,,,
148,6/18/2022 0:45,71.856,0,,,,
149,6/18/2022 1:00,71.856,0,,,,
150,6/18/2022 1:15,71.683,0,,,,
151,6/18/2022 1:30,71.512,0,,,,
152,6/18/2022 1:45,71.512,0,,,,
153,6/18/2022 2:00,71.339,0,,,,
154,6/18/2022 2:15,71.339,0,,,,
155,6/18/2022 2:30,71.168,0,,,,
156,6/18/2022 2:45,71.168,0,,,,
157,6/18/2022 3:00,70.995,0,,,,
158,6/18/2022 3:15,70.995,0,,,,
159,6/18/2022 3:30,70.824,0,,,,
160,6/18/2022 3:45,70.824,0,,,,
161,6/18/2022 4:00,70.651,0,,,,
162,6/18/2022 4:15,70.651,0,,,,
163,6/18/2022 4:30,70.48,0,,,,
164,6/18/2022 4:45,70.48,0,,,,
165,6/18/2022 5:00,70.308,0,,,,
166,6/18/2022 5:15,70.137,0,,,,
167,6/18/2022 5:30,70.137,0,,,,
168,6/18/2022 5:45,69.964,2,,,,
169,6/18/2022 6:00,69.964,3,,,,
170,6/18/2022 6:15,69.793,12,,,,
171,6/18/2022 6:30,69.793,10,,,,
172,6/18/2022 6:45,69.622,8,,,,
173,6/18/2022 7:00,69.622,13,,,,
174,6/18/2022 7:15,69.449,9,,,,
175,6/18/2022 7:30,69.449,22,,,,
176,6/18/2022 7:45,69.449,10,,,,
177,6/18/2022 8:00,69.449,30,,,,
178,6/18/2022 8:15,69.278,20,,,,
179,6/18/2022 8:30,69.107,27,,,,
180,6/18/2022 8:45,69.107,49,,,,
181,6/18/2022 9:00,68.934,40,,,,
182,6/18/2022 9:15,68.934,44,,,,
183,6/18/2022 9:30,68.763,49,,,,
184,6/18/2022 9:45,68.763,91,,,,
185,6/18/2022 10:00,68.763,104,,,,
186,6/18/2022 10:15,68.763,48,,,,
187,6/18/2022 10:30,68.763,33,,,,
188,6/18/2022 10:45,68.934,35,,,,
189,6/18/2022 11:00,68.763,31,,,,
190,6/18/2022 11:15,68.763,42,,,,
191,6/18/2022 11:30,68.592,25,,,,
192,6/18/2022 11:45,68.592,34,,,,
193,6/18/2022 12:00,68.592,45,,,,
194,6/18/2022 12:15,68.592,39,,,,
195,6/18/2022 12:30,68.592,27,,,,
196,6/18/2022 12:45,68.592,48,,,,
197,6/18/2022 13:00,68.421,42,,,,
198,6/18/2022 13:15,68.421,38,,,,
199,6/18/2022 13:30,68.421,43,,,,
200,6/18/2022 13:45,68.421,39,,,,
201,6/18/2022 14:00,68.248,58,,,,
202,6/18/2022 14:15,68.248,61,,,,
203,6/18/2022 14:30,68.077,54,,,,
204,6/18/2022 14:45,67.906,89,,,,
205,6/18/2022 15:00,67.906,97,,,,
206,6/18/2022 15:15,67.735,100,,,,
207,6/18/2022 15:30,67.735,56,,,,
208,6/18/2022 15:45,67.564,66,,,,
209,6/18/2022 16:00,67.564,59,,,,
210,6/18/2022 16:15,67.564,36,,,,
211,6/18/2022 16:30,67.392,37,,,,
212,6/18/2022 16:45,67.392,26,,,,
213,6/18/2022 17:00,67.221,24,,,,
214,6/18/2022 17:15,67.221,24,,,,
215,6/18/2022 17:30,67.05,13,,,,
216,6/18/2022 17:45,67.05,7,,,,
217,6/18/2022 18:00,66.879,20,,,,
218,6/18/2022 18:15,66.879,25,,,,
219,6/18/2022 18:30,66.708,20,,,,
220,6/18/2022 18:45,66.708,29,,,,
221,6/18/2022 19:00,66.708,25,,,,
222,6/18/2022 19:15,66.708,18,,,,
223,6/18/2022 19:30,66.537,8,,,,
224,6/18/2022 19:45,66.537,4,,,,
225,6/18/2022 20:00,66.537,1,,,,
226,6/18/2022 20:15,66.537,0,,,,
227,6/18/2022 20:30,66.366,0,,,,
228,6/18/2022 20:45,66.366,0,,,,
229,6/18/2022 21:00,66.193,0,,,,
230,6/18/2022 21:15,66.193,0,,,,
231,6/18/2022 21:30,66.022,0,,,,
232,6/18/2022 21:45,66.022,0,,,,
233,6/18/2022 22:00,66.022,0,,,,
234,6/18/2022 22:15,65.851,0,,,,
235,6/18/2022 22:30,65.851,0,,,,
236,6/18/2022 22:45,65.851,0,,,,
237,6/18/2022 23:00,65.68,0,,,,
238,6/18/2022 23:15,65.68,0,,,,
239,6/18/2022 23:30,65.68,0,,,,
240,6/18/2022 23:45,65.509,0,,,,
241,6/19/2022 0:00,65.509,0,,,,
242,6/19/2022 0:15,65.338,0,,,,
243,6/19/2022 0:30,65.338,0,,,,
244,6/19/2022 0:45,65.167,0,,,,
245,6/19/2022 1:00,65.167,0,,,,
246,6/19/2022 1:15,65.167,0,,,,
247,6/19/2022 1:30,64.996,0,,,,
248,6/19/2022 1:45,64.996,0,,,,
249,6/19/2022 2:00,64.996,0,,,,
250,6/19/2022 2:15,64.825,0,,,,
251,6/19/2022 2:30,64.825,0,,,,
252,6/19/2022 2:45,64.652,0,,,,
253,6/19/2022 3:00,64.652,0,,,,
254,6/19/2022 3:15,64.481,0,,,,
255,6/19/2022 3:30,64.31,0,,,,
256,6/19/2022 3:45,64.31,0,,,,
257,6/19/2022 4:00,64.31,0,,,,
258,6/19/2022 4:15,64.139,0,,,,
259,6/19/2022 4:30,64.139,0,,,,
260,6/19/2022 4:45,63.968,0,,,,
261,6/19/2022 5:00,63.968,0,,,,
262,6/19/2022 5:15,63.968,0,,,,
263,6/19/2022 5:30,63.797,0,,,,
264,6/19/2022 5:45,63.626,2,,,,
265,6/19/2022 6:00,63.626,5,,,,
266,6/19/2022 6:15,63.626,10,,,,
267,6/19/2022 6:30,63.455,13,,,,
268,6/19/2022 6:45,63.626,13,,,,
269,6/19/2022 7:00,63.626,7,,,,
270,6/19/2022 7:15,63.455,8,,,,
271,6/19/2022 7:30,63.455,16,,,,
272,6/19/2022 7:45,63.455,19,,,,
273,6/19/2022 8:00,63.455,30,,,,
274,6/19/2022 8:15,63.455,49,,,,
275,6/19/2022 8:30,63.455,64,,,,
276,6/19/2022 8:45,63.626,83,,,,
277,6/19/2022 9:00,63.626,30,,,,
278,6/19/2022 9:15,63.626,48,,,,
