Plot Title: 21422125,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422125, SEN S/N: 21422125)","Intensity, lum/ft² (LGR S/N: 21422125, SEN S/N: 21422125)",Coupler Attached (LGR S/N: 21422125),Host Connected (LGR S/N: 21422125),Stopped (LGR S/N: 21422125),End Of File (LGR S/N: 21422125)
1,6/7/2022 12:00,68.421,0,,,,
2,6/7/2022 12:15,69.622,0,,,,
3,6/7/2022 12:30,70.651,0,,,,
4,6/7/2022 12:45,72.028,0,,,,
5,6/7/2022 13:00,72.718,0,,,,
6,6/7/2022 13:15,73.234,0,,,,
7,6/7/2022 13:30,74.098,0,,,,
8,6/7/2022 13:45,74.791,0,,,,
9,6/7/2022 14:00,75.139,0,,,,
10,6/7/2022 14:15,75.312,0,,,,
11,6/7/2022 14:30,75.659,0,,,,
12,6/7/2022 14:45,75.832,0,,,,
13,6/7/2022 15:00,75.832,0,,,,
14,6/7/2022 15:15,75.659,0,,,,
15,6/7/2022 15:30,75.484,0,,,,
16,6/7/2022 15:45,75.312,0,,,,
17,6/7/2022 16:00,74.964,0,,,,
18,6/7/2022 16:15,74.619,0,,,,
19,6/7/2022 16:30,74.271,0,,,,
20,6/7/2022 16:45,73.753,0,,,,
21,6/7/2022 17:00,73.407,0,,,,
22,6/7/2022 17:15,72.891,0,,,,
23,6/7/2022 17:30,72.545,0,,,,
24,6/7/2022 17:45,72.199,0,,,,
25,6/7/2022 18:00,71.856,0,,,,
26,6/7/2022 18:15,71.339,0,,,,
27,6/7/2022 18:30,70.824,0,,,,
28,6/7/2022 18:45,70.308,0,,,,
29,6/7/2022 19:00,69.622,0,,,,
30,6/7/2022 19:15,69.278,0,,,,
31,6/7/2022 19:30,68.763,0,,,,
32,6/7/2022 19:45,68.248,0,,,,
33,6/7/2022 20:00,67.906,0,,,,
34,6/7/2022 20:15,67.564,0,,,,
35,6/7/2022 20:30,67.221,0,,,,
36,6/7/2022 20:45,66.708,0,,,,
37,6/7/2022 21:00,66.366,0,,,,
38,6/7/2022 21:15,66.022,0,,,,
39,6/7/2022 21:30,65.68,0,,,,
40,6/7/2022 21:45,65.338,0,,,,
41,6/7/2022 22:00,64.996,0,,,,
42,6/7/2022 22:15,64.652,0,,,,
43,6/7/2022 22:30,64.31,0,,,,
44,6/7/2022 22:45,64.139,0,,,,
45,6/7/2022 23:00,63.797,0,,,,
46,6/7/2022 23:15,63.626,0,,,,
47,6/7/2022 23:30,63.282,0,,,,
48,6/7/2022 23:45,63.111,0,,,,
49,6/8/2022 0:00,62.769,0,,,,
50,6/8/2022 0:15,62.598,0,,,,
51,6/8/2022 0:30,62.425,0,,,,
52,6/8/2022 0:45,62.083,0,,,,
53,6/8/2022 1:00,61.912,0,,,,
54,6/8/2022 1:15,61.741,0,,,,
55,6/8/2022 1:30,61.569,0,,,,
56,6/8/2022 1:45,61.398,0,,,,
57,6/8/2022 2:00,61.227,0,,,,
58,6/8/2022 2:15,61.054,0,,,,
59,6/8/2022 2:30,60.883,0,,,,
60,6/8/2022 2:45,60.712,0,,,,
61,6/8/2022 3:00,60.539,0,,,,
62,6/8/2022 3:15,60.539,0,,,,
63,6/8/2022 3:30,60.368,0,,,,
64,6/8/2022 3:45,60.195,0,,,,
65,6/8/2022 4:00,60.195,0,,,,
66,6/8/2022 4:15,60.024,0,,,,
67,6/8/2022 4:30,60.024,0,,,,
68,6/8/2022 4:45,60.024,0,,,,
69,6/8/2022 5:00,59.851,0,,,,
70,6/8/2022 5:15,59.851,0,,,,
71,6/8/2022 5:30,59.68,0,,,,
72,6/8/2022 5:45,59.68,0,,,,
73,6/8/2022 6:00,59.508,0,,,,
74,6/8/2022 6:15,59.508,0,,,,
75,6/8/2022 6:30,59.508,0,,,,
76,6/8/2022 6:45,59.337,0,,,,
77,6/8/2022 7:00,59.337,0,,,,
78,6/8/2022 7:15,59.337,0,,,,
79,6/8/2022 7:30,59.337,0,,,,
80,6/8/2022 7:45,59.508,0,,,,
81,6/8/2022 8:00,59.851,0,,,,
82,6/8/2022 8:15,60.195,0,,,,
83,6/8/2022 8:30,60.539,0,,,,
84,6/8/2022 8:45,60.883,0,,,,
85,6/8/2022 9:00,61.227,0,,,,
86,6/8/2022 9:15,61.569,0,,,,
87,6/8/2022 9:30,61.912,0,,,,
88,6/8/2022 9:45,62.254,0,,,,
89,6/8/2022 10:00,62.769,0,,,,
90,6/8/2022 10:15,63.455,0,,,,
91,6/8/2022 10:30,64.31,0,,,,
92,6/8/2022 10:45,64.996,0,,,,
93,6/8/2022 11:00,65.68,0,,,,
94,6/8/2022 11:15,66.537,0,,,,
95,6/8/2022 11:30,67.564,0,,,,
96,6/8/2022 11:45,68.248,0,,,,
97,6/8/2022 12:00,68.421,0,,,,
98,6/8/2022 12:15,69.278,0,,,,
99,6/8/2022 12:30,70.308,0,,,,
100,6/8/2022 12:45,71.683,0,,,,
101,6/8/2022 13:00,72.891,0,,,,
102,6/8/2022 13:15,73.753,0,,,,
103,6/8/2022 13:30,73.926,0,,,,
104,6/8/2022 13:45,74.271,0,,,,
105,6/8/2022 14:00,74.964,0,,,,
106,6/8/2022 14:15,75.832,0,,,,
107,6/8/2022 14:30,76.528,0,,,,
108,6/8/2022 14:45,77.4,0,,,,
109,6/8/2022 15:00,77.749,0,,,,
110,6/8/2022 15:15,78.274,0,,,,
111,6/8/2022 15:30,78.624,0,,,,
112,6/8/2022 15:45,78.975,0,,,,
113,6/8/2022 16:00,78.975,0,,,,
114,6/8/2022 16:15,78.975,0,,,,
115,6/8/2022 16:30,78.624,0,,,,
116,6/8/2022 16:45,77.923,0,,,,
117,6/8/2022 17:00,77.225,0,,,,
118,6/8/2022 17:15,76.354,0,,,,
119,6/8/2022 17:30,75.659,0,,,,
120,6/8/2022 17:45,74.964,0,,,,
121,6/8/2022 18:00,74.098,0,,,,
122,6/8/2022 18:15,73.407,0,,,,
123,6/8/2022 18:30,72.545,0,,,,
124,6/8/2022 18:45,72.028,0,,,,
125,6/8/2022 19:00,71.339,0,,,,
126,6/8/2022 19:15,70.824,0,,,,
127,6/8/2022 19:30,70.308,0,,,,
128,6/8/2022 19:45,69.793,0,,,,
129,6/8/2022 20:00,69.107,0,,,,
130,6/8/2022 20:15,68.592,0,,,,
131,6/8/2022 20:30,68.077,0,,,,
132,6/8/2022 20:45,67.564,0,,,,
133,6/8/2022 21:00,67.05,0,,,,
134,6/8/2022 21:15,66.537,0,,,,
135,6/8/2022 21:30,66.022,0,,,,
136,6/8/2022 21:45,65.509,0,,,,
137,6/8/2022 22:00,64.996,0,,,,
138,6/8/2022 22:15,64.652,0,,,,
139,6/8/2022 22:30,64.139,0,,,,
140,6/8/2022 22:45,63.797,0,,,,
141,6/8/2022 23:00,63.455,0,,,,
142,6/8/2022 23:15,63.111,0,,,,
143,6/8/2022 23:30,62.769,0,,,,
144,6/8/2022 23:45,62.425,0,,,,
145,6/9/2022 0:00,62.083,0,,,,
146,6/9/2022 0:15,61.741,0,,,,
147,6/9/2022 0:30,61.398,0,,,,
148,6/9/2022 0:45,61.054,0,,,,
149,6/9/2022 1:00,60.883,0,,,,
150,6/9/2022 1:15,60.712,0,,,,
151,6/9/2022 1:30,60.368,0,,,,
152,6/9/2022 1:45,60.195,0,,,,
153,6/9/2022 2:00,60.024,0,,,,
154,6/9/2022 2:15,59.851,0,,,,
155,6/9/2022 2:30,59.68,0,,,,
156,6/9/2022 2:45,59.508,0,,,,
157,6/9/2022 3:00,59.337,0,,,,
158,6/9/2022 3:15,59.164,0,,,,
