Plot Title: Rutland -1,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422122, SEN S/N: 21422122)","Intensity, lum/ft² (LGR S/N: 21422122, SEN S/N: 21422122)",Coupler Attached (LGR S/N: 21422122),Host Connected (LGR S/N: 21422122),Stopped (LGR S/N: 21422122),End Of File (LGR S/N: 21422122)
1,6/4/2024 12:00,85.915,496,,,,
2,6/4/2024 12:15,87.186,512,,,,
3,6/4/2024 12:30,88.099,432,,,,
4,6/4/2024 12:45,88.65,480,,,,
5,6/4/2024 13:00,89.755,576,,,,
6,6/4/2024 13:15,89.569,480,,,,
7,6/4/2024 13:30,88.833,256,,,,
8,6/4/2024 13:45,87.733,496,,,,
9,6/4/2024 14:00,87.004,320,,,,
10,6/4/2024 14:15,86.823,576,,,,
11,6/4/2024 14:30,89.017,608,,,,
12,6/4/2024 14:45,89.017,272,,,,
13,6/4/2024 15:00,88.466,336,,,,
14,6/4/2024 15:15,88.65,448,,,,
15,6/4/2024 15:30,91.425,704,,,,
16,6/4/2024 15:45,93.493,768,,,,
17,6/4/2024 16:00,94.633,608,,,,
18,6/4/2024 16:15,94.444,464,,,,
19,6/4/2024 16:30,93.493,512,,,,
20,6/4/2024 16:45,93.493,352,,,,
21,6/4/2024 17:00,92.55,480,,,,
22,6/4/2024 17:15,92.363,480,,,,
23,6/4/2024 17:30,91.8,480,,,,
24,6/4/2024 17:45,91.425,496,,,,
25,6/4/2024 18:00,90.309,304,,,,
26,6/4/2024 18:15,89.017,240,,,,
27,6/4/2024 18:30,88.099,352,,,,
28,6/4/2024 18:45,87.733,368,,,,
29,6/4/2024 19:00,87.004,192,,,,
30,6/4/2024 19:15,86.459,144,,,,
31,6/4/2024 19:30,85.915,176,,,,
32,6/4/2024 19:45,85.194,47,,,,
33,6/4/2024 20:00,84.295,40,,,,
34,6/4/2024 20:15,83.399,17,,,,
35,6/4/2024 20:30,82.686,5,,,,
36,6/4/2024 20:45,81.975,0,,,,
37,6/4/2024 21:00,81.442,0,,,,
38,6/4/2024 21:15,81.09,0,,,,
39,6/4/2024 21:30,80.382,0,,,,
40,6/4/2024 21:45,79.853,0,,,,
41,6/4/2024 22:00,79.326,0,,,,
42,6/4/2024 22:15,78.8,0,,,,
43,6/4/2024 22:30,78.449,0,,,,
44,6/4/2024 22:45,77.923,0,,,,
45,6/4/2024 23:00,77.4,0,,,,
46,6/4/2024 23:15,76.876,0,,,,
47,6/4/2024 23:30,76.528,0,,,,
48,6/4/2024 23:45,76.006,0,,,,
49,6/5/2024 0:00,75.832,0,,,,
50,6/5/2024 0:15,75.484,0,,,,
51,6/5/2024 0:30,75.312,0,,,,
52,6/5/2024 0:45,75.139,0,,,,
53,6/5/2024 1:00,74.964,0,,,,
54,6/5/2024 1:15,74.791,0,,,,
55,6/5/2024 1:30,74.446,0,,,,
56,6/5/2024 1:45,74.098,0,,,,
57,6/5/2024 2:00,73.926,0,,,,
58,6/5/2024 2:15,73.753,0,,,,
59,6/5/2024 2:30,73.407,0,,,,
60,6/5/2024 2:45,73.234,0,,,,
61,6/5/2024 3:00,73.062,0,,,,
62,6/5/2024 3:15,73.062,0,,,,
63,6/5/2024 3:30,73.062,0,,,,
64,6/5/2024 3:45,72.891,0,,,,
65,6/5/2024 4:00,72.545,0,,,,
66,6/5/2024 4:15,72.372,0,,,,
67,6/5/2024 4:30,71.856,0,,,,
68,6/5/2024 4:45,71.512,0,,,,
69,6/5/2024 5:00,71.168,3,,,,
70,6/5/2024 5:15,70.824,15,,,,
71,6/5/2024 5:30,70.651,30,,,,
72,6/5/2024 5:45,70.48,103,,,,
73,6/5/2024 6:00,70.308,192,,,,
74,6/5/2024 6:15,70.137,288,,,,
75,6/5/2024 6:30,70.308,480,,,,
76,6/5/2024 6:45,70.48,432,,,,
77,6/5/2024 7:00,70.824,608,,,,
78,6/5/2024 7:15,71.168,768,,,,
79,6/5/2024 7:30,72.199,3456,,,,
80,6/5/2024 7:45,73.58,2432,,,,
81,6/5/2024 8:00,73.926,1088,,,,
82,6/5/2024 8:15,74.446,1216,,,,
83,6/5/2024 8:30,74.791,768,,,,
84,6/5/2024 8:45,75.832,1216,,,,
85,6/5/2024 9:00,77.225,1344,,,,
