Plot Title: Indian Brook-2,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422109, SEN S/N: 21422109)","Intensity, lum/ft² (LGR S/N: 21422109, SEN S/N: 21422109)",Coupler Attached (LGR S/N: 21422109),Coupler Detached (LGR S/N: 21422109),Host Connected (LGR S/N: 21422109),Stopped (LGR S/N: 21422109),End Of File (LGR S/N: 21422109)
1,6/8/2024 12:00,69.449,136,,,,,
2,6/8/2024 12:15,69.964,136,,,,,
3,6/8/2024 12:30,69.964,128,,,,,
4,6/8/2024 12:45,72.028,144,,,,,
5,6/8/2024 13:00,71.168,144,,,,,
6,6/8/2024 13:15,73.062,152,,,,,
7,6/8/2024 13:30,72.372,152,,,,,
8,6/8/2024 13:45,72.891,114,,,,,
9,6/8/2024 14:00,72.718,144,,,,,
10,6/8/2024 14:15,70.651,115,,,,,
11,6/8/2024 14:30,70.995,73,,,,,
12,6/8/2024 14:45,71.512,122,,,,,
13,6/8/2024 15:00,74.446,384,,,,,
14,6/8/2024 15:15,72.028,26,,,,,
15,6/8/2024 15:30,70.137,74,,,,,
16,6/8/2024 15:45,71.856,105,,,,,
17,6/8/2024 16:00,72.718,336,,,,,
18,6/8/2024 16:15,70.995,40,,,,,
19,6/8/2024 16:30,68.077,12,,,,,
20,6/8/2024 16:45,68.077,49,,,,,
21,6/8/2024 17:00,68.421,90,,,,,
22,6/8/2024 17:15,68.934,81,,,,,
23,6/8/2024 17:30,68.592,62,,,,,
24,6/8/2024 17:45,68.077,55,,,,,
25,6/8/2024 18:00,67.564,76,,,,,
26,6/8/2024 18:15,67.564,53,,,,,
27,6/8/2024 18:30,67.05,58,,,,,
28,6/8/2024 18:45,66.879,44,,,,,
29,6/8/2024 19:00,65.851,20,,,,,
30,6/8/2024 19:15,64.996,8,,,,,
31,6/8/2024 19:30,64.31,5,,,,,
32,6/8/2024 19:45,64.139,10,,,,,
33,6/8/2024 20:00,63.626,5,,,,,
34,6/8/2024 20:15,63.282,6,,,,,
35,6/8/2024 20:30,62.94,0,,,,,
36,6/8/2024 20:45,62.425,0,,,,,
37,6/8/2024 21:00,62.598,0,,,,,
38,6/8/2024 21:15,62.769,0,,,,,
39,6/8/2024 21:30,62.598,0,,,,,
40,6/8/2024 21:45,62.254,0,,,,,
41,6/8/2024 22:00,62.254,0,,,,,
42,6/8/2024 22:15,62.254,0,,,,,
43,6/8/2024 22:30,61.912,0,,,,,
44,6/8/2024 22:45,61.741,0,,,,,
45,6/8/2024 23:00,61.569,0,,,,,
46,6/8/2024 23:15,61.569,0,,,,,
47,6/8/2024 23:30,61.398,0,,,,,
48,6/8/2024 23:45,61.398,0,,,,,
49,6/9/2024 0:00,61.398,0,,,,,
50,6/9/2024 0:15,61.227,0,,,,,
51,6/9/2024 0:30,61.227,0,,,,,
52,6/9/2024 0:45,61.227,0,,,,,
53,6/9/2024 1:00,61.398,0,,,,,
54,6/9/2024 1:15,61.398,0,,,,,
55,6/9/2024 1:30,61.569,0,,,,,
56,6/9/2024 1:45,61.227,0,,,,,
57,6/9/2024 2:00,61.227,0,,,,,
58,6/9/2024 2:15,61.227,0,,,,,
59,6/9/2024 2:30,60.883,0,,,,,
60,6/9/2024 2:45,60.539,0,,,,,
61,6/9/2024 3:00,60.712,0,,,,,
62,6/9/2024 3:15,60.712,0,,,,,
63,6/9/2024 3:30,60.368,0,,,,,
64,6/9/2024 3:45,60.195,0,,,,,
65,6/9/2024 4:00,60.024,0,,,,,
66,6/9/2024 4:15,59.851,0,,,,,
67,6/9/2024 4:30,59.68,0,,,,,
68,6/9/2024 4:45,59.508,0,,,,,
69,6/9/2024 5:00,59.164,0,,,,,
70,6/9/2024 5:15,58.993,0,,,,,
71,6/9/2024 5:30,58.82,0,,,,,
72,6/9/2024 5:45,58.647,1,,,,,
73,6/9/2024 6:00,58.476,4,,,,,
74,6/9/2024 6:15,58.303,6,,,,,
75,6/9/2024 6:30,58.303,6,,,,,
76,6/9/2024 6:45,58.476,8,,,,,
77,6/9/2024 7:00,58.476,11,,,,,
78,6/9/2024 7:15,58.303,11,,,,,
79,6/9/2024 7:30,58.131,15,,,,,
80,6/9/2024 7:45,58.131,16,,,,,
81,6/9/2024 8:00,58.476,37,,,,,
82,6/9/2024 8:15,58.82,43,,,,,
83,6/9/2024 8:30,58.993,41,,,,,
84,6/9/2024 8:45,59.337,41,,,,,
85,6/9/2024 9:00,58.993,35,,,,,
86,6/9/2024 9:15,59.164,26,,,,,
87,6/9/2024 9:30,59.68,54,,,,,
88,6/9/2024 9:45,60.024,44,,,,,
89,6/9/2024 10:00,61.398,82,,,,,
90,6/9/2024 10:15,61.398,64,,,,,
91,6/9/2024 10:30,62.425,84,,,,,
92,6/9/2024 10:45,61.912,71,,,,,
93,6/9/2024 11:00,64.139,111,,,,,
94,6/9/2024 11:15,67.221,144,,,,,
95,6/9/2024 11:30,67.735,128,,,,,
96,6/9/2024 11:45,66.366,160,,,,,
97,6/9/2024 12:00,67.906,119,,,,,
98,6/9/2024 12:15,67.05,85,,,,,
99,6/9/2024 12:30,66.879,77,,,,,
100,6/9/2024 12:45,68.248,136,,,,,
101,6/9/2024 13:00,69.278,136,,,,,
102,6/9/2024 13:15,69.964,102,,,,,
103,6/9/2024 13:30,69.278,98,,,,,
104,6/9/2024 13:45,67.906,76,,,,,
105,6/9/2024 14:00,69.278,288,,,,,
106,6/9/2024 14:15,71.683,98,,,,,
107,6/9/2024 14:30,72.545,128,,,,,
108,6/9/2024 14:45,69.107,21,,,,,
109,6/9/2024 15:00,68.763,97,,,,,
110,6/9/2024 15:15,70.137,75,,,,,
111,6/9/2024 15:30,69.793,83,,,,,
112,6/9/2024 15:45,68.592,64,,,,,
113,6/9/2024 16:00,73.062,79,,,,,
114,6/9/2024 16:15,70.824,70,,,,,
115,6/9/2024 16:30,72.199,200,,,,,
116,6/9/2024 16:45,69.107,42,,,,,
117,6/9/2024 17:00,67.564,50,,,,,
118,6/9/2024 17:15,66.708,54,,,,,
119,6/9/2024 17:30,68.592,114,,,,,
120,6/9/2024 17:45,67.221,288,,,,,
121,6/9/2024 18:00,66.193,13,,,,,
122,6/9/2024 18:15,63.968,37,,,,,
123,6/9/2024 18:30,64.652,25,,,,,
124,6/9/2024 18:45,64.139,19,,,,,
125,6/9/2024 19:00,63.626,19,,,,,
126,6/9/2024 19:15,63.282,15,,,,,
127,6/9/2024 19:30,63.111,19,,,,,
128,6/9/2024 19:45,62.083,16,,,,,
129,6/9/2024 20:00,61.741,13,,,,,
130,6/9/2024 20:15,61.054,1,,,,,
131,6/9/2024 20:30,60.539,0,,,,,
132,6/9/2024 20:45,60.368,0,,,,,
133,6/9/2024 21:00,59.851,0,,,,,
134,6/9/2024 21:15,59.851,0,,,,,
135,6/9/2024 21:30,59.851,0,,,,,
136,6/9/2024 21:45,59.508,0,,,,,
137,6/9/2024 22:00,59.337,0,,,,,
138,6/9/2024 22:15,59.164,0,,,,,
139,6/9/2024 22:30,59.508,0,,,,,
140,6/9/2024 22:45,59.164,0,,,,,
141,6/9/2024 23:00,59.337,0,,,,,
142,6/9/2024 23:15,58.82,0,,,,,
143,6/9/2024 23:30,59.164,0,,,,,
144,6/9/2024 23:45,59.337,0,,,,,
145,6/10/2024 0:00,59.164,0,,,,,
146,6/10/2024 0:15,59.164,0,,,,,
147,6/10/2024 0:30,58.993,0,,,,,
148,6/10/2024 0:45,59.337,0,,,,,
149,6/10/2024 1:00,59.164,0,,,,,
150,6/10/2024 1:15,59.337,0,,,,,
151,6/10/2024 1:30,59.337,0,,,,,
152,6/10/2024 1:45,59.337,0,,,,,
153,6/10/2024 2:00,59.68,0,,,,,
154,6/10/2024 2:15,59.508,0,,,,,
155,6/10/2024 2:30,59.508,0,,,,,
156,6/10/2024 2:45,59.164,0,,,,,
157,6/10/2024 3:00,59.337,0,,,,,
158,6/10/2024 3:15,59.337,0,,,,,
159,6/10/2024 3:30,59.164,0,,,,,
160,6/10/2024 3:45,59.164,0,,,,,
161,6/10/2024 4:00,58.993,0,,,,,
162,6/10/2024 4:15,58.993,0,,,,,
163,6/10/2024 4:30,58.993,0,,,,,
164,6/10/2024 4:45,58.993,0,,,,,
165,6/10/2024 5:00,58.82,0,,,,,
166,6/10/2024 5:15,58.993,0,,,,,
167,6/10/2024 5:30,58.993,0,,,,,
168,6/10/2024 5:45,58.82,1,,,,,
169,6/10/2024 6:00,58.82,0,,,,,
170,6/10/2024 6:15,58.647,0,,,,,
171,6/10/2024 6:30,58.82,2,,,,,
172,6/10/2024 6:45,59.164,8,,,,,
173,6/10/2024 7:00,59.164,9,,,,,
174,6/10/2024 7:15,59.337,10,,,,,
175,6/10/2024 7:30,59.68,11,,,,,
176,6/10/2024 7:45,60.024,20,,,,,
177,6/10/2024 8:00,60.539,25,,,,,
178,6/10/2024 8:15,60.024,13,,,,,
179,6/10/2024 8:30,60.368,17,,,,,
180,6/10/2024 8:45,60.712,21,,,,,
181,6/10/2024 9:00,60.883,21,,,,,
182,6/10/2024 9:15,60.883,16,,,,,
183,6/10/2024 9:30,61.054,24,,,,,
184,6/10/2024 9:45,61.741,59,,,,,
185,6/10/2024 10:00,61.912,52,,,,,
186,6/10/2024 10:15,61.741,26,,,,,
187,6/10/2024 10:30,61.398,9,,,,,
188,6/10/2024 10:45,61.398,16,,,,,
189,6/10/2024 11:00,61.398,20,,,,,
190,6/10/2024 11:15,61.569,36,,,,,
191,6/10/2024 11:30,62.425,67,,,,,
192,6/10/2024 11:45,62.769,64,,,,,
193,6/10/2024 12:00,62.598,59,,,,,
194,6/10/2024 12:15,61.912,51,,,,,
195,6/10/2024 12:30,62.425,81,,,,,
196,6/10/2024 12:45,63.282,99,,,,,
197,6/10/2024 13:00,64.31,104,,,,,
198,6/10/2024 13:15,63.455,86,,,,,
199,6/10/2024 13:30,63.626,79,,,,,
200,6/10/2024 13:45,63.455,61,,,,,
201,6/10/2024 14:00,62.769,40,,,,,
202,6/10/2024 14:15,62.254,34,,,,,
203,6/10/2024 14:30,62.425,45,,,,,
204,6/10/2024 14:45,62.425,52,,,,,
205,6/10/2024 15:00,62.254,39,,,,,
206,6/10/2024 15:15,62.425,60,,,,,
207,6/10/2024 15:30,62.598,56,,,,,
208,6/10/2024 15:45,62.425,52,,,,,
209,6/10/2024 16:00,62.083,31,,,,,
210,6/10/2024 16:15,62.254,38,,,,,
211,6/10/2024 16:30,62.425,46,,,,,
212,6/10/2024 16:45,62.083,26,,,,,
213,6/10/2024 17:00,62.083,27,,,,,
214,6/10/2024 17:15,61.569,18,,,,,
215,6/10/2024 17:30,61.398,13,,,,,
216,6/10/2024 17:45,61.227,15,,,,,
217,6/10/2024 18:00,61.054,17,,,,,
218,6/10/2024 18:15,61.054,16,,,,,
219,6/10/2024 18:30,60.883,16,,,,,
220,6/10/2024 18:45,60.539,8,,,,,
221,6/10/2024 19:00,60.368,10,,,,,
222,6/10/2024 19:15,60.195,2,,,,,
223,6/10/2024 19:30,60.024,2,,,,,
224,6/10/2024 19:45,59.851,0,,,,,
225,6/10/2024 20:00,59.68,0,,,,,
226,6/10/2024 20:15,59.337,0,,,,,
227,6/10/2024 20:30,59.164,0,,,,,
228,6/10/2024 20:45,58.993,0,,,,,
229,6/10/2024 21:00,58.82,0,,,,,
230,6/10/2024 21:15,58.647,0,,,,,
231,6/10/2024 21:30,58.476,0,,,,,
232,6/10/2024 21:45,58.476,0,,,,,
233,6/10/2024 22:00,58.303,0,,,,,
234,6/10/2024 22:15,58.131,0,,,,,
235,6/10/2024 22:30,58.131,0,,,,,
236,6/10/2024 22:45,57.958,0,,,,,
237,6/10/2024 23:00,57.958,0,,,,,
238,6/10/2024 23:15,57.958,0,,,,,
239,6/10/2024 23:30,57.785,0,,,,,
240,6/10/2024 23:45,57.441,0,,,,,
241,6/11/2024 0:00,57.268,0,,,,,
242,6/11/2024 0:15,56.923,0,,,,,
243,6/11/2024 0:30,56.75,0,,,,,
244,6/11/2024 0:45,56.75,0,,,,,
245,6/11/2024 1:00,56.577,0,,,,,
246,6/11/2024 1:15,56.404,0,,,,,
247,6/11/2024 1:30,56.23,0,,,,,
248,6/11/2024 1:45,56.057,0,,,,,
249,6/11/2024 2:00,55.884,0,,,,,
250,6/11/2024 2:15,55.711,0,,,,,
251,6/11/2024 2:30,55.711,0,,,,,
252,6/11/2024 2:45,55.364,0,,,,,
253,6/11/2024 3:00,54.669,0,,,,,
254,6/11/2024 3:15,54.669,0,,,,,
255,6/11/2024 3:30,54.495,0,,,,,
256,6/11/2024 3:45,54.495,0,,,,,
257,6/11/2024 4:00,54.669,0,,,,,
258,6/11/2024 4:15,54.669,0,,,,,
259,6/11/2024 4:30,54.669,0,,,,,
260,6/11/2024 4:45,54.669,0,,,,,
261,6/11/2024 5:00,54.842,0,,,,,
262,6/11/2024 5:15,54.495,0,,,,,
263,6/11/2024 5:30,54.495,0,,,,,
264,6/11/2024 5:45,54.495,2,,,,,
265,6/11/2024 6:00,54.495,4,,,,,
266,6/11/2024 6:15,54.669,7,,,,,
267,6/11/2024 6:30,54.842,12,,,,,
268,6/11/2024 6:45,55.364,18,,,,,
269,6/11/2024 7:00,55.364,15,,,,,
270,6/11/2024 7:15,55.711,21,,,,,
271,6/11/2024 7:30,55.711,13,,,,,
272,6/11/2024 7:45,55.884,21,,,,,
273,6/11/2024 8:00,56.23,32,,,,,
274,6/11/2024 8:15,57.268,45,,,,,
275,6/11/2024 8:30,58.303,67,,,,,
276,6/11/2024 8:45,59.508,71,,,,,
277,6/11/2024 9:00,60.539,80,,,,,
278,6/11/2024 9:15,61.398,88,,,,,
279,6/11/2024 9:30,61.912,77,,,,,
280,6/11/2024 9:45,62.083,74,,,,,
281,6/11/2024 10:00,63.111,77,,,,,
282,6/11/2024 10:15,64.31,102,,,,,
283,6/11/2024 10:30,65.509,105,,,,,
284,6/11/2024 10:45,66.366,107,,,,,
285,6/11/2024 11:00,66.708,113,,,,,
286,6/11/2024 11:15,66.708,87,,,,,
287,6/11/2024 11:30,68.077,117,,,,,
288,6/11/2024 11:45,66.537,78,,,,,
289,6/11/2024 12:00,68.934,136,,,,,
290,6/11/2024 12:15,70.137,126,,,,,
291,6/11/2024 12:30,70.308,107,,,,,
292,6/11/2024 12:45,71.339,127,,,,,
