Plot Title: Indian Brook-3,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422113, SEN S/N: 21422113)","Intensity, lum/ft² (LGR S/N: 21422113, SEN S/N: 21422113)",Coupler Attached (LGR S/N: 21422113),Host Connected (LGR S/N: 21422113),Stopped (LGR S/N: 21422113),End Of File (LGR S/N: 21422113)
1,6/8/2024 12:00,72.891,3840,,,,
2,6/8/2024 12:15,73.926,4352,,,,
3,6/8/2024 12:30,73.926,3840,,,,
4,6/8/2024 12:45,76.703,4608,,,,
5,6/8/2024 13:00,75.139,4608,,,,
6,6/8/2024 13:15,77.4,4864,,,,
7,6/8/2024 13:30,78.8,5888,,,,
8,6/8/2024 13:45,77.923,3200,,,,
9,6/8/2024 14:00,80.382,2560,,,,
10,6/8/2024 14:15,77.4,5376,,,,
11,6/8/2024 14:30,76.703,1728,,,,
12,6/8/2024 14:45,77.05,2944,,,,
13,6/8/2024 15:00,81.621,16384,,,,
14,6/8/2024 15:15,77.574,576,,,,
15,6/8/2024 15:30,77.225,1600,,,,
16,6/8/2024 15:45,76.703,2048,,,,
17,6/8/2024 16:00,78.274,8192,,,,
18,6/8/2024 16:15,76.006,576,,,,
19,6/8/2024 16:30,74.791,240,,,,
20,6/8/2024 16:45,74.619,1152,,,,
21,6/8/2024 17:00,74.446,1728,,,,
22,6/8/2024 17:15,74.619,1472,,,,
23,6/8/2024 17:30,73.753,960,,,,
24,6/8/2024 17:45,73.407,1088,,,,
25,6/8/2024 18:00,73.234,1728,,,,
26,6/8/2024 18:15,72.891,608,,,,
27,6/8/2024 18:30,72.372,992,,,,
28,6/8/2024 18:45,71.856,608,,,,
29,6/8/2024 19:00,71.339,272,,,,
30,6/8/2024 19:15,70.995,144,,,,
31,6/8/2024 19:30,70.824,114,,,,
32,6/8/2024 19:45,70.48,136,,,,
33,6/8/2024 20:00,70.137,73,,,,
34,6/8/2024 20:15,69.622,82,,,,
35,6/8/2024 20:30,69.622,17,,,,
36,6/8/2024 20:45,69.278,5,,,,
37,6/8/2024 21:00,69.107,0,,,,
38,6/8/2024 21:15,68.934,0,,,,
39,6/8/2024 21:30,68.763,0,,,,
40,6/8/2024 21:45,68.592,0,,,,
41,6/8/2024 22:00,68.248,0,,,,
42,6/8/2024 22:15,67.906,0,,,,
43,6/8/2024 22:30,67.735,0,,,,
44,6/8/2024 22:45,67.392,0,,,,
45,6/8/2024 23:00,67.05,0,,,,
46,6/8/2024 23:15,66.879,0,,,,
47,6/8/2024 23:30,66.708,0,,,,
48,6/8/2024 23:45,66.366,0,,,,
49,6/9/2024 0:00,66.193,0,,,,
50,6/9/2024 0:15,66.022,0,,,,
51,6/9/2024 0:30,65.851,0,,,,
52,6/9/2024 0:45,65.68,0,,,,
53,6/9/2024 1:00,65.68,0,,,,
54,6/9/2024 1:15,65.338,0,,,,
55,6/9/2024 1:30,64.996,0,,,,
56,6/9/2024 1:45,64.652,0,,,,
57,6/9/2024 2:00,64.481,0,,,,
58,6/9/2024 2:15,64.481,0,,,,
59,6/9/2024 2:30,64.139,0,,,,
60,6/9/2024 2:45,63.968,0,,,,
61,6/9/2024 3:00,63.797,0,,,,
62,6/9/2024 3:15,63.797,0,,,,
63,6/9/2024 3:30,63.455,0,,,,
64,6/9/2024 3:45,63.282,0,,,,
65,6/9/2024 4:00,63.111,0,,,,
66,6/9/2024 4:15,63.111,0,,,,
67,6/9/2024 4:30,62.769,0,,,,
68,6/9/2024 4:45,62.598,0,,,,
69,6/9/2024 5:00,62.425,5,,,,
70,6/9/2024 5:15,62.254,33,,,,
71,6/9/2024 5:30,62.083,27,,,,
72,6/9/2024 5:45,62.083,53,,,,
73,6/9/2024 6:00,62.083,117,,,,
74,6/9/2024 6:15,61.741,176,,,,
75,6/9/2024 6:30,61.741,184,,,,
76,6/9/2024 6:45,61.741,216,,,,
77,6/9/2024 7:00,61.912,288,,,,
78,6/9/2024 7:15,61.569,272,,,,
79,6/9/2024 7:30,61.569,352,,,,
80,6/9/2024 7:45,61.398,336,,,,
81,6/9/2024 8:00,61.741,864,,,,
82,6/9/2024 8:15,61.912,1088,,,,
83,6/9/2024 8:30,61.912,1024,,,,
84,6/9/2024 8:45,62.083,1152,,,,
85,6/9/2024 9:00,62.254,1088,,,,
86,6/9/2024 9:15,62.083,800,,,,
87,6/9/2024 9:30,62.425,1728,,,,
88,6/9/2024 9:45,62.94,1280,,,,
89,6/9/2024 10:00,63.968,2944,,,,
90,6/9/2024 10:15,63.797,2304,,,,
91,6/9/2024 10:30,64.139,2688,,,,
92,6/9/2024 10:45,64.139,2560,,,,
93,6/9/2024 11:00,65.68,3584,,,,
94,6/9/2024 11:15,67.735,6400,,,,
95,6/9/2024 11:30,68.421,4864,,,,
96,6/9/2024 11:45,68.421,5888,,,,
97,6/9/2024 12:00,68.934,4352,,,,
98,6/9/2024 12:15,68.248,2688,,,,
99,6/9/2024 12:30,72.028,19456,,,,
100,6/9/2024 12:45,72.718,5888,,,,
101,6/9/2024 13:00,73.062,4608,,,,
102,6/9/2024 13:15,73.753,3584,,,,
103,6/9/2024 13:30,71.339,3328,,,,
104,6/9/2024 13:45,70.48,3328,,,,
105,6/9/2024 14:00,77.749,21504,,,,
106,6/9/2024 14:15,75.139,4608,,,,
107,6/9/2024 14:30,75.484,7680,,,,
108,6/9/2024 14:45,73.234,608,,,,
109,6/9/2024 15:00,73.407,22528,,,,
110,6/9/2024 15:15,75.484,3840,,,,
111,6/9/2024 15:30,74.964,3840,,,,
112,6/9/2024 15:45,73.926,2688,,,,
113,6/9/2024 16:00,80.382,3968,,,,
114,6/9/2024 16:15,77.4,6144,,,,
115,6/9/2024 16:30,78.449,8704,,,,
116,6/9/2024 16:45,75.832,2176,,,,
117,6/9/2024 17:00,73.58,1792,,,,
118,6/9/2024 17:15,72.891,2048,,,,
119,6/9/2024 17:30,78.975,8704,,,,
120,6/9/2024 17:45,74.098,3072,,,,
121,6/9/2024 18:00,72.372,416,,,,
122,6/9/2024 18:15,72.028,1920,,,,
123,6/9/2024 18:30,71.168,1024,,,,
124,6/9/2024 18:45,69.964,800,,,,
125,6/9/2024 19:00,69.278,704,,,,
126,6/9/2024 19:15,68.421,480,,,,
127,6/9/2024 19:30,68.248,704,,,,
128,6/9/2024 19:45,67.564,672,,,,
129,6/9/2024 20:00,67.221,464,,,,
130,6/9/2024 20:15,66.193,84,,,,
131,6/9/2024 20:30,65.68,30,,,,
132,6/9/2024 20:45,65.68,5,,,,
133,6/9/2024 21:00,65.509,0,,,,
134,6/9/2024 21:15,65.167,0,,,,
135,6/9/2024 21:30,64.996,0,,,,
136,6/9/2024 21:45,64.481,0,,,,
137,6/9/2024 22:00,64.31,0,,,,
138,6/9/2024 22:15,64.31,0,,,,
139,6/9/2024 22:30,63.968,0,,,,
140,6/9/2024 22:45,63.968,0,,,,
141,6/9/2024 23:00,63.626,0,,,,
142,6/9/2024 23:15,63.626,0,,,,
143,6/9/2024 23:30,63.111,0,,,,
144,6/9/2024 23:45,62.94,0,,,,
145,6/10/2024 0:00,62.769,0,,,,
146,6/10/2024 0:15,62.598,0,,,,
147,6/10/2024 0:30,62.598,0,,,,
148,6/10/2024 0:45,62.425,0,,,,
149,6/10/2024 1:00,62.425,0,,,,
150,6/10/2024 1:15,62.083,0,,,,
151,6/10/2024 1:30,61.912,0,,,,
152,6/10/2024 1:45,61.741,0,,,,
153,6/10/2024 2:00,61.569,0,,,,
154,6/10/2024 2:15,61.569,0,,,,
155,6/10/2024 2:30,61.398,0,,,,
156,6/10/2024 2:45,61.398,0,,,,
157,6/10/2024 3:00,61.227,0,,,,
158,6/10/2024 3:15,61.227,0,,,,
159,6/10/2024 3:30,61.054,0,,,,
160,6/10/2024 3:45,60.883,0,,,,
161,6/10/2024 4:00,60.712,0,,,,
162,6/10/2024 4:15,60.712,0,,,,
163,6/10/2024 4:30,60.712,0,,,,
164,6/10/2024 4:45,60.539,0,,,,
165,6/10/2024 5:00,60.368,1,,,,
166,6/10/2024 5:15,60.368,4,,,,
167,6/10/2024 5:30,60.195,60,,,,
168,6/10/2024 5:45,60.195,168,,,,
169,6/10/2024 6:00,60.195,47,,,,
170,6/10/2024 6:15,60.024,60,,,,
171,6/10/2024 6:30,60.024,216,,,,
172,6/10/2024 6:45,60.368,448,,,,
173,6/10/2024 7:00,60.195,576,,,,
174,6/10/2024 7:15,60.368,672,,,,
175,6/10/2024 7:30,60.368,576,,,,
176,6/10/2024 7:45,61.054,1472,,,,
177,6/10/2024 8:00,61.398,1536,,,,
178,6/10/2024 8:15,61.054,896,,,,
179,6/10/2024 8:30,61.227,1152,,,,
180,6/10/2024 8:45,61.569,1344,,,,
181,6/10/2024 9:00,61.741,1152,,,,
182,6/10/2024 9:15,61.569,960,,,,
183,6/10/2024 9:30,61.569,960,,,,
184,6/10/2024 9:45,62.598,2432,,,,
185,6/10/2024 10:00,62.598,2304,,,,
186,6/10/2024 10:15,62.083,896,,,,
187,6/10/2024 10:30,61.569,336,,,,
188,6/10/2024 10:45,61.569,512,,,,
189,6/10/2024 11:00,61.398,704,,,,
190,6/10/2024 11:15,61.569,1344,,,,
191,6/10/2024 11:30,62.769,2432,,,,
192,6/10/2024 11:45,63.282,2432,,,,
193,6/10/2024 12:00,63.282,2048,,,,
194,6/10/2024 12:15,62.769,1984,,,,
195,6/10/2024 12:30,63.626,3200,,,,
196,6/10/2024 12:45,64.996,3584,,,,
197,6/10/2024 13:00,66.537,4608,,,,
198,6/10/2024 13:15,65.338,3584,,,,
199,6/10/2024 13:30,65.68,3328,,,,
200,6/10/2024 13:45,65.68,2560,,,,
201,6/10/2024 14:00,64.481,1472,,,,
202,6/10/2024 14:15,63.968,1280,,,,
203,6/10/2024 14:30,64.31,1600,,,,
204,6/10/2024 14:45,64.31,1920,,,,
205,6/10/2024 15:00,63.797,1536,,,,
206,6/10/2024 15:15,64.31,2304,,,,
207,6/10/2024 15:30,64.481,2048,,,,
208,6/10/2024 15:45,64.139,2048,,,,
209,6/10/2024 16:00,63.968,1088,,,,
210,6/10/2024 16:15,63.797,1408,,,,
211,6/10/2024 16:30,63.968,1728,,,,
212,6/10/2024 16:45,63.282,1088,,,,
213,6/10/2024 17:00,63.282,896,,,,
214,6/10/2024 17:15,62.94,576,,,,
215,6/10/2024 17:30,62.598,480,,,,
216,6/10/2024 17:45,62.425,576,,,,
217,6/10/2024 18:00,62.254,576,,,,
218,6/10/2024 18:15,62.254,608,,,,
219,6/10/2024 18:30,62.083,672,,,,
220,6/10/2024 18:45,61.569,384,,,,
221,6/10/2024 19:00,61.569,352,,,,
222,6/10/2024 19:15,61.227,128,,,,
223,6/10/2024 19:30,60.883,88,,,,
224,6/10/2024 19:45,60.712,55,,,,
225,6/10/2024 20:00,60.368,40,,,,
226,6/10/2024 20:15,60.195,15,,,,
227,6/10/2024 20:30,60.024,8,,,,
228,6/10/2024 20:45,59.68,2,,,,
229,6/10/2024 21:00,59.508,0,,,,
230,6/10/2024 21:15,59.508,0,,,,
231,6/10/2024 21:30,59.337,0,,,,
232,6/10/2024 21:45,59.164,0,,,,
233,6/10/2024 22:00,59.164,0,,,,
234,6/10/2024 22:15,58.993,0,,,,
235,6/10/2024 22:30,58.993,0,,,,
236,6/10/2024 22:45,58.82,0,,,,
237,6/10/2024 23:00,58.82,0,,,,
238,6/10/2024 23:15,58.647,0,,,,
239,6/10/2024 23:30,58.647,0,,,,
240,6/10/2024 23:45,58.476,0,,,,
241,6/11/2024 0:00,58.303,0,,,,
