Plot Title: 21422130,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422130, SEN S/N: 21422130)","Intensity, lum/ft² (LGR S/N: 21422130, SEN S/N: 21422130)",Coupler Attached (LGR S/N: 21422130),Coupler Detached (LGR S/N: 21422130),Host Connected (LGR S/N: 21422130),Stopped (LGR S/N: 21422130),End Of File (LGR S/N: 21422130)
1,7/2/2022 12:00,77.574,480,,,,,
2,7/2/2022 12:15,77.923,368,,,,,
3,7/2/2022 12:30,78.274,384,,,,,
4,7/2/2022 12:45,78.624,192,,,,,
5,7/2/2022 13:00,80.029,1920,,,,,
6,7/2/2022 13:15,80.735,6656,,,,,
7,7/2/2022 13:30,81.442,1728,,,,,
8,7/2/2022 13:45,83.221,4864,,,,,
9,7/2/2022 14:00,82.33,3072,,,,,
10,7/2/2022 14:15,81.266,480,,,,,
11,7/2/2022 14:30,80.559,352,,,,,
12,7/2/2022 14:45,80.206,512,,,,,
13,7/2/2022 15:00,80.382,1408,,,,,
14,7/2/2022 15:15,81.09,1856,,,,,
15,7/2/2022 15:30,80.911,1920,,,,,
16,7/2/2022 15:45,81.09,672,,,,,
17,7/2/2022 16:00,81.09,512,,,,,
18,7/2/2022 16:15,81.09,704,,,,,
19,7/2/2022 16:30,81.266,512,,,,,
20,7/2/2022 16:45,81.266,416,,,,,
21,7/2/2022 17:00,81.266,384,,,,,
22,7/2/2022 17:15,81.266,496,,,,,
23,7/2/2022 17:30,81.09,288,,,,,
24,7/2/2022 17:45,80.911,320,,,,,
25,7/2/2022 18:00,80.911,368,,,,,
26,7/2/2022 18:15,80.735,416,,,,,
27,7/2/2022 18:30,80.559,304,,,,,
28,7/2/2022 18:45,80.382,288,,,,,
29,7/2/2022 19:00,80.206,320,,,,,
30,7/2/2022 19:15,80.029,176,,,,,
31,7/2/2022 19:30,79.678,136,,,,,
32,7/2/2022 19:45,79.326,70,,,,,
33,7/2/2022 20:00,78.975,38,,,,,
34,7/2/2022 20:15,78.624,31,,,,,
35,7/2/2022 20:30,78.274,14,,,,,
36,7/2/2022 20:45,77.923,3,,,,,
37,7/2/2022 21:00,77.749,0,,,,,
38,7/2/2022 21:15,77.574,0,,,,,
39,7/2/2022 21:30,77.225,0,,,,,
40,7/2/2022 21:45,77.05,0,,,,,
41,7/2/2022 22:00,76.703,0,,,,,
42,7/2/2022 22:15,76.703,0,,,,,
43,7/2/2022 22:30,76.528,0,,,,,
44,7/2/2022 22:45,76.354,0,,,,,
45,7/2/2022 23:00,76.181,0,,,,,
46,7/2/2022 23:15,76.006,0,,,,,
47,7/2/2022 23:30,75.832,0,,,,,
48,7/2/2022 23:45,75.659,0,,,,,
49,7/3/2022 0:00,75.659,0,,,,,
50,7/3/2022 0:15,75.312,0,,,,,
51,7/3/2022 0:30,75.139,0,,,,,
52,7/3/2022 0:45,75.139,0,,,,,
53,7/3/2022 1:00,74.964,0,,,,,
54,7/3/2022 1:15,74.791,0,,,,,
55,7/3/2022 1:30,74.446,0,,,,,
56,7/3/2022 1:45,74.446,0,,,,,
57,7/3/2022 2:00,74.271,0,,,,,
58,7/3/2022 2:15,74.098,0,,,,,
59,7/3/2022 2:30,74.098,0,,,,,
60,7/3/2022 2:45,74.098,0,,,,,
61,7/3/2022 3:00,73.926,0,,,,,
62,7/3/2022 3:15,73.753,0,,,,,
63,7/3/2022 3:30,73.753,0,,,,,
64,7/3/2022 3:45,73.58,0,,,,,
65,7/3/2022 4:00,73.407,0,,,,,
66,7/3/2022 4:15,73.407,0,,,,,
67,7/3/2022 4:30,73.234,0,,,,,
68,7/3/2022 4:45,73.234,0,,,,,
69,7/3/2022 5:00,73.062,0,,,,,
70,7/3/2022 5:15,73.062,5,,,,,
71,7/3/2022 5:30,73.062,27,,,,,
72,7/3/2022 5:45,73.062,65,,,,,
73,7/3/2022 6:00,73.062,95,,,,,
74,7/3/2022 6:15,73.062,117,,,,,
75,7/3/2022 6:30,73.062,136,,,,,
76,7/3/2022 6:45,73.062,304,,,,,
77,7/3/2022 7:00,73.234,272,,,,,
78,7/3/2022 7:15,73.234,216,,,,,
79,7/3/2022 7:30,73.407,224,,,,,
80,7/3/2022 7:45,73.234,256,,,,,
81,7/3/2022 8:00,73.58,496,,,,,
82,7/3/2022 8:15,73.753,304,,,,,
83,7/3/2022 8:30,74.098,368,,,,,
84,7/3/2022 8:45,74.098,272,,,,,
85,7/3/2022 9:00,73.926,224,,,,,
86,7/3/2022 9:15,73.753,272,,,,,
87,7/3/2022 9:30,73.753,400,,,,,
88,7/3/2022 9:45,73.753,184,,,,,
89,7/3/2022 10:00,73.926,240,,,,,
90,7/3/2022 10:15,74.098,256,,,,,
91,7/3/2022 10:30,74.271,352,,,,,
92,7/3/2022 10:45,74.619,576,,,,,
93,7/3/2022 11:00,75.484,5120,,,,,
94,7/3/2022 11:15,75.484,240,,,,,
95,7/3/2022 11:30,76.354,272,,,,,
96,7/3/2022 11:45,76.703,304,,,,,
97,7/3/2022 12:00,77.749,1600,,,,,
98,7/3/2022 12:15,79.326,1024,,,,,
99,7/3/2022 12:30,81.09,576,,,,,
100,7/3/2022 12:45,81.797,3840,,,,,
101,7/3/2022 13:00,82.152,2048,,,,,
102,7/3/2022 13:15,82.864,2176,,,,,
103,7/3/2022 13:30,83.579,1024,,,,,
104,7/3/2022 13:45,83.579,496,,,,,
105,7/3/2022 14:00,83.935,1536,,,,,
106,7/3/2022 14:15,83.221,576,,,,,
107,7/3/2022 14:30,82.686,448,,,,,
108,7/3/2022 14:45,82.33,448,,,,,
109,7/3/2022 15:00,82.33,704,,,,,
110,7/3/2022 15:15,82.686,1344,,,,,
111,7/3/2022 15:30,82.508,464,,,,,
112,7/3/2022 15:45,82.33,512,,,,,
113,7/3/2022 16:00,81.975,2048,,,,,
114,7/3/2022 16:15,81.442,232,,,,,
115,7/3/2022 16:30,81.266,416,,,,,
116,7/3/2022 16:45,81.266,704,,,,,
117,7/3/2022 17:00,81.621,576,,,,,
118,7/3/2022 17:15,81.442,416,,,,,
119,7/3/2022 17:30,81.266,272,,,,,
120,7/3/2022 17:45,80.911,136,,,,,
121,7/3/2022 18:00,80.735,248,,,,,
122,7/3/2022 18:15,80.382,95,,,,,
123,7/3/2022 18:30,80.029,113,,,,,
124,7/3/2022 18:45,79.853,248,,,,,
125,7/3/2022 19:00,79.678,128,,,,,
126,7/3/2022 19:15,79.326,200,,,,,
127,7/3/2022 19:30,79.151,63,,,,,
128,7/3/2022 19:45,78.8,57,,,,,
129,7/3/2022 20:00,78.624,74,,,,,
130,7/3/2022 20:15,78.449,65,,,,,
131,7/3/2022 20:30,78.098,15,,,,,
132,7/3/2022 20:45,77.749,4,,,,,
133,7/3/2022 21:00,77.4,0,,,,,
134,7/3/2022 21:15,77.225,0,,,,,
135,7/3/2022 21:30,77.05,0,,,,,
136,7/3/2022 21:45,76.876,0,,,,,
137,7/3/2022 22:00,76.703,0,,,,,
138,7/3/2022 22:15,76.354,0,,,,,
139,7/3/2022 22:30,76.181,0,,,,,
140,7/3/2022 22:45,76.181,0,,,,,
141,7/3/2022 23:00,75.832,0,,,,,
142,7/3/2022 23:15,75.832,0,,,,,
143,7/3/2022 23:30,75.484,0,,,,,
144,7/3/2022 23:45,75.484,0,,,,,
145,7/4/2022 0:00,75.139,0,,,,,
146,7/4/2022 0:15,74.964,0,,,,,
147,7/4/2022 0:30,74.791,0,,,,,
148,7/4/2022 0:45,74.619,0,,,,,
149,7/4/2022 1:00,74.446,0,,,,,
150,7/4/2022 1:15,74.271,0,,,,,
151,7/4/2022 1:30,74.098,0,,,,,
152,7/4/2022 1:45,73.926,0,,,,,
153,7/4/2022 2:00,73.753,0,,,,,
154,7/4/2022 2:15,73.753,0,,,,,
155,7/4/2022 2:30,73.753,0,,,,,
156,7/4/2022 2:45,73.58,0,,,,,
157,7/4/2022 3:00,73.58,0,,,,,
158,7/4/2022 3:15,73.234,0,,,,,
159,7/4/2022 3:30,73.062,0,,,,,
160,7/4/2022 3:45,73.062,0,,,,,
161,7/4/2022 4:00,73.062,0,,,,,
162,7/4/2022 4:15,72.718,0,,,,,
163,7/4/2022 4:30,72.718,0,,,,,
164,7/4/2022 4:45,72.545,0,,,,,
165,7/4/2022 5:00,72.545,1,,,,,
166,7/4/2022 5:15,72.545,7,,,,,
167,7/4/2022 5:30,72.372,16,,,,,
168,7/4/2022 5:45,72.372,28,,,,,
169,7/4/2022 6:00,72.199,71,,,,,
170,7/4/2022 6:15,72.199,85,,,,,
171,7/4/2022 6:30,72.199,116,,,,,
172,7/4/2022 6:45,72.199,144,,,,,
173,7/4/2022 7:00,72.199,176,,,,,
174,7/4/2022 7:15,72.372,240,,,,,
175,7/4/2022 7:30,72.545,272,,,,,
176,7/4/2022 7:45,72.545,464,,,,,
177,7/4/2022 8:00,72.891,400,,,,,
178,7/4/2022 8:15,73.234,480,,,,,
179,7/4/2022 8:30,73.407,512,,,,,
180,7/4/2022 8:45,73.234,224,,,,,
181,7/4/2022 9:00,73.062,320,,,,,
182,7/4/2022 9:15,73.234,400,,,,,
183,7/4/2022 9:30,73.407,496,,,,,
184,7/4/2022 9:45,73.58,320,,,,,
185,7/4/2022 10:00,73.753,304,,,,,
186,7/4/2022 10:15,74.098,304,,,,,
187,7/4/2022 10:30,74.098,704,,,,,
188,7/4/2022 10:45,74.619,2176,,,,,
189,7/4/2022 11:00,75.312,1280,,,,,
190,7/4/2022 11:15,75.659,352,,,,,
191,7/4/2022 11:30,76.528,368,,,,,
192,7/4/2022 11:45,77.225,608,,,,,
193,7/4/2022 12:00,78.624,1664,,,,,
194,7/4/2022 12:15,79.151,608,,,,,
195,7/4/2022 12:30,79.326,896,,,,,
196,7/4/2022 12:45,78.8,672,,,,,
197,7/4/2022 13:00,80.029,1920,,,,,
198,7/4/2022 13:15,79.853,704,,,,,
199,7/4/2022 13:30,79.678,512,,,,,
200,7/4/2022 13:45,80.559,6144,,,,,
201,7/4/2022 14:00,80.029,864,,,,,
202,7/4/2022 14:15,81.266,768,,,,,
203,7/4/2022 14:30,80.382,1216,,,,,
204,7/4/2022 14:45,80.206,864,,,,,
205,7/4/2022 15:00,80.029,672,,,,,
206,7/4/2022 15:15,79.678,480,,,,,
207,7/4/2022 15:30,80.029,464,,,,,
208,7/4/2022 15:45,79.678,512,,,,,
209,7/4/2022 16:00,79.502,576,,,,,
210,7/4/2022 16:15,79.502,992,,,,,
211,7/4/2022 16:30,79.502,768,,,,,
212,7/4/2022 16:45,79.326,512,,,,,
213,7/4/2022 17:00,79.678,368,,,,,
214,7/4/2022 17:15,79.678,448,,,,,
215,7/4/2022 17:30,79.502,320,,,,,
216,7/4/2022 17:45,79.326,368,,,,,
217,7/4/2022 18:00,78.975,304,,,,,
218,7/4/2022 18:15,78.8,512,,,,,
219,7/4/2022 18:30,78.8,480,,,,,
220,7/4/2022 18:45,78.8,512,,,,,
221,7/4/2022 19:00,78.8,216,,,,,
222,7/4/2022 19:15,78.8,232,,,,,
223,7/4/2022 19:30,78.624,176,,,,,
224,7/4/2022 19:45,78.274,63,,,,,
225,7/4/2022 20:00,77.749,39,,,,,
226,7/4/2022 20:15,77.574,25,,,,,
227,7/4/2022 20:30,77.225,10,,,,,
228,7/4/2022 20:45,76.876,2,,,,,
229,7/4/2022 21:00,76.703,0,,,,,
230,7/4/2022 21:15,76.528,0,,,,,
231,7/4/2022 21:30,76.181,0,,,,,
232,7/4/2022 21:45,76.006,0,,,,,
233,7/4/2022 22:00,75.832,0,,,,,
234,7/4/2022 22:15,75.659,0,,,,,
235,7/4/2022 22:30,75.484,0,,,,,
236,7/4/2022 22:45,75.312,0,,,,,
237,7/4/2022 23:00,75.139,0,,,,,
238,7/4/2022 23:15,74.964,0,,,,,
239,7/4/2022 23:30,74.791,0,,,,,
240,7/4/2022 23:45,74.619,0,,,,,
241,7/5/2022 0:00,74.446,0,,,,,
242,7/5/2022 0:15,74.271,0,,,,,
243,7/5/2022 0:30,74.098,0,,,,,
244,7/5/2022 0:45,74.098,0,,,,,
245,7/5/2022 1:00,73.926,0,,,,,
246,7/5/2022 1:15,73.926,0,,,,,
247,7/5/2022 1:30,73.753,0,,,,,
248,7/5/2022 1:45,73.58,0,,,,,
249,7/5/2022 2:00,73.407,0,,,,,
250,7/5/2022 2:15,73.234,0,,,,,
251,7/5/2022 2:30,73.062,0,,,,,
252,7/5/2022 2:45,72.891,0,,,,,
253,7/5/2022 3:00,72.891,0,,,,,
254,7/5/2022 3:15,72.718,0,,,,,
255,7/5/2022 3:30,72.718,0,,,,,
256,7/5/2022 3:45,72.718,0,,,,,
257,7/5/2022 4:00,72.718,0,,,,,
258,7/5/2022 4:15,72.718,0,,,,,
259,7/5/2022 4:30,72.545,0,,,,,
260,7/5/2022 4:45,72.545,0,,,,,
261,7/5/2022 5:00,72.545,0,,,,,
262,7/5/2022 5:15,72.372,5,,,,,
263,7/5/2022 5:30,72.372,10,,,,,
264,7/5/2022 5:45,72.372,20,,,,,
265,7/5/2022 6:00,72.372,31,,,,,
266,7/5/2022 6:15,72.372,58,,,,,
267,7/5/2022 6:30,72.372,128,,,,,
268,7/5/2022 6:45,72.372,152,,,,,
269,7/5/2022 7:00,72.372,192,,,,,
270,7/5/2022 7:15,72.545,176,,,,,
271,7/5/2022 7:30,72.718,336,,,,,
272,7/5/2022 7:45,72.891,184,,,,,
273,7/5/2022 8:00,72.891,272,,,,,
274,7/5/2022 8:15,73.062,352,,,,,
275,7/5/2022 8:30,73.234,320,,,,,
276,7/5/2022 8:45,73.234,232,,,,,
277,7/5/2022 9:00,73.062,232,,,,,
278,7/5/2022 9:15,72.891,168,,,,,
279,7/5/2022 9:30,72.891,168,,,,,
280,7/5/2022 9:45,72.891,480,,,,,
281,7/5/2022 10:00,73.062,576,,,,,
282,7/5/2022 10:15,73.407,480,,,,,
283,7/5/2022 10:30,73.753,480,,,,,
284,7/5/2022 10:45,73.753,320,,,,,
285,7/5/2022 11:00,73.926,496,,,,,
286,7/5/2022 11:15,73.926,432,,,,,
287,7/5/2022 11:30,73.926,480,,,,,
288,7/5/2022 11:45,73.926,368,,,,,
289,7/5/2022 12:00,73.753,192,,,,,
