Plot Title: Rutland - Rocky Pond,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422111, SEN S/N: 21422111)","Intensity, lum/ft² (LGR S/N: 21422111, SEN S/N: 21422111)",Coupler Attached (LGR S/N: 21422111),Host Connected (LGR S/N: 21422111),Stopped (LGR S/N: 21422111),End Of File (LGR S/N: 21422111)
1,6/6/2024 12:00,75.312,74,,,,
2,6/6/2024 12:15,76.006,89,,,,
3,6/6/2024 12:30,76.703,84,,,,
4,6/6/2024 12:45,78.449,136,,,,
5,6/6/2024 13:00,77.225,53,,,,
6,6/6/2024 13:15,75.312,14,,,,
7,6/6/2024 13:30,74.446,15,,,,
8,6/6/2024 13:45,74.446,30,,,,
9,6/6/2024 14:00,74.271,17,,,,
10,6/6/2024 14:15,75.139,48,,,,
11,6/6/2024 14:30,75.139,33,,,,
12,6/6/2024 14:45,75.659,66,,,,
13,6/6/2024 15:00,75.659,40,,,,
14,6/6/2024 15:15,75.139,35,,,,
15,6/6/2024 15:30,74.964,35,,,,
16,6/6/2024 15:45,74.791,38,,,,
17,6/6/2024 16:00,74.446,18,,,,
18,6/6/2024 16:15,74.446,25,,,,
19,6/6/2024 16:30,74.446,32,,,,
20,6/6/2024 16:45,74.098,17,,,,
21,6/6/2024 17:00,74.271,30,,,,
22,6/6/2024 17:15,73.926,24,,,,
23,6/6/2024 17:30,73.407,6,,,,
24,6/6/2024 17:45,73.062,6,,,,
25,6/6/2024 18:00,73.062,6,,,,
26,6/6/2024 18:15,72.891,5,,,,
27,6/6/2024 18:30,72.545,5,,,,
28,6/6/2024 18:45,72.199,0,,,,
29,6/6/2024 19:00,72.199,0,,,,
30,6/6/2024 19:15,72.028,1,,,,
31,6/6/2024 19:30,71.683,1,,,,
32,6/6/2024 19:45,71.339,0,,,,
33,6/6/2024 20:00,71.339,0,,,,
34,6/6/2024 20:15,71.339,0,,,,
35,6/6/2024 20:30,71.168,0,,,,
36,6/6/2024 20:45,70.308,0,,,,
37,6/6/2024 21:00,69.793,0,,,,
38,6/6/2024 21:15,69.622,0,,,,
39,6/6/2024 21:30,69.278,0,,,,
40,6/6/2024 21:45,68.763,0,,,,
41,6/6/2024 22:00,68.763,0,,,,
42,6/6/2024 22:15,68.421,0,,,,
43,6/6/2024 22:30,68.421,0,,,,
44,6/6/2024 22:45,68.248,0,,,,
45,6/6/2024 23:00,68.077,0,,,,
46,6/6/2024 23:15,67.906,0,,,,
47,6/6/2024 23:30,67.906,0,,,,
48,6/6/2024 23:45,67.735,0,,,,
49,6/7/2024 0:00,67.735,0,,,,
50,6/7/2024 0:15,67.564,0,,,,
51,6/7/2024 0:30,67.564,0,,,,
52,6/7/2024 0:45,67.564,0,,,,
53,6/7/2024 1:00,67.564,0,,,,
54,6/7/2024 1:15,67.392,0,,,,
55,6/7/2024 1:30,67.221,0,,,,
56,6/7/2024 1:45,67.05,0,,,,
57,6/7/2024 2:00,67.05,0,,,,
58,6/7/2024 2:15,66.879,0,,,,
59,6/7/2024 2:30,66.879,0,,,,
60,6/7/2024 2:45,66.879,0,,,,
61,6/7/2024 3:00,66.879,0,,,,
62,6/7/2024 3:15,66.708,0,,,,
63,6/7/2024 3:30,66.708,0,,,,
64,6/7/2024 3:45,66.537,0,,,,
65,6/7/2024 4:00,66.366,0,,,,
66,6/7/2024 4:15,66.366,0,,,,
67,6/7/2024 4:30,66.366,0,,,,
68,6/7/2024 4:45,66.366,0,,,,
69,6/7/2024 5:00,66.193,0,,,,
70,6/7/2024 5:15,66.193,0,,,,
71,6/7/2024 5:30,66.022,0,,,,
72,6/7/2024 5:45,66.022,2,,,,
73,6/7/2024 6:00,65.851,6,,,,
74,6/7/2024 6:15,65.851,7,,,,
75,6/7/2024 6:30,66.193,15,,,,
76,6/7/2024 6:45,66.366,24,,,,
77,6/7/2024 7:00,66.193,20,,,,
78,6/7/2024 7:15,66.537,35,,,,
79,6/7/2024 7:30,67.05,30,,,,
80,6/7/2024 7:45,66.537,30,,,,
81,6/7/2024 8:00,66.708,25,,,,
82,6/7/2024 8:15,66.879,34,,,,
83,6/7/2024 8:30,66.879,30,,,,
84,6/7/2024 8:45,67.221,32,,,,
85,6/7/2024 9:00,67.392,38,,,,
86,6/7/2024 9:15,67.564,43,,,,
87,6/7/2024 9:30,68.592,52,,,,
88,6/7/2024 9:45,68.763,70,,,,
89,6/7/2024 10:00,70.308,34,,,,
90,6/7/2024 10:15,71.168,101,,,,
91,6/7/2024 10:30,75.484,168,,,,
92,6/7/2024 10:45,80.206,152,,,,
93,6/7/2024 11:00,74.446,33,,,,
94,6/7/2024 11:15,74.271,46,,,,
95,6/7/2024 11:30,74.098,106,,,,
96,6/7/2024 11:45,75.659,90,,,,
97,6/7/2024 12:00,76.354,92,,,,
98,6/7/2024 12:15,75.659,57,,,,
99,6/7/2024 12:30,82.686,272,,,,
100,6/7/2024 12:45,85.915,272,,,,
101,6/7/2024 13:00,79.151,43,,,,
102,6/7/2024 13:15,76.876,84,,,,
103,6/7/2024 13:30,75.484,40,,,,
104,6/7/2024 13:45,74.619,39,,,,
105,6/7/2024 14:00,73.926,39,,,,
106,6/7/2024 14:15,73.407,60,,,,
107,6/7/2024 14:30,73.234,44,,,,
108,6/7/2024 14:45,72.545,27,,,,
109,6/7/2024 15:00,74.619,136,,,,
110,6/7/2024 15:15,75.484,65,,,,
111,6/7/2024 15:30,74.271,82,,,,
112,6/7/2024 15:45,74.446,272,,,,
113,6/7/2024 16:00,75.659,128,,,,
114,6/7/2024 16:15,74.446,98,,,,
115,6/7/2024 16:30,73.234,60,,,,
116,6/7/2024 16:45,72.718,37,,,,
117,6/7/2024 17:00,72.199,30,,,,
118,6/7/2024 17:15,72.028,27,,,,
119,6/7/2024 17:30,71.512,6,,,,
120,6/7/2024 17:45,71.339,7,,,,
121,6/7/2024 18:00,71.168,0,,,,
122,6/7/2024 18:15,70.137,1,,,,
123,6/7/2024 18:30,69.278,5,,,,
124,6/7/2024 18:45,68.763,4,,,,
125,6/7/2024 19:00,68.592,6,,,,
126,6/7/2024 19:15,68.421,8,,,,
127,6/7/2024 19:30,68.077,7,,,,
128,6/7/2024 19:45,67.906,5,,,,
129,6/7/2024 20:00,67.564,1,,,,
130,6/7/2024 20:15,67.221,0,,,,
131,6/7/2024 20:30,67.05,0,,,,
132,6/7/2024 20:45,67.05,0,,,,
133,6/7/2024 21:00,66.879,0,,,,
134,6/7/2024 21:15,66.708,0,,,,
135,6/7/2024 21:30,66.537,0,,,,
136,6/7/2024 21:45,66.537,0,,,,
137,6/7/2024 22:00,66.537,0,,,,
138,6/7/2024 22:15,66.708,0,,,,
139,6/7/2024 22:30,66.708,0,,,,
140,6/7/2024 22:45,66.366,0,,,,
141,6/7/2024 23:00,66.022,0,,,,
142,6/7/2024 23:15,65.851,0,,,,
143,6/7/2024 23:30,65.68,0,,,,
144,6/7/2024 23:45,65.68,0,,,,
145,6/8/2024 0:00,65.68,0,,,,
146,6/8/2024 0:15,65.509,0,,,,
147,6/8/2024 0:30,65.509,0,,,,
148,6/8/2024 0:45,65.509,0,,,,
149,6/8/2024 1:00,65.509,0,,,,
150,6/8/2024 1:15,65.338,0,,,,
151,6/8/2024 1:30,64.996,0,,,,
152,6/8/2024 1:45,64.825,0,,,,
153,6/8/2024 2:00,64.652,0,,,,
154,6/8/2024 2:15,64.481,0,,,,
155,6/8/2024 2:30,64.481,0,,,,
156,6/8/2024 2:45,64.481,0,,,,
157,6/8/2024 3:00,64.481,0,,,,
158,6/8/2024 3:15,64.31,0,,,,
159,6/8/2024 3:30,64.139,0,,,,
160,6/8/2024 3:45,64.139,0,,,,
161,6/8/2024 4:00,64.139,0,,,,
162,6/8/2024 4:15,63.968,0,,,,
163,6/8/2024 4:30,63.797,0,,,,
164,6/8/2024 4:45,63.797,0,,,,
165,6/8/2024 5:00,63.455,0,,,,
166,6/8/2024 5:15,63.455,0,,,,
167,6/8/2024 5:30,63.455,0,,,,
168,6/8/2024 5:45,63.282,1,,,,
169,6/8/2024 6:00,63.282,1,,,,
170,6/8/2024 6:15,62.94,1,,,,
171,6/8/2024 6:30,63.111,2,,,,
172,6/8/2024 6:45,63.455,18,,,,
173,6/8/2024 7:00,63.282,9,,,,
