Plot Title: 21422128,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422128, SEN S/N: 21422128)","Intensity, lum/ft² (LGR S/N: 21422128, SEN S/N: 21422128)",Coupler Attached (LGR S/N: 21422128),Host Connected (LGR S/N: 21422128),Stopped (LGR S/N: 21422128),End Of File (LGR S/N: 21422128)
1,6/8/2022 12:00,69.793,960,,,,
2,6/8/2022 12:15,69.964,800,,,,
3,6/8/2022 12:30,70.651,2304,,,,
4,6/8/2022 12:45,71.168,1152,,,,
5,6/8/2022 13:00,71.856,5888,,,,
6,6/8/2022 13:15,72.199,5120,,,,
7,6/8/2022 13:30,72.545,4864,,,,
8,6/8/2022 13:45,71.683,2816,,,,
9,6/8/2022 14:00,70.824,2816,,,,
10,6/8/2022 14:15,71.683,4864,,,,
11,6/8/2022 14:30,72.199,4608,,,,
12,6/8/2022 14:45,72.028,3200,,,,
13,6/8/2022 15:00,71.856,800,,,,
14,6/8/2022 15:15,71.512,608,,,,
15,6/8/2022 15:30,71.683,272,,,,
16,6/8/2022 15:45,71.856,704,,,,
17,6/8/2022 16:00,72.028,432,,,,
18,6/8/2022 16:15,71.339,256,,,,
19,6/8/2022 16:30,71.168,256,,,,
20,6/8/2022 16:45,71.339,256,,,,
21,6/8/2022 17:00,72.545,224,,,,
22,6/8/2022 17:15,72.718,59,,,,
23,6/8/2022 17:30,72.545,78,,,,
24,6/8/2022 17:45,72.372,48,,,,
25,6/8/2022 18:00,72.199,44,,,,
26,6/8/2022 18:15,72.372,42,,,,
27,6/8/2022 18:30,72.372,37,,,,
28,6/8/2022 18:45,72.199,49,,,,
29,6/8/2022 19:00,72.028,42,,,,
30,6/8/2022 19:15,72.028,36,,,,
31,6/8/2022 19:30,71.856,23,,,,
32,6/8/2022 19:45,71.856,16,,,,
33,6/8/2022 20:00,71.683,12,,,,
34,6/8/2022 20:15,71.339,6,,,,
35,6/8/2022 20:30,71.339,2,,,,
36,6/8/2022 20:45,71.168,0,,,,
37,6/8/2022 21:00,71.168,0,,,,
38,6/8/2022 21:15,70.995,0,,,,
39,6/8/2022 21:30,70.651,0,,,,
40,6/8/2022 21:45,70.651,0,,,,
41,6/8/2022 22:00,70.651,0,,,,
42,6/8/2022 22:15,70.48,0,,,,
43,6/8/2022 22:30,70.48,0,,,,
44,6/8/2022 22:45,70.48,0,,,,
45,6/8/2022 23:00,70.308,0,,,,
46,6/8/2022 23:15,70.308,0,,,,
47,6/8/2022 23:30,70.137,0,,,,
48,6/8/2022 23:45,70.137,0,,,,
49,6/9/2022 0:00,69.964,0,,,,
50,6/9/2022 0:15,69.964,0,,,,
51,6/9/2022 0:30,69.793,0,,,,
52,6/9/2022 0:45,69.622,0,,,,
53,6/9/2022 1:00,69.622,0,,,,
54,6/9/2022 1:15,69.449,0,,,,
55,6/9/2022 1:30,69.449,0,,,,
56,6/9/2022 1:45,69.278,0,,,,
57,6/9/2022 2:00,69.278,0,,,,
58,6/9/2022 2:15,69.278,0,,,,
59,6/9/2022 2:30,69.278,0,,,,
60,6/9/2022 2:45,69.107,0,,,,
61,6/9/2022 3:00,69.278,0,,,,
62,6/9/2022 3:15,69.107,0,,,,
63,6/9/2022 3:30,69.107,0,,,,
64,6/9/2022 3:45,68.934,0,,,,
65,6/9/2022 4:00,68.934,0,,,,
66,6/9/2022 4:15,68.934,0,,,,
67,6/9/2022 4:30,68.763,0,,,,
68,6/9/2022 4:45,68.763,0,,,,
69,6/9/2022 5:00,68.763,1,,,,
70,6/9/2022 5:15,68.592,0,,,,
71,6/9/2022 5:30,68.592,1,,,,
72,6/9/2022 5:45,68.421,3,,,,
73,6/9/2022 6:00,68.421,6,,,,
74,6/9/2022 6:15,68.248,8,,,,
75,6/9/2022 6:30,68.248,11,,,,
76,6/9/2022 6:45,68.077,19,,,,
77,6/9/2022 7:00,68.077,19,,,,
78,6/9/2022 7:15,67.906,41,,,,
79,6/9/2022 7:30,67.906,80,,,,
80,6/9/2022 7:45,67.735,144,,,,
81,6/9/2022 8:00,67.564,115,,,,
82,6/9/2022 8:15,67.564,80,,,,
83,6/9/2022 8:30,67.392,90,,,,
84,6/9/2022 8:45,67.392,55,,,,
85,6/9/2022 9:00,67.392,66,,,,
86,6/9/2022 9:15,67.392,23,,,,
87,6/9/2022 9:30,67.392,23,,,,
88,6/9/2022 9:45,67.221,78,,,,
89,6/9/2022 10:00,67.05,288,,,,
90,6/9/2022 10:15,67.221,224,,,,
91,6/9/2022 10:30,67.564,124,,,,
92,6/9/2022 10:45,67.564,288,,,,
93,6/9/2022 11:00,67.735,496,,,,
94,6/9/2022 11:15,67.906,448,,,,
95,6/9/2022 11:30,68.077,464,,,,
96,6/9/2022 11:45,68.248,256,,,,
97,6/9/2022 12:00,68.248,320,,,,
98,6/9/2022 12:15,68.077,288,,,,
99,6/9/2022 12:30,68.077,272,,,,
100,6/9/2022 12:45,68.077,208,,,,
101,6/9/2022 13:00,68.077,125,,,,
102,6/9/2022 13:15,68.077,176,,,,
103,6/9/2022 13:30,68.077,152,,,,
104,6/9/2022 13:45,68.077,208,,,,
105,6/9/2022 14:00,67.906,240,,,,
106,6/9/2022 14:15,68.077,512,,,,
107,6/9/2022 14:30,68.077,512,,,,
108,6/9/2022 14:45,67.906,240,,,,
109,6/9/2022 15:00,68.248,448,,,,
110,6/9/2022 15:15,68.421,480,,,,
111,6/9/2022 15:30,68.592,496,,,,
112,6/9/2022 15:45,68.763,480,,,,
113,6/9/2022 16:00,68.763,368,,,,
114,6/9/2022 16:15,68.934,336,,,,
115,6/9/2022 16:30,68.763,184,,,,
116,6/9/2022 16:45,68.763,76,,,,
117,6/9/2022 17:00,68.934,256,,,,
118,6/9/2022 17:15,68.934,192,,,,
119,6/9/2022 17:30,68.934,116,,,,
120,6/9/2022 17:45,68.934,160,,,,
121,6/9/2022 18:00,68.763,64,,,,
122,6/9/2022 18:15,68.763,115,,,,
123,6/9/2022 18:30,68.763,121,,,,
124,6/9/2022 18:45,68.592,74,,,,
125,6/9/2022 19:00,68.592,73,,,,
126,6/9/2022 19:15,68.421,47,,,,
127,6/9/2022 19:30,68.248,35,,,,
128,6/9/2022 19:45,68.077,22,,,,
