Plot Title: St. Albans - N,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422119, SEN S/N: 21422119)","Intensity, lum/ft² (LGR S/N: 21422119, SEN S/N: 21422119)",Coupler Attached (LGR S/N: 21422119),Host Connected (LGR S/N: 21422119),Stopped (LGR S/N: 21422119),End Of File (LGR S/N: 21422119)
1,6/7/2024 12:00,76.876,608,,,,
2,6/7/2024 12:15,75.832,192,,,,
3,6/7/2024 12:30,75.139,176,,,,
4,6/7/2024 12:45,76.703,576,,,,
5,6/7/2024 13:00,75.139,152,,,,
6,6/7/2024 13:15,75.312,192,,,,
7,6/7/2024 13:30,75.312,168,,,,
8,6/7/2024 13:45,75.312,110,,,,
9,6/7/2024 14:00,74.791,23,,,,
10,6/7/2024 14:15,74.619,33,,,,
11,6/7/2024 14:30,74.446,89,,,,
12,6/7/2024 14:45,74.791,103,,,,
13,6/7/2024 15:00,74.964,152,,,,
14,6/7/2024 15:15,75.312,160,,,,
15,6/7/2024 15:30,75.484,128,,,,
16,6/7/2024 15:45,75.312,84,,,,
17,6/7/2024 16:00,75.312,117,,,,
18,6/7/2024 16:15,74.964,75,,,,
19,6/7/2024 16:30,75.312,192,,,,
20,6/7/2024 16:45,75.312,168,,,,
21,6/7/2024 17:00,75.139,152,,,,
22,6/7/2024 17:15,75.139,122,,,,
23,6/7/2024 17:30,75.139,136,,,,
24,6/7/2024 17:45,75.139,127,,,,
25,6/7/2024 18:00,74.964,92,,,,
26,6/7/2024 18:15,74.791,68,,,,
27,6/7/2024 18:30,74.791,73,,,,
28,6/7/2024 18:45,74.791,82,,,,
29,6/7/2024 19:00,74.619,61,,,,
30,6/7/2024 19:15,74.619,46,,,,
31,6/7/2024 19:30,74.619,30,,,,
32,6/7/2024 19:45,74.446,13,,,,
33,6/7/2024 20:00,74.271,5,,,,
34,6/7/2024 20:15,74.098,1,,,,
35,6/7/2024 20:30,73.926,0,,,,
36,6/7/2024 20:45,73.753,0,,,,
37,6/7/2024 21:00,73.753,0,,,,
38,6/7/2024 21:15,73.753,0,,,,
39,6/7/2024 21:30,73.58,0,,,,
40,6/7/2024 21:45,73.58,0,,,,
41,6/7/2024 22:00,73.407,0,,,,
42,6/7/2024 22:15,73.407,0,,,,
43,6/7/2024 22:30,73.407,0,,,,
44,6/7/2024 22:45,73.234,0,,,,
45,6/7/2024 23:00,73.234,0,,,,
46,6/7/2024 23:15,73.234,0,,,,
47,6/7/2024 23:30,73.234,0,,,,
48,6/7/2024 23:45,73.234,0,,,,
49,6/8/2024 0:00,73.062,0,,,,
50,6/8/2024 0:15,73.062,0,,,,
51,6/8/2024 0:30,73.062,0,,,,
52,6/8/2024 0:45,73.062,0,,,,
53,6/8/2024 1:00,72.891,0,,,,
54,6/8/2024 1:15,72.891,0,,,,
55,6/8/2024 1:30,72.718,0,,,,
56,6/8/2024 1:45,72.718,0,,,,
57,6/8/2024 2:00,72.718,0,,,,
58,6/8/2024 2:15,72.718,0,,,,
59,6/8/2024 2:30,72.718,0,,,,
60,6/8/2024 2:45,72.545,0,,,,
61,6/8/2024 3:00,72.545,0,,,,
62,6/8/2024 3:15,72.545,0,,,,
63,6/8/2024 3:30,72.545,0,,,,
64,6/8/2024 3:45,72.372,0,,,,
65,6/8/2024 4:00,72.372,0,,,,
66,6/8/2024 4:15,72.199,0,,,,
67,6/8/2024 4:30,72.199,0,,,,
68,6/8/2024 4:45,72.372,0,,,,
69,6/8/2024 5:00,72.199,0,,,,
70,6/8/2024 5:15,72.199,0,,,,
71,6/8/2024 5:30,72.199,0,,,,
72,6/8/2024 5:45,72.199,2,,,,
73,6/8/2024 6:00,72.199,12,,,,
74,6/8/2024 6:15,72.199,28,,,,
75,6/8/2024 6:30,72.199,24,,,,
76,6/8/2024 6:45,72.199,41,,,,
77,6/8/2024 7:00,72.199,45,,,,
78,6/8/2024 7:15,72.372,39,,,,
79,6/8/2024 7:30,72.372,69,,,,
80,6/8/2024 7:45,72.372,64,,,,
81,6/8/2024 8:00,72.718,92,,,,
82,6/8/2024 8:15,72.718,88,,,,
83,6/8/2024 8:30,73.062,144,,,,
84,6/8/2024 8:45,73.062,128,,,,
85,6/8/2024 9:00,72.891,92,,,,
86,6/8/2024 9:15,73.234,111,,,,
87,6/8/2024 9:30,73.062,71,,,,
88,6/8/2024 9:45,72.891,82,,,,
89,6/8/2024 10:00,73.234,160,,,,
90,6/8/2024 10:15,73.234,152,,,,
91,6/8/2024 10:30,73.407,160,,,,
92,6/8/2024 10:45,73.753,184,,,,
93,6/8/2024 11:00,73.407,91,,,,
94,6/8/2024 11:15,73.753,136,,,,
95,6/8/2024 11:30,74.098,136,,,,
96,6/8/2024 11:45,73.58,128,,,,
97,6/8/2024 12:00,74.791,608,,,,
98,6/8/2024 12:15,76.354,704,,,,
99,6/8/2024 12:30,75.484,480,,,,
100,6/8/2024 12:45,74.619,184,,,,
101,6/8/2024 13:00,75.139,576,,,,
102,6/8/2024 13:15,74.619,160,,,,
103,6/8/2024 13:30,76.006,432,,,,
104,6/8/2024 13:45,74.098,54,,,,
105,6/8/2024 14:00,75.139,160,,,,
106,6/8/2024 14:15,74.098,26,,,,
107,6/8/2024 14:30,74.446,112,,,,
108,6/8/2024 14:45,74.791,184,,,,
109,6/8/2024 15:00,74.271,76,,,,
110,6/8/2024 15:15,74.098,90,,,,
111,6/8/2024 15:30,74.271,127,,,,
112,6/8/2024 15:45,74.271,77,,,,
113,6/8/2024 16:00,73.926,48,,,,
114,6/8/2024 16:15,73.926,41,,,,
115,6/8/2024 16:30,73.926,43,,,,
116,6/8/2024 16:45,73.58,17,,,,
117,6/8/2024 17:00,73.58,26,,,,
118,6/8/2024 17:15,73.58,73,,,,
119,6/8/2024 17:30,73.234,27,,,,
120,6/8/2024 17:45,73.407,55,,,,
121,6/8/2024 18:00,73.407,51,,,,
122,6/8/2024 18:15,73.234,40,,,,
123,6/8/2024 18:30,73.062,23,,,,
124,6/8/2024 18:45,73.062,26,,,,
125,6/8/2024 19:00,72.891,10,,,,
126,6/8/2024 19:15,72.718,7,,,,
127,6/8/2024 19:30,72.545,2,,,,
128,6/8/2024 19:45,72.545,2,,,,
129,6/8/2024 20:00,72.372,0,,,,
130,6/8/2024 20:15,72.372,0,,,,
131,6/8/2024 20:30,72.372,0,,,,
132,6/8/2024 20:45,72.372,0,,,,
133,6/8/2024 21:00,72.199,0,,,,
134,6/8/2024 21:15,72.199,0,,,,
135,6/8/2024 21:30,72.199,0,,,,
136,6/8/2024 21:45,72.199,0,,,,
137,6/8/2024 22:00,72.028,0,,,,
138,6/8/2024 22:15,72.028,0,,,,
139,6/8/2024 22:30,72.028,0,,,,
140,6/8/2024 22:45,72.028,0,,,,
141,6/8/2024 23:00,71.856,0,,,,
142,6/8/2024 23:15,71.856,0,,,,
143,6/8/2024 23:30,71.856,0,,,,
144,6/8/2024 23:45,71.683,0,,,,
145,6/9/2024 0:00,71.683,0,,,,
146,6/9/2024 0:15,71.683,0,,,,
147,6/9/2024 0:30,71.683,0,,,,
148,6/9/2024 0:45,71.683,0,,,,
149,6/9/2024 1:00,71.683,0,,,,
150,6/9/2024 1:15,71.512,0,,,,
151,6/9/2024 1:30,71.512,0,,,,
152,6/9/2024 1:45,71.512,0,,,,
153,6/9/2024 2:00,71.512,0,,,,
154,6/9/2024 2:15,71.512,0,,,,
155,6/9/2024 2:30,71.512,0,,,,
156,6/9/2024 2:45,71.339,0,,,,
157,6/9/2024 3:00,71.168,0,,,,
158,6/9/2024 3:15,71.168,0,,,,
159,6/9/2024 3:30,71.168,0,,,,
160,6/9/2024 3:45,71.168,0,,,,
161,6/9/2024 4:00,70.995,0,,,,
162,6/9/2024 4:15,70.995,0,,,,
163,6/9/2024 4:30,70.995,0,,,,
164,6/9/2024 4:45,70.995,0,,,,
165,6/9/2024 5:00,70.824,0,,,,
166,6/9/2024 5:15,70.995,0,,,,
167,6/9/2024 5:30,70.824,0,,,,
168,6/9/2024 5:45,70.824,1,,,,
169,6/9/2024 6:00,70.824,2,,,,
170,6/9/2024 6:15,70.824,6,,,,
171,6/9/2024 6:30,70.651,4,,,,
172,6/9/2024 6:45,70.651,13,,,,
173,6/9/2024 7:00,70.651,10,,,,
174,6/9/2024 7:15,70.651,13,,,,
175,6/9/2024 7:30,70.48,8,,,,
176,6/9/2024 7:45,70.48,12,,,,
177,6/9/2024 8:00,70.48,28,,,,
178,6/9/2024 8:15,70.651,39,,,,
179,6/9/2024 8:30,70.651,40,,,,
180,6/9/2024 8:45,70.651,43,,,,
181,6/9/2024 9:00,70.651,49,,,,
182,6/9/2024 9:15,70.651,43,,,,
183,6/9/2024 9:30,70.651,38,,,,
184,6/9/2024 9:45,70.824,58,,,,
185,6/9/2024 10:00,70.995,110,,,,
186,6/9/2024 10:15,71.168,106,,,,
187,6/9/2024 10:30,71.168,86,,,,
188,6/9/2024 10:45,71.168,93,,,,
189,6/9/2024 11:00,70.995,56,,,,
190,6/9/2024 11:15,70.995,120,,,,
191,6/9/2024 11:30,71.856,384,,,,
192,6/9/2024 11:45,71.856,336,,,,
193,6/9/2024 12:00,72.199,248,,,,
194,6/9/2024 12:15,72.028,192,,,,
195,6/9/2024 12:30,72.545,272,,,,
196,6/9/2024 12:45,72.718,200,,,,
197,6/9/2024 13:00,74.098,704,,,,
198,6/9/2024 13:15,73.234,240,,,,
199,6/9/2024 13:30,72.891,93,,,,
200,6/9/2024 13:45,72.891,106,,,,
201,6/9/2024 14:00,72.545,41,,,,
202,6/9/2024 14:15,72.199,15,,,,
203,6/9/2024 14:30,72.545,168,,,,
204,6/9/2024 14:45,72.891,232,,,,
205,6/9/2024 15:00,72.891,184,,,,
206,6/9/2024 15:15,72.718,119,,,,
207,6/9/2024 15:30,72.545,104,,,,
208,6/9/2024 15:45,72.372,87,,,,
209,6/9/2024 16:00,72.199,43,,,,
210,6/9/2024 16:15,72.028,20,,,,
211,6/9/2024 16:30,71.856,27,,,,
212,6/9/2024 16:45,71.856,70,,,,
213,6/9/2024 17:00,71.683,40,,,,
214,6/9/2024 17:15,71.683,54,,,,
215,6/9/2024 17:30,71.683,58,,,,
216,6/9/2024 17:45,71.512,38,,,,
217,6/9/2024 18:00,71.339,27,,,,
218,6/9/2024 18:15,71.339,40,,,,
219,6/9/2024 18:30,71.168,43,,,,
220,6/9/2024 18:45,70.995,24,,,,
221,6/9/2024 19:00,70.995,31,,,,
222,6/9/2024 19:15,70.995,30,,,,
223,6/9/2024 19:30,70.824,21,,,,
224,6/9/2024 19:45,70.824,14,,,,
225,6/9/2024 20:00,70.824,7,,,,
226,6/9/2024 20:15,70.651,2,,,,
227,6/9/2024 20:30,70.651,0,,,,
228,6/9/2024 20:45,70.651,0,,,,
229,6/9/2024 21:00,70.48,0,,,,
230,6/9/2024 21:15,70.48,0,,,,
231,6/9/2024 21:30,70.308,0,,,,
232,6/9/2024 21:45,70.308,0,,,,
233,6/9/2024 22:00,70.308,0,,,,
234,6/9/2024 22:15,70.308,0,,,,
235,6/9/2024 22:30,70.308,0,,,,
236,6/9/2024 22:45,70.137,0,,,,
237,6/9/2024 23:00,70.137,0,,,,
238,6/9/2024 23:15,70.137,0,,,,
239,6/9/2024 23:30,69.964,0,,,,
240,6/9/2024 23:45,69.964,0,,,,
241,6/10/2024 0:00,69.964,0,,,,
242,6/10/2024 0:15,69.964,0,,,,
243,6/10/2024 0:30,69.793,0,,,,
244,6/10/2024 0:45,69.793,0,,,,
245,6/10/2024 1:00,69.793,0,,,,
246,6/10/2024 1:15,69.793,0,,,,
247,6/10/2024 1:30,69.793,0,,,,
248,6/10/2024 1:45,69.793,0,,,,
249,6/10/2024 2:00,69.793,0,,,,
250,6/10/2024 2:15,69.793,0,,,,
251,6/10/2024 2:30,69.793,0,,,,
252,6/10/2024 2:45,69.622,0,,,,
253,6/10/2024 3:00,69.622,0,,,,
254,6/10/2024 3:15,69.622,0,,,,
255,6/10/2024 3:30,69.449,0,,,,
256,6/10/2024 3:45,69.449,0,,,,
257,6/10/2024 4:00,69.278,0,,,,
258,6/10/2024 4:15,69.278,0,,,,
259,6/10/2024 4:30,69.278,0,,,,
260,6/10/2024 4:45,69.278,0,,,,
261,6/10/2024 5:00,69.449,0,,,,
262,6/10/2024 5:15,69.278,0,,,,
263,6/10/2024 5:30,69.278,1,,,,
264,6/10/2024 5:45,69.278,1,,,,
265,6/10/2024 6:00,69.278,1,,,,
266,6/10/2024 6:15,69.107,0,,,,
267,6/10/2024 6:30,69.107,1,,,,
268,6/10/2024 6:45,69.107,6,,,,
269,6/10/2024 7:00,69.278,6,,,,
270,6/10/2024 7:15,69.278,12,,,,
271,6/10/2024 7:30,69.278,16,,,,
272,6/10/2024 7:45,69.278,19,,,,
273,6/10/2024 8:00,69.278,18,,,,
274,6/10/2024 8:15,69.449,29,,,,
275,6/10/2024 8:30,69.278,17,,,,
276,6/10/2024 8:45,69.449,33,,,,
277,6/10/2024 9:00,69.449,38,,,,
278,6/10/2024 9:15,69.278,12,,,,
279,6/10/2024 9:30,69.107,25,,,,
280,6/10/2024 9:45,69.107,24,,,,
281,6/10/2024 10:00,69.107,34,,,,
282,6/10/2024 10:15,69.107,28,,,,
283,6/10/2024 10:30,69.278,39,,,,
284,6/10/2024 10:45,69.278,48,,,,
285,6/10/2024 11:00,69.449,92,,,,
286,6/10/2024 11:15,69.622,88,,,,
287,6/10/2024 11:30,69.622,103,,,,
288,6/10/2024 11:45,69.793,127,,,,
289,6/10/2024 12:00,69.964,128,,,,
290,6/10/2024 12:15,69.964,73,,,,
291,6/10/2024 12:30,70.137,116,,,,
292,6/10/2024 12:45,70.137,99,,,,
293,6/10/2024 13:00,69.964,45,,,,
294,6/10/2024 13:15,69.793,45,,,,
295,6/10/2024 13:30,69.793,44,,,,
296,6/10/2024 13:45,69.622,49,,,,
297,6/10/2024 14:00,69.793,73,,,,
298,6/10/2024 14:15,69.622,58,,,,
299,6/10/2024 14:30,69.622,47,,,,
300,6/10/2024 14:45,69.622,55,,,,
301,6/10/2024 15:00,69.622,44,,,,
302,6/10/2024 15:15,69.449,52,,,,
303,6/10/2024 15:30,69.449,52,,,,
304,6/10/2024 15:45,69.449,44,,,,
305,6/10/2024 16:00,69.449,45,,,,
306,6/10/2024 16:15,69.449,39,,,,
307,6/10/2024 16:30,69.278,27,,,,
308,6/10/2024 16:45,69.278,22,,,,
309,6/10/2024 17:00,69.278,24,,,,
310,6/10/2024 17:15,69.107,24,,,,
311,6/10/2024 17:30,69.107,19,,,,
312,6/10/2024 17:45,68.934,14,,,,
313,6/10/2024 18:00,68.934,15,,,,
314,6/10/2024 18:15,68.763,10,,,,
315,6/10/2024 18:30,68.763,8,,,,
316,6/10/2024 18:45,68.763,6,,,,
317,6/10/2024 19:00,68.763,5,,,,
318,6/10/2024 19:15,68.592,3,,,,
319,6/10/2024 19:30,68.592,1,,,,
320,6/10/2024 19:45,68.592,1,,,,
321,6/10/2024 20:00,68.421,0,,,,
322,6/10/2024 20:15,68.421,0,,,,
323,6/10/2024 20:30,68.421,0,,,,
324,6/10/2024 20:45,68.421,0,,,,
325,6/10/2024 21:00,68.421,0,,,,
326,6/10/2024 21:15,68.248,0,,,,
327,6/10/2024 21:30,68.248,0,,,,
328,6/10/2024 21:45,68.248,0,,,,
329,6/10/2024 22:00,68.248,0,,,,
330,6/10/2024 22:15,68.077,0,,,,
331,6/10/2024 22:30,67.906,0,,,,
332,6/10/2024 22:45,67.906,0,,,,
333,6/10/2024 23:00,68.077,0,,,,
334,6/10/2024 23:15,67.906,0,,,,
335,6/10/2024 23:30,67.906,0,,,,
336,6/10/2024 23:45,67.906,0,,,,
337,6/11/2024 0:00,67.906,0,,,,
338,6/11/2024 0:15,67.906,0,,,,
339,6/11/2024 0:30,67.906,0,,,,
340,6/11/2024 0:45,67.735,0,,,,
341,6/11/2024 1:00,67.735,0,,,,
342,6/11/2024 1:15,67.735,0,,,,
343,6/11/2024 1:30,67.735,0,,,,
344,6/11/2024 1:45,67.564,0,,,,
345,6/11/2024 2:00,67.564,0,,,,
346,6/11/2024 2:15,67.564,0,,,,
347,6/11/2024 2:30,67.564,0,,,,
348,6/11/2024 2:45,67.564,0,,,,
349,6/11/2024 3:00,67.392,0,,,,
350,6/11/2024 3:15,67.392,0,,,,
351,6/11/2024 3:30,67.392,0,,,,
352,6/11/2024 3:45,67.392,0,,,,
353,6/11/2024 4:00,67.221,0,,,,
354,6/11/2024 4:15,67.221,0,,,,
355,6/11/2024 4:30,67.221,0,,,,
356,6/11/2024 4:45,67.221,0,,,,
357,6/11/2024 5:00,67.221,0,,,,
358,6/11/2024 5:15,67.05,0,,,,
359,6/11/2024 5:30,67.05,2,,,,
360,6/11/2024 5:45,67.05,2,,,,
361,6/11/2024 6:00,67.05,5,,,,
362,6/11/2024 6:15,67.05,6,,,,
363,6/11/2024 6:30,67.05,8,,,,
364,6/11/2024 6:45,67.05,5,,,,
365,6/11/2024 7:00,67.05,13,,,,
366,6/11/2024 7:15,67.05,19,,,,
367,6/11/2024 7:30,67.05,28,,,,
368,6/11/2024 7:45,67.221,34,,,,
369,6/11/2024 8:00,67.221,49,,,,
370,6/11/2024 8:15,67.221,55,,,,
371,6/11/2024 8:30,67.221,49,,,,
372,6/11/2024 8:45,67.392,79,,,,
373,6/11/2024 9:00,67.564,109,,,,
374,6/11/2024 9:15,67.735,120,,,,
375,6/11/2024 9:30,67.906,122,,,,
376,6/11/2024 9:45,68.077,152,,,,
377,6/11/2024 10:00,67.906,82,,,,
378,6/11/2024 10:15,68.077,80,,,,
379,6/11/2024 10:30,67.906,71,,,,
380,6/11/2024 10:45,68.077,128,,,,
381,6/11/2024 11:00,68.248,136,,,,
382,6/11/2024 11:15,68.248,121,,,,
383,6/11/2024 11:30,68.421,116,,,,
384,6/11/2024 11:45,68.763,160,,,,
385,6/11/2024 12:00,68.763,136,,,,
386,6/11/2024 12:15,68.934,160,,,,
387,6/11/2024 12:30,69.107,152,,,,
388,6/11/2024 12:45,69.107,168,,,,
389,6/11/2024 13:00,69.449,192,,,,
390,6/11/2024 13:15,69.278,122,,,,
391,6/11/2024 13:30,69.278,128,,,,
392,6/11/2024 13:45,69.449,160,,,,
393,6/11/2024 14:00,69.964,232,,,,
394,6/11/2024 14:15,70.137,192,,,,
395,6/11/2024 14:30,70.137,184,,,,
396,6/11/2024 14:45,70.48,126,,,,
397,6/11/2024 15:00,70.308,152,,,,
398,6/11/2024 15:15,70.651,184,,,,
399,6/11/2024 15:30,70.651,116,,,,
400,6/11/2024 15:45,70.308,99,,,,
401,6/11/2024 16:00,70.308,109,,,,
402,6/11/2024 16:15,70.308,103,,,,
403,6/11/2024 16:30,70.137,39,,,,
404,6/11/2024 16:45,70.137,76,,,,
405,6/11/2024 17:00,70.137,55,,,,
406,6/11/2024 17:15,69.964,36,,,,
407,6/11/2024 17:30,69.622,18,,,,
408,6/11/2024 17:45,69.449,15,,,,
409,6/11/2024 18:00,69.449,16,,,,
410,6/11/2024 18:15,69.278,18,,,,
411,6/11/2024 18:30,69.278,14,,,,
412,6/11/2024 18:45,69.107,13,,,,
413,6/11/2024 19:00,69.107,17,,,,
414,6/11/2024 19:15,68.934,12,,,,
415,6/11/2024 19:30,68.763,9,,,,
416,6/11/2024 19:45,68.763,7,,,,
417,6/11/2024 20:00,68.592,5,,,,
418,6/11/2024 20:15,68.592,3,,,,
419,6/11/2024 20:30,68.421,1,,,,
420,6/11/2024 20:45,68.248,0,,,,
421,6/11/2024 21:00,68.077,0,,,,
422,6/11/2024 21:15,68.077,0,,,,
423,6/11/2024 21:30,68.077,0,,,,
424,6/11/2024 21:45,67.906,0,,,,
425,6/11/2024 22:00,67.906,0,,,,
426,6/11/2024 22:15,67.906,0,,,,
427,6/11/2024 22:30,67.906,0,,,,
428,6/11/2024 22:45,67.906,0,,,,
429,6/11/2024 23:00,67.735,0,,,,
430,6/11/2024 23:15,67.735,0,,,,
431,6/11/2024 23:30,67.735,0,,,,
432,6/11/2024 23:45,67.735,0,,,,
433,6/12/2024 0:00,67.735,0,,,,
434,6/12/2024 0:15,67.564,0,,,,
435,6/12/2024 0:30,67.564,0,,,,
436,6/12/2024 0:45,67.564,0,,,,
437,6/12/2024 1:00,67.392,0,,,,
438,6/12/2024 1:15,67.221,0,,,,
439,6/12/2024 1:30,67.221,0,,,,
440,6/12/2024 1:45,67.221,0,,,,
441,6/12/2024 2:00,67.221,0,,,,
442,6/12/2024 2:15,67.221,0,,,,
443,6/12/2024 2:30,67.221,0,,,,
444,6/12/2024 2:45,67.221,0,,,,
445,6/12/2024 3:00,67.221,0,,,,
446,6/12/2024 3:15,67.221,0,,,,
447,6/12/2024 3:30,67.05,0,,,,
