Plot Title: St. Albans - S,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422125, SEN S/N: 21422125)","Intensity, lum/ft² (LGR S/N: 21422125, SEN S/N: 21422125)",Coupler Attached (LGR S/N: 21422125),Coupler Detached (LGR S/N: 21422125),Host Connected (LGR S/N: 21422125),Stopped (LGR S/N: 21422125),End Of File (LGR S/N: 21422125)
1,6/7/2024 12:00,77.574,176,,,,,
2,6/7/2024 12:15,77.225,95,,,,,
3,6/7/2024 12:30,77.225,103,,,,,
4,6/7/2024 12:45,78.975,240,,,,,
5,6/7/2024 13:00,77.225,97,,,,,
6,6/7/2024 13:15,77.225,116,,,,,
7,6/7/2024 13:30,76.876,102,,,,,
8,6/7/2024 13:45,77.225,71,,,,,
9,6/7/2024 14:00,76.181,11,,,,,
10,6/7/2024 14:15,75.659,15,,,,,
11,6/7/2024 14:30,75.659,43,,,,,
12,6/7/2024 14:45,75.659,102,,,,,
13,6/7/2024 15:00,75.832,128,,,,,
14,6/7/2024 15:15,76.181,124,,,,,
15,6/7/2024 15:30,76.181,102,,,,,
16,6/7/2024 15:45,76.181,76,,,,,
17,6/7/2024 16:00,76.528,100,,,,,
18,6/7/2024 16:15,76.528,114,,,,,
19,6/7/2024 16:30,76.354,152,,,,,
20,6/7/2024 16:45,76.528,118,,,,,
21,6/7/2024 17:00,77.05,176,,,,,
22,6/7/2024 17:15,76.528,53,,,,,
23,6/7/2024 17:30,76.528,384,,,,,
24,6/7/2024 17:45,76.354,38,,,,,
25,6/7/2024 18:00,76.006,24,,,,,
26,6/7/2024 18:15,75.659,28,,,,,
27,6/7/2024 18:30,75.484,42,,,,,
28,6/7/2024 18:45,75.484,31,,,,,
29,6/7/2024 19:00,75.484,54,,,,,
30,6/7/2024 19:15,75.312,23,,,,,
31,6/7/2024 19:30,75.139,25,,,,,
32,6/7/2024 19:45,74.964,6,,,,,
33,6/7/2024 20:00,74.964,1,,,,,
34,6/7/2024 20:15,74.964,0,,,,,
35,6/7/2024 20:30,74.791,0,,,,,
36,6/7/2024 20:45,74.619,0,,,,,
37,6/7/2024 21:00,74.446,0,,,,,
38,6/7/2024 21:15,74.446,0,,,,,
39,6/7/2024 21:30,74.271,0,,,,,
40,6/7/2024 21:45,74.098,0,,,,,
41,6/7/2024 22:00,73.926,0,,,,,
42,6/7/2024 22:15,73.926,0,,,,,
43,6/7/2024 22:30,73.926,0,,,,,
44,6/7/2024 22:45,73.926,0,,,,,
45,6/7/2024 23:00,73.926,0,,,,,
46,6/7/2024 23:15,74.098,0,,,,,
47,6/7/2024 23:30,74.098,0,,,,,
48,6/7/2024 23:45,73.926,0,,,,,
49,6/8/2024 0:00,73.926,0,,,,,
50,6/8/2024 0:15,73.926,0,,,,,
51,6/8/2024 0:30,73.753,0,,,,,
52,6/8/2024 0:45,73.58,0,,,,,
53,6/8/2024 1:00,73.58,0,,,,,
54,6/8/2024 1:15,73.58,0,,,,,
55,6/8/2024 1:30,73.58,0,,,,,
56,6/8/2024 1:45,73.407,0,,,,,
57,6/8/2024 2:00,73.407,0,,,,,
58,6/8/2024 2:15,73.234,0,,,,,
59,6/8/2024 2:30,72.891,0,,,,,
60,6/8/2024 2:45,72.718,0,,,,,
61,6/8/2024 3:00,72.891,0,,,,,
62,6/8/2024 3:15,72.891,0,,,,,
63,6/8/2024 3:30,72.718,0,,,,,
64,6/8/2024 3:45,72.545,0,,,,,
65,6/8/2024 4:00,72.372,0,,,,,
66,6/8/2024 4:15,72.545,0,,,,,
67,6/8/2024 4:30,72.372,0,,,,,
68,6/8/2024 4:45,72.199,0,,,,,
69,6/8/2024 5:00,71.856,0,,,,,
70,6/8/2024 5:15,72.028,0,,,,,
71,6/8/2024 5:30,72.028,0,,,,,
72,6/8/2024 5:45,71.856,0,,,,,
73,6/8/2024 6:00,71.856,5,,,,,
74,6/8/2024 6:15,72.028,13,,,,,
75,6/8/2024 6:30,72.028,12,,,,,
76,6/8/2024 6:45,71.856,19,,,,,
77,6/8/2024 7:00,72.199,22,,,,,
78,6/8/2024 7:15,72.028,18,,,,,
79,6/8/2024 7:30,72.199,36,,,,,
80,6/8/2024 7:45,72.199,33,,,,,
81,6/8/2024 8:00,72.028,40,,,,,
82,6/8/2024 8:15,71.856,41,,,,,
83,6/8/2024 8:30,71.856,62,,,,,
84,6/8/2024 8:45,72.028,51,,,,,
85,6/8/2024 9:00,71.856,40,,,,,
86,6/8/2024 9:15,72.028,55,,,,,
87,6/8/2024 9:30,71.856,42,,,,,
88,6/8/2024 9:45,71.856,51,,,,,
89,6/8/2024 10:00,72.199,74,,,,,
90,6/8/2024 10:15,72.199,75,,,,,
91,6/8/2024 10:30,72.199,95,,,,,
92,6/8/2024 10:45,72.372,83,,,,,
93,6/8/2024 11:00,72.028,50,,,,,
94,6/8/2024 11:15,72.199,65,,,,,
95,6/8/2024 11:30,72.718,61,,,,,
96,6/8/2024 11:45,72.372,89,,,,,
97,6/8/2024 12:00,73.407,112,,,,,
98,6/8/2024 12:15,74.271,168,,,,,
99,6/8/2024 12:30,74.619,176,,,,,
100,6/8/2024 12:45,73.926,98,,,,,
101,6/8/2024 13:00,74.098,192,,,,,
102,6/8/2024 13:15,74.098,94,,,,,
103,6/8/2024 13:30,74.791,176,,,,,
104,6/8/2024 13:45,73.926,42,,,,,
105,6/8/2024 14:00,74.619,110,,,,,
106,6/8/2024 14:15,74.098,21,,,,,
107,6/8/2024 14:30,74.098,95,,,,,
108,6/8/2024 14:45,74.619,136,,,,,
109,6/8/2024 15:00,74.271,51,,,,,
110,6/8/2024 15:15,74.098,69,,,,,
111,6/8/2024 15:30,74.271,93,,,,,
112,6/8/2024 15:45,74.446,45,,,,,
113,6/8/2024 16:00,74.098,49,,,,,
114,6/8/2024 16:15,74.098,23,,,,,
115,6/8/2024 16:30,73.926,18,,,,,
116,6/8/2024 16:45,73.753,13,,,,,
117,6/8/2024 17:00,73.58,12,,,,,
118,6/8/2024 17:15,73.58,87,,,,,
119,6/8/2024 17:30,74.271,272,,,,,
120,6/8/2024 17:45,73.58,30,,,,,
121,6/8/2024 18:00,73.58,34,,,,,
122,6/8/2024 18:15,73.407,40,,,,,
123,6/8/2024 18:30,73.407,29,,,,,
124,6/8/2024 18:45,73.407,21,,,,,
125,6/8/2024 19:00,73.062,10,,,,,
126,6/8/2024 19:15,72.891,3,,,,,
127,6/8/2024 19:30,72.545,1,,,,,
128,6/8/2024 19:45,72.372,1,,,,,
129,6/8/2024 20:00,72.028,0,,,,,
130,6/8/2024 20:15,71.856,0,,,,,
131,6/8/2024 20:30,71.683,0,,,,,
132,6/8/2024 20:45,71.683,0,,,,,
133,6/8/2024 21:00,71.683,0,,,,,
134,6/8/2024 21:15,71.683,0,,,,,
135,6/8/2024 21:30,71.512,0,,,,,
136,6/8/2024 21:45,71.512,0,,,,,
137,6/8/2024 22:00,71.339,0,,,,,
138,6/8/2024 22:15,71.339,0,,,,,
139,6/8/2024 22:30,71.339,0,,,,,
140,6/8/2024 22:45,71.339,0,,,,,
141,6/8/2024 23:00,71.339,0,,,,,
142,6/8/2024 23:15,71.512,0,,,,,
143,6/8/2024 23:30,71.683,0,,,,,
144,6/8/2024 23:45,71.339,0,,,,,
145,6/9/2024 0:00,71.512,0,,,,,
146,6/9/2024 0:15,71.512,0,,,,,
147,6/9/2024 0:30,71.339,0,,,,,
148,6/9/2024 0:45,71.339,0,,,,,
149,6/9/2024 1:00,71.168,0,,,,,
150,6/9/2024 1:15,71.168,0,,,,,
151,6/9/2024 1:30,71.339,0,,,,,
152,6/9/2024 1:45,71.339,0,,,,,
153,6/9/2024 2:00,71.339,0,,,,,
154,6/9/2024 2:15,71.168,0,,,,,
155,6/9/2024 2:30,71.168,0,,,,,
156,6/9/2024 2:45,71.168,0,,,,,
157,6/9/2024 3:00,71.168,0,,,,,
158,6/9/2024 3:15,70.995,0,,,,,
159,6/9/2024 3:30,70.824,0,,,,,
160,6/9/2024 3:45,70.995,0,,,,,
161,6/9/2024 4:00,70.995,0,,,,,
162,6/9/2024 4:15,70.995,0,,,,,
163,6/9/2024 4:30,70.824,0,,,,,
164,6/9/2024 4:45,70.651,0,,,,,
165,6/9/2024 5:00,70.824,0,,,,,
166,6/9/2024 5:15,70.824,0,,,,,
167,6/9/2024 5:30,70.824,0,,,,,
168,6/9/2024 5:45,70.824,0,,,,,
169,6/9/2024 6:00,70.651,1,,,,,
170,6/9/2024 6:15,70.48,4,,,,,
171,6/9/2024 6:30,70.651,3,,,,,
172,6/9/2024 6:45,70.651,9,,,,,
173,6/9/2024 7:00,70.48,7,,,,,
174,6/9/2024 7:15,70.48,11,,,,,
175,6/9/2024 7:30,70.308,5,,,,,
176,6/9/2024 7:45,70.137,11,,,,,
177,6/9/2024 8:00,69.964,21,,,,,
178,6/9/2024 8:15,69.964,26,,,,,
179,6/9/2024 8:30,69.622,34,,,,,
180,6/9/2024 8:45,69.793,26,,,,,
181,6/9/2024 9:00,69.622,31,,,,,
182,6/9/2024 9:15,69.622,22,,,,,
183,6/9/2024 9:30,69.622,23,,,,,
184,6/9/2024 9:45,69.622,35,,,,,
185,6/9/2024 10:00,69.793,72,,,,,
186,6/9/2024 10:15,69.793,60,,,,,
187,6/9/2024 10:30,69.793,58,,,,,
188,6/9/2024 10:45,69.622,50,,,,,
189,6/9/2024 11:00,69.622,34,,,,,
190,6/9/2024 11:15,69.622,72,,,,,
191,6/9/2024 11:30,70.308,136,,,,,
192,6/9/2024 11:45,70.308,128,,,,,
193,6/9/2024 12:00,70.824,168,,,,,
194,6/9/2024 12:15,70.651,93,,,,,
195,6/9/2024 12:30,70.995,93,,,,,
196,6/9/2024 12:45,71.683,127,,,,,
197,6/9/2024 13:00,72.199,192,,,,,
198,6/9/2024 13:15,71.856,128,,,,,
199,6/9/2024 13:30,71.683,58,,,,,
200,6/9/2024 13:45,71.856,52,,,,,
201,6/9/2024 14:00,71.512,17,,,,,
202,6/9/2024 14:15,71.512,8,,,,,
203,6/9/2024 14:30,71.683,97,,,,,
204,6/9/2024 14:45,72.718,208,,,,,
205,6/9/2024 15:00,72.718,55,,,,,
206,6/9/2024 15:15,72.891,118,,,,,
207,6/9/2024 15:30,72.718,128,,,,,
208,6/9/2024 15:45,72.199,68,,,,,
209,6/9/2024 16:00,72.028,19,,,,,
210,6/9/2024 16:15,71.856,19,,,,,
211,6/9/2024 16:30,71.683,27,,,,,
212,6/9/2024 16:45,71.683,45,,,,,
213,6/9/2024 17:00,71.683,30,,,,,
214,6/9/2024 17:15,71.683,51,,,,,
215,6/9/2024 17:30,72.028,152,,,,,
216,6/9/2024 17:45,71.683,26,,,,,
217,6/9/2024 18:00,71.512,20,,,,,
218,6/9/2024 18:15,71.512,24,,,,,
219,6/9/2024 18:30,71.339,39,,,,,
220,6/9/2024 18:45,71.339,31,,,,,
221,6/9/2024 19:00,71.339,80,,,,,
222,6/9/2024 19:15,71.168,37,,,,,
223,6/9/2024 19:30,70.995,11,,,,,
224,6/9/2024 19:45,70.824,15,,,,,
225,6/9/2024 20:00,70.651,6,,,,,
226,6/9/2024 20:15,70.308,1,,,,,
227,6/9/2024 20:30,70.137,0,,,,,
228,6/9/2024 20:45,69.964,0,,,,,
