Plot Title: 21422120,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422120, SEN S/N: 21422120)","Intensity, lum/ft² (LGR S/N: 21422120, SEN S/N: 21422120)",Coupler Attached (LGR S/N: 21422120),Coupler Detached (LGR S/N: 21422120),Host Connected (LGR S/N: 21422120),Stopped (LGR S/N: 21422120),End Of File (LGR S/N: 21422120)
1,6/23/2022 12:00,62.769,9,,,,,
2,6/23/2022 12:15,62.769,9,,,,,
3,6/23/2022 12:30,62.94,12,,,,,
4,6/23/2022 12:45,62.94,11,,,,,
5,6/23/2022 13:00,63.111,10,,,,,
6,6/23/2022 13:15,63.455,20,,,,,
7,6/23/2022 13:30,63.455,16,,,,,
8,6/23/2022 13:45,63.455,15,,,,,
9,6/23/2022 14:00,63.626,17,,,,,
10,6/23/2022 14:15,63.797,16,,,,,
11,6/23/2022 14:30,63.797,11,,,,,
12,6/23/2022 14:45,63.797,11,,,,,
13,6/23/2022 15:00,63.968,16,,,,,
14,6/23/2022 15:15,63.968,12,,,,,
15,6/23/2022 15:30,64.139,15,,,,,
16,6/23/2022 15:45,64.139,16,,,,,
17,6/23/2022 16:00,64.31,20,,,,,
18,6/23/2022 16:15,64.481,23,,,,,
19,6/23/2022 16:30,64.481,20,,,,,
20,6/23/2022 16:45,64.481,13,,,,,
21,6/23/2022 17:00,64.31,7,,,,,
22,6/23/2022 17:15,64.31,4,,,,,
23,6/23/2022 17:30,64.31,3,,,,,
24,6/23/2022 17:45,64.31,2,,,,,
25,6/23/2022 18:00,64.139,3,,,,,
26,6/23/2022 18:15,64.139,3,,,,,
27,6/23/2022 18:30,64.139,2,,,,,
28,6/23/2022 18:45,64.139,2,,,,,
29,6/23/2022 19:00,64.139,1,,,,,
30,6/23/2022 19:15,63.968,1,,,,,
31,6/23/2022 19:30,63.968,1,,,,,
32,6/23/2022 19:45,63.968,1,,,,,
33,6/23/2022 20:00,63.968,1,,,,,
34,6/23/2022 20:15,63.968,1,,,,,
35,6/23/2022 20:30,63.968,2,,,,,
36,6/23/2022 20:45,63.797,0,,,,,
37,6/23/2022 21:00,63.797,0,,,,,
38,6/23/2022 21:15,63.797,0,,,,,
39,6/23/2022 21:30,63.626,0,,,,,
40,6/23/2022 21:45,63.626,0,,,,,
41,6/23/2022 22:00,63.626,0,,,,,
42,6/23/2022 22:15,63.626,0,,,,,
43,6/23/2022 22:30,63.455,0,,,,,
44,6/23/2022 22:45,63.455,0,,,,,
45,6/23/2022 23:00,63.282,0,,,,,
46,6/23/2022 23:15,63.282,0,,,,,
47,6/23/2022 23:30,63.282,0,,,,,
48,6/23/2022 23:45,63.111,0,,,,,
49,6/24/2022 0:00,63.111,0,,,,,
50,6/24/2022 0:15,62.94,0,,,,,
51,6/24/2022 0:30,62.94,0,,,,,
52,6/24/2022 0:45,62.94,0,,,,,
53,6/24/2022 1:00,62.769,0,,,,,
54,6/24/2022 1:15,62.769,0,,,,,
55,6/24/2022 1:30,62.769,0,,,,,
56,6/24/2022 1:45,62.598,0,,,,,
57,6/24/2022 2:00,62.598,0,,,,,
58,6/24/2022 2:15,62.425,0,,,,,
59,6/24/2022 2:30,62.425,0,,,,,
60,6/24/2022 2:45,62.425,0,,,,,
61,6/24/2022 3:00,62.425,0,,,,,
62,6/24/2022 3:15,62.254,0,,,,,
63,6/24/2022 3:30,62.254,0,,,,,
64,6/24/2022 3:45,62.254,0,,,,,
65,6/24/2022 4:00,62.083,0,,,,,
66,6/24/2022 4:15,62.083,0,,,,,
67,6/24/2022 4:30,62.083,0,,,,,
68,6/24/2022 4:45,62.083,0,,,,,
69,6/24/2022 5:00,61.912,0,,,,,
70,6/24/2022 5:15,61.912,0,,,,,
71,6/24/2022 5:30,61.912,0,,,,,
72,6/24/2022 5:45,61.912,0,,,,,
73,6/24/2022 6:00,61.912,0,,,,,
74,6/24/2022 6:15,62.083,5,,,,,
75,6/24/2022 6:30,62.083,4,,,,,
76,6/24/2022 6:45,62.083,4,,,,,
77,6/24/2022 7:00,62.083,5,,,,,
78,6/24/2022 7:15,62.083,4,,,,,
79,6/24/2022 7:30,62.254,5,,,,,
80,6/24/2022 7:45,62.254,8,,,,,
81,6/24/2022 8:00,62.425,14,,,,,
82,6/24/2022 8:15,62.598,11,,,,,
83,6/24/2022 8:30,62.598,16,,,,,
84,6/24/2022 8:45,62.769,15,,,,,
85,6/24/2022 9:00,62.94,17,,,,,
86,6/24/2022 9:15,63.455,34,,,,,
87,6/24/2022 9:30,67.221,144,,,,,
88,6/24/2022 9:45,67.735,113,,,,,
89,6/24/2022 10:00,64.996,28,,,,,
90,6/24/2022 10:15,65.68,52,,,,,
91,6/24/2022 10:30,66.193,38,,,,,
92,6/24/2022 10:45,65.851,26,,,,,
93,6/24/2022 11:00,65.338,16,,,,,
94,6/24/2022 11:15,66.879,19,,,,,
95,6/24/2022 11:30,67.05,41,,,,,
96,6/24/2022 11:45,66.537,27,,,,,
97,6/24/2022 12:00,66.708,15,,,,,
98,6/24/2022 12:15,67.564,19,,,,,
99,6/24/2022 12:30,68.763,123,,,,,
100,6/24/2022 12:45,68.934,66,,,,,
101,6/24/2022 13:00,70.48,65,,,,,
102,6/24/2022 13:15,69.793,62,,,,,
103,6/24/2022 13:30,70.824,120,,,,,
104,6/24/2022 13:45,72.372,144,,,,,
105,6/24/2022 14:00,73.234,128,,,,,
106,6/24/2022 14:15,73.407,106,,,,,
107,6/24/2022 14:30,72.372,89,,,,,
108,6/24/2022 14:45,72.891,48,,,,,
109,6/24/2022 15:00,72.372,23,,,,,
110,6/24/2022 15:15,72.718,48,,,,,
111,6/24/2022 15:30,72.891,30,,,,,
112,6/24/2022 15:45,72.545,34,,,,,
113,6/24/2022 16:00,72.372,15,,,,,
114,6/24/2022 16:15,72.372,18,,,,,
115,6/24/2022 16:30,72.718,14,,,,,
116,6/24/2022 16:45,72.718,11,,,,,
117,6/24/2022 17:00,72.718,15,,,,,
118,6/24/2022 17:15,72.718,10,,,,,
119,6/24/2022 17:30,72.545,10,,,,,
120,6/24/2022 17:45,73.062,33,,,,,
121,6/24/2022 18:00,73.234,25,,,,,
122,6/24/2022 18:15,73.062,11,,,,,
123,6/24/2022 18:30,72.891,13,,,,,
124,6/24/2022 18:45,73.062,61,,,,,
125,6/24/2022 19:00,73.062,54,,,,,
126,6/24/2022 19:15,72.372,5,,,,,
127,6/24/2022 19:30,72.199,4,,,,,
128,6/24/2022 19:45,72.199,3,,,,,
129,6/24/2022 20:00,72.028,2,,,,,
130,6/24/2022 20:15,72.372,0,,,,,
131,6/24/2022 20:30,72.199,0,,,,,
132,6/24/2022 20:45,72.028,0,,,,,
133,6/24/2022 21:00,71.683,0,,,,,
134,6/24/2022 21:15,71.512,0,,,,,
135,6/24/2022 21:30,71.339,0,,,,,
136,6/24/2022 21:45,71.168,0,,,,,
137,6/24/2022 22:00,70.824,0,,,,,
138,6/24/2022 22:15,70.651,0,,,,,
139,6/24/2022 22:30,70.308,0,,,,,
140,6/24/2022 22:45,69.964,0,,,,,
141,6/24/2022 23:00,69.793,0,,,,,
142,6/24/2022 23:15,69.449,0,,,,,
143,6/24/2022 23:30,69.278,0,,,,,
144,6/24/2022 23:45,69.107,0,,,,,
145,6/25/2022 0:00,68.934,0,,,,,
146,6/25/2022 0:15,68.592,0,,,,,
147,6/25/2022 0:30,68.421,0,,,,,
148,6/25/2022 0:45,68.248,0,,,,,
149,6/25/2022 1:00,68.077,0,,,,,
150,6/25/2022 1:15,67.735,0,,,,,
151,6/25/2022 1:30,67.564,0,,,,,
152,6/25/2022 1:45,67.392,0,,,,,
153,6/25/2022 2:00,67.221,0,,,,,
154,6/25/2022 2:15,67.05,0,,,,,
