Plot Title: St Mikes 4,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21422127, SEN S/N: 21422127)","Intensity, lum/ft² (LGR S/N: 21422127, SEN S/N: 21422127)",Coupler Attached (LGR S/N: 21422127),Host Connected (LGR S/N: 21422127),Stopped (LGR S/N: 21422127),End Of File (LGR S/N: 21422127)
1,5/24/2024 12:00,66.193,16,,,,
2,5/24/2024 12:15,66.193,8,,,,
3,5/24/2024 12:30,65.851,8,,,,
4,5/24/2024 12:45,65.509,7,,,,
5,5/24/2024 13:00,65.509,8,,,,
6,5/24/2024 13:15,65.851,12,,,,
7,5/24/2024 13:30,66.708,14,,,,
8,5/24/2024 13:45,66.537,11,,,,
9,5/24/2024 14:00,66.193,8,,,,
10,5/24/2024 14:15,67.564,11,,,,
11,5/24/2024 14:30,68.592,16,,,,
12,5/24/2024 14:45,68.934,9,,,,
13,5/24/2024 15:00,70.137,22,,,,
14,5/24/2024 15:15,69.107,8,,,,
15,5/24/2024 15:30,67.906,3,,,,
16,5/24/2024 15:45,67.221,6,,,,
17,5/24/2024 16:00,66.708,14,,,,
18,5/24/2024 16:15,66.193,5,,,,
19,5/24/2024 16:30,65.68,4,,,,
20,5/24/2024 16:45,64.996,4,,,,
21,5/24/2024 17:00,64.652,4,,,,
22,5/24/2024 17:15,64.31,3,,,,
23,5/24/2024 17:30,63.968,3,,,,
24,5/24/2024 17:45,63.968,3,,,,
25,5/24/2024 18:00,63.455,3,,,,
26,5/24/2024 18:15,63.282,4,,,,
27,5/24/2024 18:30,63.111,3,,,,
28,5/24/2024 18:45,62.94,2,,,,
29,5/24/2024 19:00,62.598,1,,,,
30,5/24/2024 19:15,62.254,1,,,,
31,5/24/2024 19:30,61.741,1,,,,
32,5/24/2024 19:45,61.227,0,,,,
33,5/24/2024 20:00,60.883,0,,,,
34,5/24/2024 20:15,60.368,0,,,,
35,5/24/2024 20:30,60.024,0,,,,
36,5/24/2024 20:45,59.68,0,,,,
37,5/24/2024 21:00,59.508,0,,,,
38,5/24/2024 21:15,59.337,0,,,,
39,5/24/2024 21:30,59.164,0,,,,
40,5/24/2024 21:45,58.82,0,,,,
41,5/24/2024 22:00,58.647,0,,,,
42,5/24/2024 22:15,58.303,0,,,,
43,5/24/2024 22:30,57.958,0,,,,
44,5/24/2024 22:45,57.614,0,,,,
45,5/24/2024 23:00,57.268,0,,,,
46,5/24/2024 23:15,57.096,0,,,,
47,5/24/2024 23:30,56.923,0,,,,
48,5/24/2024 23:45,56.577,0,,,,
49,5/25/2024 0:00,56.23,0,,,,
50,5/25/2024 0:15,55.884,0,,,,
51,5/25/2024 0:30,55.537,0,,,,
52,5/25/2024 0:45,55.537,0,,,,
53,5/25/2024 1:00,55.364,0,,,,
54,5/25/2024 1:15,55.017,0,,,,
55,5/25/2024 1:30,54.669,0,,,,
56,5/25/2024 1:45,54.495,0,,,,
57,5/25/2024 2:00,54.147,0,,,,
58,5/25/2024 2:15,53.973,0,,,,
59,5/25/2024 2:30,53.798,0,,,,
60,5/25/2024 2:45,53.449,0,,,,
61,5/25/2024 3:00,53.274,0,,,,
62,5/25/2024 3:15,53.1,0,,,,
63,5/25/2024 3:30,52.925,0,,,,
64,5/25/2024 3:45,52.75,0,,,,
65,5/25/2024 4:00,52.401,0,,,,
66,5/25/2024 4:15,52.225,0,,,,
67,5/25/2024 4:30,52.05,0,,,,
68,5/25/2024 4:45,51.874,0,,,,
69,5/25/2024 5:00,51.699,0,,,,
70,5/25/2024 5:15,51.523,0,,,,
71,5/25/2024 5:30,51.523,0,,,,
72,5/25/2024 5:45,51.346,0,,,,
73,5/25/2024 6:00,51.346,0,,,,
74,5/25/2024 6:15,51.523,0,,,,
75,5/25/2024 6:30,51.874,1,,,,
76,5/25/2024 6:45,52.401,2,,,,
77,5/25/2024 7:00,53.1,4,,,,
78,5/25/2024 7:15,53.274,3,,,,
79,5/25/2024 7:30,53.274,2,,,,
80,5/25/2024 7:45,53.623,2,,,,
81,5/25/2024 8:00,54.147,3,,,,
82,5/25/2024 8:15,54.842,3,,,,
83,5/25/2024 8:30,55.017,3,,,,
84,5/25/2024 8:45,55.537,3,,,,
85,5/25/2024 9:00,55.711,4,,,,
86,5/25/2024 9:15,56.057,4,,,,
87,5/25/2024 9:30,56.23,5,,,,
88,5/25/2024 9:45,62.425,15,,,,
89,5/25/2024 10:00,58.647,5,,,,
90,5/25/2024 10:15,59.337,5,,,,
91,5/25/2024 10:30,58.82,5,,,,
92,5/25/2024 10:45,58.82,6,,,,
93,5/25/2024 11:00,59.164,6,,,,
94,5/25/2024 11:15,59.337,7,,,,
95,5/25/2024 11:30,60.024,8,,,,
96,5/25/2024 11:45,60.539,9,,,,
97,5/25/2024 12:00,61.398,9,,,,
98,5/25/2024 12:15,62.083,12,,,,
99,5/25/2024 12:30,62.425,11,,,,
100,5/25/2024 12:45,62.598,10,,,,
101,5/25/2024 13:00,62.254,7,,,,
102,5/25/2024 13:15,62.083,7,,,,
103,5/25/2024 13:30,62.94,10,,,,
104,5/25/2024 13:45,62.94,7,,,,
105,5/25/2024 14:00,64.139,10,,,,
106,5/25/2024 14:15,66.366,13,,,,
107,5/25/2024 14:30,66.193,11,,,,
108,5/25/2024 14:45,66.193,9,,,,
109,5/25/2024 15:00,66.708,10,,,,
110,5/25/2024 15:15,66.879,9,,,,
111,5/25/2024 15:30,66.537,12,,,,
112,5/25/2024 15:45,65.338,6,,,,
113,5/25/2024 16:00,66.537,6,,,,
114,5/25/2024 16:15,65.68,5,,,,
115,5/25/2024 16:30,66.193,5,,,,
116,5/25/2024 16:45,65.851,4,,,,
117,5/25/2024 17:00,65.338,3,,,,
118,5/25/2024 17:15,64.825,2,,,,
119,5/25/2024 17:30,64.139,1,,,,
120,5/25/2024 17:45,64.139,3,,,,
121,5/25/2024 18:00,63.968,2,,,,
122,5/25/2024 18:15,63.968,1,,,,
123,5/25/2024 18:30,63.626,1,,,,
124,5/25/2024 18:45,63.282,0,,,,
125,5/25/2024 19:00,63.282,0,,,,
126,5/25/2024 19:15,63.111,0,,,,
127,5/25/2024 19:30,62.598,0,,,,
128,5/25/2024 19:45,62.425,0,,,,
129,5/25/2024 20:00,62.254,0,,,,
130,5/25/2024 20:15,61.912,0,,,,
131,5/25/2024 20:30,61.741,0,,,,
132,5/25/2024 20:45,61.741,0,,,,
133,5/25/2024 21:00,61.569,0,,,,
134,5/25/2024 21:15,61.569,0,,,,
135,5/25/2024 21:30,61.398,0,,,,
136,5/25/2024 21:45,61.227,0,,,,
137,5/25/2024 22:00,61.227,0,,,,
138,5/25/2024 22:15,61.227,0,,,,
139,5/25/2024 22:30,61.054,0,,,,
140,5/25/2024 22:45,60.883,0,,,,
141,5/25/2024 23:00,60.883,0,,,,
142,5/25/2024 23:15,60.539,0,,,,
143,5/25/2024 23:30,60.195,0,,,,
144,5/25/2024 23:45,60.195,0,,,,
145,5/26/2024 0:00,59.68,0,,,,
146,5/26/2024 0:15,59.68,0,,,,
147,5/26/2024 0:30,59.508,0,,,,
148,5/26/2024 0:45,59.508,0,,,,
149,5/26/2024 1:00,59.337,0,,,,
150,5/26/2024 1:15,59.337,0,,,,
151,5/26/2024 1:30,59.337,0,,,,
152,5/26/2024 1:45,59.337,0,,,,
153,5/26/2024 2:00,59.337,0,,,,
154,5/26/2024 2:15,59.337,0,,,,
155,5/26/2024 2:30,59.164,0,,,,
156,5/26/2024 2:45,58.82,0,,,,
157,5/26/2024 3:00,58.647,0,,,,
158,5/26/2024 3:15,58.303,0,,,,
159,5/26/2024 3:30,58.303,0,,,,
160,5/26/2024 3:45,58.303,0,,,,
161,5/26/2024 4:00,58.303,0,,,,
162,5/26/2024 4:15,58.303,0,,,,
163,5/26/2024 4:30,58.303,0,,,,
164,5/26/2024 4:45,58.303,0,,,,
165,5/26/2024 5:00,58.476,0,,,,
166,5/26/2024 5:15,58.303,0,,,,
167,5/26/2024 5:30,58.476,0,,,,
168,5/26/2024 5:45,58.476,0,,,,
169,5/26/2024 6:00,58.647,0,,,,
170,5/26/2024 6:15,58.82,0,,,,
171,5/26/2024 6:30,58.82,1,,,,
172,5/26/2024 6:45,59.508,1,,,,
173,5/26/2024 7:00,60.024,3,,,,
174,5/26/2024 7:15,59.851,2,,,,
175,5/26/2024 7:30,59.68,2,,,,
176,5/26/2024 7:45,60.024,2,,,,
177,5/26/2024 8:00,60.368,2,,,,
178,5/26/2024 8:15,61.054,2,,,,
179,5/26/2024 8:30,60.883,3,,,,
180,5/26/2024 8:45,61.054,3,,,,
181,5/26/2024 9:00,61.398,3,,,,
182,5/26/2024 9:15,61.569,4,,,,
183,5/26/2024 9:30,61.912,4,,,,
184,5/26/2024 9:45,68.592,13,,,,
185,5/26/2024 10:00,63.282,4,,,,
186,5/26/2024 10:15,63.111,4,,,,
187,5/26/2024 10:30,63.282,5,,,,
188,5/26/2024 10:45,63.282,5,,,,
189,5/26/2024 11:00,63.626,5,,,,
190,5/26/2024 11:15,63.797,6,,,,
191,5/26/2024 11:30,64.31,6,,,,
192,5/26/2024 11:45,64.481,6,,,,
193,5/26/2024 12:00,65.167,8,,,,
194,5/26/2024 12:15,66.193,9,,,,
195,5/26/2024 12:30,66.366,9,,,,
196,5/26/2024 12:45,66.879,8,,,,
197,5/26/2024 13:00,67.392,10,,,,
198,5/26/2024 13:15,67.735,10,,,,
199,5/26/2024 13:30,69.449,13,,,,
200,5/26/2024 13:45,68.592,8,,,,
201,5/26/2024 14:00,67.735,7,,,,
202,5/26/2024 14:15,70.995,17,,,,
203,5/26/2024 14:30,70.48,7,,,,
204,5/26/2024 14:45,71.339,7,,,,
205,5/26/2024 15:00,71.339,14,,,,
206,5/26/2024 15:15,70.137,6,,,,
207,5/26/2024 15:30,71.168,5,,,,
208,5/26/2024 15:45,69.793,5,,,,
209,5/26/2024 16:00,69.278,5,,,,
210,5/26/2024 16:15,69.793,5,,,,
211,5/26/2024 16:30,69.449,4,,,,
212,5/26/2024 16:45,69.278,4,,,,
213,5/26/2024 17:00,69.107,4,,,,
214,5/26/2024 17:15,69.107,3,,,,
215,5/26/2024 17:30,69.278,4,,,,
216,5/26/2024 17:45,68.934,3,,,,
217,5/26/2024 18:00,69.107,3,,,,
218,5/26/2024 18:15,68.763,3,,,,
219,5/26/2024 18:30,68.763,1,,,,
220,5/26/2024 18:45,68.592,2,,,,
221,5/26/2024 19:00,68.421,2,,,,
222,5/26/2024 19:15,68.248,1,,,,
223,5/26/2024 19:30,67.564,1,,,,
224,5/26/2024 19:45,67.392,0,,,,
225,5/26/2024 20:00,67.05,0,,,,
226,5/26/2024 20:15,66.366,0,,,,
227,5/26/2024 20:30,65.851,0,,,,
228,5/26/2024 20:45,65.338,0,,,,
229,5/26/2024 21:00,64.996,0,,,,
230,5/26/2024 21:15,64.481,0,,,,
231,5/26/2024 21:30,64.139,0,,,,
232,5/26/2024 21:45,63.968,0,,,,
233,5/26/2024 22:00,63.626,0,,,,
234,5/26/2024 22:15,63.282,0,,,,
235,5/26/2024 22:30,63.111,0,,,,
236,5/26/2024 22:45,62.94,0,,,,
237,5/26/2024 23:00,62.769,0,,,,
238,5/26/2024 23:15,62.598,0,,,,
239,5/26/2024 23:30,62.254,0,,,,
240,5/26/2024 23:45,62.254,0,,,,
241,5/27/2024 0:00,61.912,0,,,,
242,5/27/2024 0:15,61.912,0,,,,
243,5/27/2024 0:30,61.741,0,,,,
244,5/27/2024 0:45,61.741,0,,,,
245,5/27/2024 1:00,61.569,0,,,,
246,5/27/2024 1:15,61.741,0,,,,
247,5/27/2024 1:30,61.741,0,,,,
248,5/27/2024 1:45,61.741,0,,,,
249,5/27/2024 2:00,61.912,0,,,,
250,5/27/2024 2:15,62.254,0,,,,
251,5/27/2024 2:30,62.425,0,,,,
252,5/27/2024 2:45,62.598,0,,,,
253,5/27/2024 3:00,62.598,0,,,,
254,5/27/2024 3:15,62.769,0,,,,
255,5/27/2024 3:30,62.94,0,,,,
256,5/27/2024 3:45,62.94,0,,,,
257,5/27/2024 4:00,62.94,0,,,,
258,5/27/2024 4:15,62.94,0,,,,
259,5/27/2024 4:30,62.769,0,,,,
260,5/27/2024 4:45,62.769,0,,,,
261,5/27/2024 5:00,62.598,0,,,,
262,5/27/2024 5:15,62.598,0,,,,
263,5/27/2024 5:30,62.598,0,,,,
264,5/27/2024 5:45,62.598,0,,,,
265,5/27/2024 6:00,62.769,0,,,,
266,5/27/2024 6:15,62.94,0,,,,
267,5/27/2024 6:30,63.111,1,,,,
268,5/27/2024 6:45,63.111,0,,,,
