Rack,Case,Accession,SwabID,Swab,SwabRep,Row,Column,Date.Recieved,Date.Extracted,PCR.Date,Species,State,site,bdct,estCopyPerSwab
125,27973,50,1700100022,1,1,G,1,4/20/2017,5/4/2017,5/5/2017,TAGR,CA,P5,35.18614197,336.8361792
9-Jan,27973,50,1700100022,2,1,C,8,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,NA,0
9-Jan,27973,50,1700100022,2,2,D,8,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,35.14355469,346.7546137
9-Jan,27973,50,1700100022,2,3,E,8,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,35.41003418,289.1737255
125,27973,51,1700100023,1,1,G,2,4/20/2017,5/4/2017,5/5/2017,TAGR,CA,P5,26.42186737,132180.3095
9-Jan,27973,51,1700100023,2,1,C,10,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,32.60736465,1952.524061
9-Jan,27973,51,1700100023,2,2,D,10,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,32.52127838,2070.490502
9-Jan,27973,51,1700100023,2,3,E,10,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,32.39788818,2252.112198
125,27973,53,1700100025,1,1,G,4,4/20/2017,5/4/2017,5/5/2017,TAGR,CA,P5,30.96354485,5985.184502
9-Jan,27973,53,1700100025,2,1,C,5,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,33.46716309,1086.783098
9-Jan,27973,53,1700100025,2,2,D,5,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,33.03891754,1455.057778
9-Jan,27973,53,1700100025,2,3,E,5,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,32.97834396,1516.375364
125,27973,57,1700100029,1,1,G,8,4/20/2017,5/4/2017,5/5/2017,TAGR,CA,P5,NA,0
9-Jan,27973,57,1700100029,2,1,C,2,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,NA,0
9-Jan,27973,57,1700100029,2,2,D,2,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,NA,0
9-Jan,27973,57,1700100029,2,3,E,2,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,NA,0
125,27973,58,1700100030,1,1,G,9,4/20/2017,5/4/2017,5/5/2017,TAGR,CA,P5,21.02989006,5210728.359
9-Jan,27973,58,1700100030,2,1,C,1,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,34.01791382,746.7077351
9-Jan,27973,58,1700100030,2,2,D,1,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,33.82652664,850.728209
9-Jan,27973,58,1700100030,2,3,E,1,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,33.93952179,787.6810952
125,27973,60,1700100032,1,1,G,11,4/20/2017,5/4/2017,5/5/2017,TAGR,CA,P5,29.71308708,14032.81986
9-Jan,27973,60,1700100032,2,1,C,11,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,37.86811066,54.1629168
9-Jan,27973,60,1700100032,2,2,D,11,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,38.56003571,33.80102789
9-Jan,27973,60,1700100032,2,3,E,11,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,36.59269714,129.1680177
125,27973,61,1700100033,1,1,G,12,4/20/2017,5/4/2017,5/5/2017,TAGR,CA,P5,36.3515892,152.2333539
9-Jan,27973,61,1700100033,2,1,C,4,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,35.58999252,255.8002478
9-Jan,27973,61,1700100033,2,2,D,4,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,35.48140717,275.4458996
9-Jan,27973,61,1700100033,2,3,E,4,4/20/2017,1/5/2018,1/9/2018,TAGR,CA,P5,36.05675507,186.1078377
