"","SampleID","BD.Status","RV.Status","BD.PA","RV.PA"
"1","80306",0,0,0,0
"2","90308",0,0,0,0
"3","801028",0,3483,0,1
"4","802010",0,0,0,0
"5","902010",0,0,0,0
"6","902012",208733,0,1,0
"7","902013",0,0,0,0
"8","903010",0,0,0,0
"9","1003010",0,12056,0,1
"10","1030107",0,0,0,0
"11","2010302",0,0,0,0
"12","2010303",0,0,0,0
"13","3010202",0,2872971776,0,1
"14","3010203",630116,37486,1,1
"15","3010204",0,0,0,0
"16","3010205",0,0,0,0
"17","3010206",0,0,0,0
"18","3010208",0,9773,0,1
"19","3010301",0,0,0,0
"20","3010307",0,1975,0,1
"21","3010311",0,0,0,0
"22","3010312",7.6454e+11,0,1,0
"23","4010304",7904,158,1,1
"24","4010310",0,0,0,0
"25","5010301",0,0,0,0
"26","5020301",0,58137,0,1
"27","5020302",0,58424,0,1
"28","5020303",0,0,0,0
"29","5020306",0,0,0,0
"30","5020308",0,0,0,0
"31","5020311",0,0,0,0
"32","6010302",0,0,0,0
"33","6010308",0,28791,0,1
"34","6020303",0,0,0,0
"35","6020311",0,0,0,0
"36","7010101",0,0,0,0
"37","7010102",0,55427,0,1
"38","7010104",0,0,0,0
"39","7010105",0,0,0,0
"40","7010106",0,0,0,0
"41","7010107",0,0,0,0
"42","7010108",468,0,1,0
"43","7010111",0,0,0,0
"44","7010113",0,0,0,0
"45","7020101",0,0,0,0
"46","7020102",995,0,1,0
"47","7020104",0,0,0,0
"48","7020105",0,0,0,0
"49","7020107",0,27189,0,1
"50","7020108",0,0,0,0
"51","7020110",0,0,0,0
"52","7020111",0,0,0,0
"53","8010101",0,1769,0,1
"54","8010102",0,0,0,0
"55","8010103",0,0,0,0
"56","8010104",0,0,0,0
"57","8010105",0,0,0,0
"58","8010106",593827,43965,1,1
"59","8010209",0,0,0,0
"60","8010301",0,0,0,0
"61","8010303",0,0,0,0
"62","8010304",0,0,0,0
"63","8010305",0,0,0,0
"64","8010307",0,0,0,0
"65","8010308",0,0,0,0
"66","8010309",0,0,0,0
"67","8010311",0,0,0,0
"68","8010312",0,2623,0,1
"69","8020101",0,0,0,0
"70","8020102",0,0,0,0
"71","8020104",0,0,0,0
"72","8020106",58575,0,1,0
"73","8020107",0,0,0,0
"74","8020108",33245,0,1,0
"75","8020109",0,0,0,0
"76","8020111",0,0,0,0
"77","8020112",0,0,0,0
"78","8020302",0,0,0,0
"79","8020305",0,108,0,1
"80","8020306",0,564,0,1
"81","8020307",0,0,0,0
"82","8020308",0,0,0,0
"83","8020309",0,3192,0,1
"84","8020310",0,0,0,0
"85","8020311",0,0,0,0
"86","8020312",0,0,0,0
"87","8080303",0,0,0,0
"88","9010204",0,0,0,0
"89","9010307",11841,11572,1,1
"90","9010308",11637,0,1,0
"91","9010312",18180,0,1,0
"92","9020102",0,0,0,0
"93","9020103",0,0,0,0
"94","9020107",0,0,0,0
"95","9020108",0,0,0,0
"96","9020110",0,0,0,0
"97","9020111",0,0,0,0
"98","9020112",0,0,0,0
"99","9020202",17187,0,1,0
"100","9020206",108341,12320,1,1
"101","9020207",38082,0,1,0
"102","9020208",0,0,0,0
"103","9020209",1622952064,0,1,0
"104","9020211",0,13060,0,1
"105","9020214",0,17237,0,1
"106","9020215",0,7338,0,1
"107","9020303",0,7089,0,1
"108","9020304",12084,0,1,0
"109","9020305",90868960,0,1,0
"110","9030103",0,0,0,0
"111","9030104",24186,0,1,0
"112","9030105",49381,0,1,0
"113","9030106",0,0,0,0
"114","9030204",25186,0,1,0
"115","9030206",142970,12135,1,1
"116","9030209",30875,0,1,0
"117","9030211",0,0,0,0
"118","9030212",0,0,0,0
"119","9030213",51082,0,1,0
"120","9030214",362320,0,1,0
"121","9030215",77327,0,1,0
"122","9030216",14110,0,1,0
"123","9030306",73294,0,1,0
"124","9030307",0,0,0,0
"125","12030131",11422,2715,1,1
"126","30102010",1050255168,0,1,0
"127","90303201",77017,0,1,0
"128","0701012",0,3361,0,1
"129","09010203",0,0,0,0
"130","0903020",0,0,0,0
"131","0930104",0,0,0,0
"132","20102010/30102030/20102060",0,0,0,0
